method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
eigenvector,0.3,0.4510312676354863,0.7864736682727504,0.08165533594624293,0.14794983529771674,1937,18207,32458,514
louvain,0.3,0.42080903941500525,0.7711946990285554,0.076345433516182,0.1389366505770952,1927,16921,33744,524
greedy_modularity,0.3,0.4390965539456738,0.7872665779934555,0.08252630230781435,0.14939234634761028,1828,18918,31747,623
label_propagation,0.3,0.4382972429153861,0.7779055745295783,0.11324172781391816,0.19770327779515162,2048,13120,37545,403
surprise_communities,0.3,0.39053860891248776,0.6906900794609077,0.06148932328443834,0.11292536176958998,1873,16674,33991,578
walktrap,0.3,0.38376030972912895,0.7821705515499284,0.06986907788253384,0.1282793271483583,1851,13970,36695,600
infomap,0.3,0.4505918330601939,0.7655357142857142,0.11596275417872258,0.20141527870238962,874,11736,13866,237
df_node_similarity,0.35,0.487422803910538,0.7538921209523639,0.11374518940396874,0.1976669307885544,4622,10791,63682,392
leiden,0.35,0.4635964090430166,0.7636105968320408,0.08091972138920281,0.14633259555592187,1842,17633,33032,609
eigenvector,0.35,0.5082728965090922,0.7403528657163044,0.08811744215582111,0.1574902569223334,1851,20456,30209,600
louvain,0.35,0.483056760741345,0.7192599364466062,0.08081185222547728,0.14529878073141825,1832,19976,30689,619
greedy_modularity,0.35,0.49543933700076365,0.7490455619313382,0.08629879986778019,0.1547666710809892,1739,22336,28329,712
label_propagation,0.35,0.5036939093489786,0.7309314009217414,0.12300716706576613,0.2105767424433989,1933,15944,34721,518
surprise_communities,0.35,0.4417456899355623,0.5816821972557301,0.058102076097185165,0.10565105988682959,1700,20124,30541,751
walktrap,0.35,0.43455573201793046,0.7470424162044543,0.07114512940302099,0.12991747345885238,1667,16295,34370,784
infomap,0.35,0.5231259126953797,0.6913095238095238,0.12592150582263323,0.21303825496397286,815,14624,10978,296
df_node_similarity,0.4,0.5275203655342319,0.7241305578746258,0.12382631833009201,0.21148816287276107,4574,11639,62834,440
leiden,0.4,0.5119032170484672,0.7426587397415698,0.08764538550177052,0.15678739768234345,1742,19373,31292,709
eigenvector,0.4,0.5663050301988434,0.6962578371658303,0.09841282945565553,0.1724505676734685,1763,22556,28109,688
louvain,0.4,0.5313697395517836,0.6793013215374962,0.08505847177104797,0.15118621567450471,1717,21717,28948,734
greedy_modularity,0.4,0.563693302907028,0.7110666084030004,0.09584880905020772,0.16892696829590623,1541,26732,23933,910
label_propagation,0.4,0.5468491592529063,0.667364412399428,0.1308365751659784,0.21878117282795753,1810,18502,32163,641
surprise_communities,0.4,0.48890023645412767,0.5568212059301169,0.06289900753035929,0.1130300431199211,1533,23873,26792,918
walktrap,0.4,0.48406218429842174,0.6960716234225046,0.07081554049866948,0.12855264909224018,1499,19138,31527,952
infomap,0.4,0.5632310263441264,0.6410119047619046,0.13524495335087225,0.22336324439733954,767,15677,9925,344
df_node_similarity,0.45,0.5620458485628813,0.6841486115237023,0.13933606833680012,0.23151997849903352,4517,12427,62046,497
leiden,0.45,0.5660835247406311,0.6863613573900944,0.09178283258318548,0.16191392384248515,1571,22061,28604,880
eigenvector,0.45,0.6116250820758878,0.648551279053573,0.10675821807215377,0.18333723895610013,1636,24572,26093,815
louvain,0.45,0.580766546777208,0.6164446642109044,0.08782716185047436,0.15374911587275097,1561,24346,26319,890
greedy_modularity,0.45,0.6232287514534828,0.6331190610350232,0.1038684702471175,0.17845921555713257,1328,30666,19999,1123
label_propagation,0.45,0.5897388820294944,0.6409282321960417,0.15272630822227662,0.2466730743760065,1706,21108,29557,745
surprise_communities,0.45,0.53613421165989,0.5012759487330846,0.06529980366983448,0.11554755351902982,1360,27322,23343,1091
walktrap,0.45,0.5391550556759411,0.626615839284277,0.0700008086724542,0.12593329661450317,1328,23082,27583,1123
infomap,0.45,0.598835235372683,0.6034523809523809,0.15609792675748088,0.24803535620319822,722,17087,8515,389
df_node_similarity,0.5,0.5897122078092404,0.6379169737165316,0.14659658855008365,0.23840620895029357,4440,13238,61235,574
leiden,0.5,0.6271464248167794,0.6179794901673673,0.10140298151209332,0.17421876479697268,1365,27051,23614,1086
eigenvector,0.5,0.6768829571525301,0.5753827961193332,0.12031613921360496,0.1990166524140988,1302,32991,17674,1149
louvain,0.5,0.6403002345016708,0.5519948917075215,0.09569650626499807,0.16311466472425495,1351,29009,21656,1100
greedy_modularity,0.5,0.6710195415693392,0.5770819869443389,0.10702970775869432,0.1805696844351443,1081,34037,16628,1370
label_propagation,0.5,0.6299550932301142,0.5626504984993272,0.15935967607349416,0.24837268044454514,1336,26272,24393,1115
surprise_communities,0.5,0.5713129466036978,0.453244021266238,0.062332151471649444,0.10959263240254298,1143,30645,20020,1308
walktrap,0.5,0.5957303193423079,0.5269388576488311,0.06472588966672856,0.11529024338879448,1066,28635,22030,1385
infomap,0.5,0.6303131028922797,0.5669642857142856,0.16720184715353414,0.2582452978897628,656,18055,7547,455
df_node_similarity,0.55,0.7496387483261887,0.4724751945036002,0.16397140682830205,0.2434530160805421,295,71697,2776,4719
leiden,0.55,0.6801478985738099,0.5203524568484724,0.10539769673494465,0.17529025004030643,1095,33359,17306,1356
eigenvector,0.55,0.7394249594960159,0.5053765736620119,0.13400157678328498,0.21183475754646572,915,41417,9248,1536
louvain,0.55,0.6921183159227752,0.4775213793156319,0.09866765462506905,0.16354325318607274,1071,35112,15553,1380
greedy_modularity,0.55,0.7211403443313548,0.49577289436260685,0.11664002513703485,0.18884958504128624,865,39420,11245,1586
label_propagation,0.55,0.6691304990211893,0.497618600419856,0.18379593455748489,0.26844239746191034,1137,30178,20487,1314
surprise_communities,0.55,0.605070080592152,0.41187821104990874,0.05910499680639105,0.10337549170608416,958,33817,16848,1493
walktrap,0.55,0.6441069501861806,0.39170053242258007,0.056879002426391975,0.09933371365942517,796,34197,16468,1655
infomap,0.55,0.6561589924126027,0.5170833333333331,0.1959422209563361,0.2841930591219113,582,18649,6953,529
df_node_similarity,0.6,0.7756588345077219,0.4160543558958434,0.17988564582027,0.2511736291946808,232,72336,2137,4782
leiden,0.6,0.7195519202094816,0.45784410380643165,0.11262467381286512,0.18077954437238142,868,37797,12868,1583
eigenvector,0.6,0.7653459126790401,0.46246332647202,0.14285129893906565,0.21827817840463948,726,43303,7362,1725
louvain,0.6,0.7300333798049436,0.42276670640350905,0.10451874196173191,0.16760198648983798,825,38962,11703,1626
greedy_modularity,0.6,0.7569735440677036,0.4397641088150625,0.12569499535472128,0.195508913755451,695,42379,8286,1756
label_propagation,0.6,0.7036484818729042,0.4354307742040174,0.21432920457399826,0.2872615566680541,927,33267,17398,1524
surprise_communities,0.6,0.6392455367469471,0.3582933345599368,0.05474774924332063,0.09498209454333176,772,36865,13800,1679
walktrap,0.6,0.6844099065951604,0.34623067300922883,0.057452963334137776,0.09855231359753847,584,38108,12557,1867
infomap,0.6,0.6873448906581937,0.4386309523809522,0.2278085111483475,0.29987379101565864,493,19411,6191,618
df_node_similarity,0.65,0.8034625294220553,0.3606078257766677,0.1867704527762981,0.2460853473142252,198,72750,1723,4816
leiden,0.65,0.7589553900962784,0.3917120446074805,0.12451236433770509,0.18896042871468663,637,41701,8964,1814
eigenvector,0.65,0.7945798982983142,0.415239679600945,0.14984809113353842,0.22022374779135054,520,44626,6039,1931
louvain,0.65,0.7692324273674046,0.3750065099425157,0.11804696881237761,0.17956827683444623,619,41924,8741,1832
greedy_modularity,0.65,0.7869301048537344,0.36532168315553964,0.13316094233176853,0.19517863650980158,541,44627,6038,1910
label_propagation,0.65,0.746562662868978,0.36979539998134536,0.22540631294680794,0.28008729089308526,693,37513,13152,1758
surprise_communities,0.65,0.6717733882237593,0.30667870271347697,0.05121981260072198,0.0877792167862264,645,39304,11361,1806
walktrap,0.65,0.726423511581803,0.27946389760927304,0.056954701271877135,0.09462486828936399,413,41246,9419,2038
infomap,0.65,0.7277034214676402,0.3645833333333332,0.23746377637308388,0.28760319164471304,337,20746,4856,774
df_node_similarity,0.7,0.8221984067565814,0.31787632207656935,0.19900418574894624,0.24477115188515425,168,73092,1381,4846
leiden,0.7,0.7869734053481764,0.3335752553187954,0.12809112653192833,0.18510349428378303,492,44030,6635,1959
eigenvector,0.7,0.81276415175201,0.3673443906527703,0.15419056842513812,0.21720898826295343,408,45667,4998,2043
louvain,0.7,0.7967170948602298,0.33629715236332,0.12787198749512396,0.18529015209741312,470,44322,6343,1981
greedy_modularity,0.7,0.8156953485074699,0.3194082660298549,0.1367903588565718,0.19154801855378922,319,46689,3976,2132
label_propagation,0.7,0.7897810814916122,0.31054264427604183,0.24499375785610475,0.2739010768826685,445,42250,8415,2006
surprise_communities,0.7,0.6950759234170113,0.2717637408340137,0.050542910277251364,0.085233924414684,541,40967,9698,1910
walktrap,0.7,0.7606517219078193,0.2561488227800712,0.0603917673319997,0.0977396301828009,312,43539,7126,2139
infomap,0.7,0.77236413111292,0.28738095238095235,0.2588017594507613,0.27234364800525496,165,23290,2312,946
df_node_similarity,0.75,0.8411687975343737,0.28049231504810335,0.21717578627831613,0.24480628315634093,149,73351,1122,4865
leiden,0.75,0.812730367851601,0.2961106064148807,0.13980790409638438,0.18993734959783973,418,46369,4296,2033
eigenvector,0.75,0.8291671070836224,0.31945273040660627,0.1579664959618454,0.2113983922751808,333,46870,3795,2118
louvain,0.75,0.8211801607609651,0.2922585986821678,0.137104374019755,0.1866482895441811,393,46625,4040,2058
greedy_modularity,0.75,0.8390968522599235,0.27146751608958797,0.14738907143887067,0.19105033232665838,226,48371,2294,2225
label_propagation,0.75,0.814152819380428,0.2645443742980569,0.2523024567687494,0.25827843588393423,351,44863,5802,2100
surprise_communities,0.75,0.7208978320378746,0.24534480974229828,0.051759493297594904,0.0854846120067878,467,42388,8277,1984
walktrap,0.75,0.7819420014417624,0.21359545594512988,0.0558031292723079,0.08848817695507416,237,45187,5478,2214
infomap,0.75,0.8018762563756032,0.2624999999999999,0.28165767019752014,0.27174160165751887,131,24072,1530,980
df_node_similarity,0.8,0.861447540906146,0.2531790033374828,0.2244631582308847,0.23795788252978495,129,73548,925,4885
leiden,0.8,0.8345098208747715,0.26866903298924544,0.14814655585877454,0.19098322120469927,358,48151,2514,2093
eigenvector,0.8,0.8458599780607005,0.2858401531210031,0.1635427315466015,0.20805011059415462,258,47677,2988,2193
louvain,0.8,0.8396581615620288,0.25388614819670113,0.14188766461463273,0.18203989996077308,326,48247,2418,2125
greedy_modularity,0.8,0.8581561022181455,0.2400996870883372,0.15055747079872242,0.1850666288727543,160,49076,1589,2291
label_propagation,0.8,0.8358529065502982,0.23759681543067188,0.26192672561143254,0.24916926137907167,232,46776,3889,2219
surprise_communities,0.8,0.7439353930798783,0.2295209474489841,0.05502150693416797,0.08876417706438978,403,43739,6926,2048
walktrap,0.8,0.806924069599407,0.16714669027878393,0.05664112985472918,0.0846103008038642,180,46463,4202,2271
infomap,0.8,0.821502586479513,0.2197619047619047,0.2873148993661365,0.24903868225545378,104,24360,1242,1007
df_node_similarity,0.85,0.8719368882080962,0.23619235709814623,0.23036571392501637,0.23324265229073965,112,73678,795,4902
leiden,0.85,0.8537964776153043,0.21933686748465783,0.1533861806107816,0.1805267720497398,281,48901,1764,2170
eigenvector,0.85,0.8652492418837016,0.2743230362525218,0.17758731440514103,0.21560157326183352,195,48669,1996,2256
louvain,0.85,0.8579210802622598,0.22274773238067128,0.14825144145806077,0.17802019376627157,252,48938,1727,2199
greedy_modularity,0.85,0.8721473074656114,0.2196187563007172,0.16214671132802935,0.18655673233778775,140,49593,1072,2311
label_propagation,0.85,0.8531634157005347,0.1991342734738049,0.26330841437351526,0.2267685539148195,149,48173,2492,2302
surprise_communities,0.85,0.7627511684512533,0.20466680465956005,0.05506526884669311,0.08678198630174926,339,44782,5883,2112
walktrap,0.85,0.8253963910816599,0.13086397606078842,0.05493692322107383,0.07738675359530715,126,47389,3276,2325
infomap,0.85,0.8406093350404921,0.20202380952380947,0.2937805673169475,0.23941163953257316,92,24555,1047,1019
df_node_similarity,0.9,0.8817973766864635,0.2119782055171256,0.24495407096455635,0.22727623794491533,97,73801,672,4917
leiden,0.9,0.8684414309875452,0.19204993553943078,0.15359154863724123,0.17068117321302922,182,49456,1209,2269
eigenvector,0.9,0.8785904841674759,0.2457788357232935,0.1842307958528836,0.21060007583144585,163,48992,1673,2288
louvain,0.9,0.8725169205926422,0.20152554976752027,0.1517895585555389,0.17315689884908192,175,49539,1126,2276
greedy_modularity,0.9,0.8817216782685806,0.2024863636189403,0.17666723202386742,0.1886976982111344,129,49960,705,2322
label_propagation,0.9,0.8638285976379674,0.18993520722571672,0.27971328846026294,0.22624325168927703,111,48853,1812,2340
surprise_communities,0.9,0.7817775401142777,0.18624204464581184,0.053615903864869884,0.08326207760325241,302,45562,5103,2149
walktrap,0.9,0.840842356722918,0.11423500189740222,0.05412626777076822,0.07345055443784121,100,48038,2627,2351
infomap,0.9,0.8537311892140682,0.19196428571428562,0.31172549250662945,0.2376072102131225,83,24707,895,1028
df_node_similarity,0.95,0.8909132926070841,0.18736050756072242,0.2538632771465157,0.2156001290309373,74,73891,582,4940
leiden,0.95,0.8813149000383196,0.17483635703872352,0.1594953909850257,0.16681391036969606,145,49908,757,2306
eigenvector,0.95,0.8898278983284698,0.21295151466366144,0.1945629809424099,0.20334236909802822,148,49618,1047,2303
louvain,0.95,0.8817237855186426,0.18061874480130935,0.15730738303309436,0.1681590130570759,139,49942,723,2312
greedy_modularity,0.95,0.8904987647954039,0.18103470393496957,0.1829878072359275,0.1820060160571403,112,50120,545,2339
label_propagation,0.95,0.8767024437215687,0.15033224344501805,0.30551670616785537,0.20150978470895228,93,49536,1129,2358
surprise_communities,0.95,0.7958085063147816,0.15170695931381759,0.05167315952536685,0.07708893036816232,257,46177,4488,2194
walktrap,0.95,0.8538679866447926,0.10083512532437909,0.05352644735185476,0.06993121323289098,81,48534,2131,2370
infomap,0.95,0.8640736533056315,0.1511309523809523,0.3316003707768776,0.2076313569940072,71,24839,763,1040
df_node_similarity,1,0.8976605278796593,0.14596389214477964,0.25227104667751044,0.1849283438433743,57,73993,480,4957
leiden,1,0.8895335374180656,0.14839493821623737,0.15514961229246943,0.15169712051710044,113,50066,599,2338
eigenvector,1,0.8966239870614225,0.15746507054886666,0.18218917973819931,0.16892726657457732,121,50114,551,2330
louvain,1,0.8901897767256495,0.158038188255527,0.15592700042980154,0.15697549624039672,115,50074,591,2336
greedy_modularity,1,0.8965805866900218,0.13717957858503615,0.17268088794699435,0.15289650663331625,97,50213,452,2354
label_propagation,1,0.8839409501899717,0.1290922239726876,0.3142436204896938,0.18300531457111177,82,49791,874,2369
surprise_communities,1,0.8099669785065323,0.12205581301451864,0.04969454941325764,0.07063168362833555,216,46674,3991,2235
walktrap,1,0.8642236701195821,0.08914357521698742,0.05251651435476809,0.06609497229135845,71,48846,1819,2380
infomap,1,0.8723559139361032,0.11636904761904758,0.3284461544544674,0.1718509889492858,59,24960,642,1052
