method,threshold,ACC,recall,PPV,f12
eigenvector,,0.9602111003632015,0.34160830717218066,0.46623093681917216,0.3943070660721754
louvain,,0.9605962372587771,0.34160830717218066,0.5125583566760038,0.40997664732597167
greedy_modularity,,0.9604551628836487,0.28545842389116965,0.499023199023199,0.363170714819514
label_propagation,,0.9556098060933811,0.3388580321446779,0.21169256814418103,0.26058904312647585
infomap,,0.9618264089071378,0.3206726770238,0.8931216931216931,0.47190814405743603
surprise_communities,,0.8884527594070483,0.41855563605141,0.05632286788657919,0.09928541130842626
walktrap,,0.9502306506314676,0.3676889640183531,0.17383053553417327,0.23606008492078687
df_node_similarity,,0.9949849166030229,0.4731707317073171,0.8632275132275131,0.6112758612365111
eigenvector,0.05,0.8658752372299424,0.5968230969438407,0.0946706515402761,0.16341906652322127
louvain,0.05,0.8311875972746526,0.47995384904344096,0.05476874999426897,0.09831816502370622
greedy_modularity,0.05,0.8488770164285006,0.4380758807588075,0.04297884014446996,0.07827796893844971
label_propagation,0.05,0.8905202516051376,0.41434972765569245,0.04642614609451223,0.08349682388446011
infomap,0.05,0.9626251828084291,0.4023692613163755,0.7425438596491228,0.5219205175150256
surprise_communities,0.05,0.5426810993924407,0.8517400520539858,0.060635136551696084,0.11321082600189536
walktrap,0.05,0.6792184801152011,0.6463696369636964,0.047945631882401654,0.08926953522231229
df_node_similarity,0.05,0.9934729199765756,0.6990407577343101,0.6212719298245615,0.657865980802754
eigenvector,0.1,0.9048383359707236,0.5245847755507259,0.10574846417229192,0.17601494208692609
louvain,0.1,0.8793729570037121,0.4365867074512329,0.061581480884922164,0.10793806834320477
greedy_modularity,0.1,0.8813229230771671,0.3507003139338324,0.04302933402257195,0.07665361767092836
label_propagation,0.1,0.9103161334321,0.3681987710966219,0.04642010412565676,0.0824459585159072
infomap,0.1,0.962051363077983,0.3559432772545547,0.7839506172839505,0.4895928529115471
surprise_communities,0.1,0.6733348471655165,0.7543937320561324,0.0665077645383501,0.12223888227501047
walktrap,0.1,0.7684843626481178,0.49952104966594213,0.04888136299932673,0.08904873206467574
df_node_similarity,0.1,0.9945671304202048,0.6259773538329443,0.7328843995510662,0.6752254759602111
eigenvector,0.15,0.9184362240977985,0.49135340363304625,0.1104628203635195,0.1803749403765851
louvain,0.15,0.9066919158223984,0.40716547264482544,0.07068780685532465,0.12046222354518905
greedy_modularity,0.15,0.9030083296349913,0.33738495800799595,0.05067717576978015,0.0881184497575438
label_propagation,0.15,0.9222432462406248,0.36438863398534976,0.05607171850461084,0.09718822138690976
infomap,0.15,0.9620861801199556,0.349698140545762,0.8157367324033991,0.48953678170704307
surprise_communities,0.15,0.7455828576145055,0.6300906919960289,0.07214111997055314,0.12945995162571047
walktrap,0.15,0.8197589809319462,0.4610641551960074,0.052965884069678754,0.09501651159407755
df_node_similarity,0.15,0.9949757384289217,0.5638258338028925,0.7828683662016995,0.6555332447857521
eigenvector,0.2,0.929036795457227,0.3874104483619094,0.1104851741254054,0.17193608022274773
louvain,0.2,0.9194390872410758,0.38108481579865305,0.0774147174230689,0.12868747377768242
greedy_modularity,0.2,0.916458973468695,0.3235195470766589,0.05625951711030917,0.09585074697702793
label_propagation,0.2,0.9287555262128566,0.3445933617752019,0.05930563087675603,0.10119523488700885
infomap,0.2,0.961852126384975,0.32990286833561405,0.828615520282187,0.4719176485660149
surprise_communities,0.2,0.7924555392613316,0.5716372856797874,0.07381677035076933,0.13074956411448857
walktrap,0.2,0.8525756804950986,0.4262228661890579,0.05739459499322505,0.1011662760148029
df_node_similarity,0.2,0.9951119410984941,0.5345991306447717,0.8071649029982364,0.6431975289399311
eigenvector,0.25,0.9357462643177175,0.38002495371488376,0.1199785280118491,0.18237806823674002
louvain,0.25,0.9276979128987397,0.3775497061901312,0.09192481667946216,0.14785120741707639
greedy_modularity,0.25,0.9277341447675567,0.31428935576484485,0.06847412370585206,0.11244901554262356
label_propagation,0.25,0.9335523435445717,0.3407832246639298,0.06438051782289733,0.10830090735443275
infomap,0.25,0.9618816615022294,0.32990286833561405,0.8425044091710759,0.474143459365133
surprise_communities,0.25,0.8219227507464835,0.518222919852961,0.07565349165907755,0.13203209484215744
walktrap,0.25,0.8720028670142524,0.40933215272746787,0.06223526053531119,0.1080434841509202
df_node_similarity,0.25,0.9951119410984941,0.5078919477313586,0.8141093474426808,0.6255358200455235
eigenvector,0.3,0.9417894539226932,0.3753897340953608,0.1410559404966442,0.20505913632615028
louvain,0.3,0.9337444241688865,0.375349486168129,0.10260118004150304,0.161151779593631
greedy_modularity,0.3,0.9343147662028919,0.3131892457538437,0.08157112962573701,0.12943143312298633
label_propagation,0.3,0.936211478511438,0.3405081971611795,0.06984742416791677,0.11591711795119088
infomap,0.3,0.9619119287621345,0.32990286833561405,0.8486772486772487,0.4751158696608928
surprise_communities,0.3,0.8441530198663879,0.4892712441975905,0.07662858931758763,0.13250459892745917
walktrap,0.3,0.8857599352543314,0.39703641095816894,0.06386614637483184,0.11003273961038933
df_node_similarity,0.3,0.9951119410984941,0.4975609756097561,0.8171957671957673,0.6185246440682957
eigenvector,0.35,0.9458198265928898,0.36289946067777507,0.15772364971587338,0.21988200782997377
louvain,0.35,0.9388086450294596,0.37126432155410666,0.11689018738311062,0.17780090246264374
greedy_modularity,0.35,0.9404376887890066,0.31047921865357275,0.10054295353957203,0.15189690370970907
label_propagation,0.35,0.938961706404981,0.3405081971611795,0.07745570924146322,0.12620373917284447
infomap,0.35,0.9619119287621345,0.32990286833561405,0.8486772486772487,0.4751158696608928
surprise_communities,0.35,0.8604992998392613,0.4687246773457833,0.07554753685700927,0.13012236859982867
walktrap,0.35,0.896583388725325,0.3891008613056428,0.06623447008026255,0.11319960292960803
df_node_similarity,0.35,0.9951119410984941,0.4975609756097561,0.8171957671957673,0.6185246440682957
eigenvector,0.4,0.9478673645605817,0.35908932356650297,0.168744046316559,0.22959588728204913
louvain,0.4,0.9426335039812742,0.3603839652257909,0.12446253090309664,0.18502474810902547
greedy_modularity,0.4,0.943662641920738,0.30395905444202964,0.11325436614452743,0.16502196883467732
label_propagation,0.4,0.9410612171010053,0.3405081971611795,0.08426225462861194,0.1350940880724155
infomap,0.4,0.9618826812993517,0.3271928412353431,0.8486772486772487,0.47229897701904167
surprise_communities,0.4,0.8730009511004533,0.44660844133193806,0.0737328852753699,0.12656972369442807
walktrap,0.4,0.9054215054536817,0.38387533875338753,0.06752115696976153,0.11484230493754193
df_node_similarity,0.4,0.9951119410984941,0.4975609756097561,0.8171957671957673,0.6185246440682957
eigenvector,0.45,0.950123981000129,0.3566140760417505,0.18178801824348526,0.24081691675967581
louvain,0.45,0.9446506864425392,0.3560237731090182,0.13004505155568746,0.19050442068960163
greedy_modularity,0.45,0.9477995130905512,0.3006989723362581,0.13547167050845432,0.186790160093702
label_propagation,0.45,0.9427484112917648,0.3405081971611795,0.09074936231561571,0.14330601783818556
infomap,0.45,0.9618545918792287,0.3266427862298425,0.8622574955908289,0.47379951895719613
surprise_communities,0.45,0.8828695289581221,0.4386728916794118,0.07633810224403839,0.13004559689725148
walktrap,0.45,0.9121814607826768,0.38057500872038424,0.07008066543670131,0.11836509064082575
df_node_similarity,0.45,0.9949803275159723,0.48536585365853663,0.8239858906525572,0.6108894984969694
eigenvector,0.5,0.9516374042762084,0.3563390485390003,0.19815236187577814,0.2546817597904797
louvain,0.5,0.9484756466256231,0.35221363599774613,0.1557850133204304,0.2160226451357332
greedy_modularity,0.5,0.9493928307860201,0.29661380772223567,0.13897440589469576,0.18926925210429488
label_propagation,0.5,0.9452072861538148,0.3405081971611795,0.10226144120821666,0.1572865705659035
infomap,0.5,0.9618560701754535,0.32365773162682127,0.8807760141093475,0.47336761828058105
surprise_communities,0.5,0.8903620468859705,0.4334876170543884,0.08028554805149136,0.13547920861757864
walktrap,0.5,0.9183493273212812,0.3775497061901312,0.07280594558545796,0.1220718037236111
df_node_similarity,0.5,0.9949803275159723,0.48536585365853663,0.8332451499118165,0.6134163030624312
eigenvector,0.55,0.953385425882085,0.3555139660307494,0.22081666630403143,0.2724249047301495
louvain,0.55,0.9513182414073239,0.35221363599774613,0.1850005196527383,0.24258372570047032
greedy_modularity,0.55,0.9516323630950679,0.29307869811371384,0.1560454232142082,0.20365679468296413
label_propagation,0.55,0.9465400963623927,0.3402331696584293,0.10821356870378201,0.16420164238277998
