method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
eigenvector,0.35,0.28681981532770817,0.8072848748289462,0.04410979695882829,0.08364903633203416,1119,8577,23861,231
louvain,0.35,0.29943762413960073,0.8581528884595777,0.04350540349342914,0.08281249782690721,1091,9043,23395,259
greedy_modularity,0.35,0.3494149480048575,0.7818374520378867,0.040332662135748,0.07670817816045929,973,10815,21623,377
label_propagation,0.35,0.1610801558232372,0.9302235101558937,0.04083008324153331,0.07822658524955742,1114,4353,28085,236
surprise_communities,0.35,0.3947899222520634,0.8165901956049263,0.04861434071053338,0.0917655706223547,993,12363,20075,357
walktrap,0.35,0.23292998754565897,0.7552228393571064,0.03698805136380459,0.07052218418214092,965,6920,25518,385
infomap,0.35,0.4746888938861651,0.7,0.0018074279096800315,0.0036055461554301144,7,3495,3880,3
leiden,0.4,0.25016145940869783,0.8441667337465453,0.041513247963790634,0.07913491027115668,1049,7427,25011,301
eigenvector,0.4,0.30471834642311,0.8034344897904424,0.04522714075909255,0.08563376368726056,1105,9197,23241,245
louvain,0.4,0.3138138687153122,0.8477018433550672,0.04285587580509569,0.08158708669177643,1053,9565,22873,297
greedy_modularity,0.4,0.43742172954097214,0.7063551477098929,0.04005960666351772,0.07581926594085896,867,13869,18569,483
label_propagation,0.4,0.2041270357054405,0.8904397756848854,0.04173615796859377,0.07973502382505941,1058,5858,26580,292
surprise_communities,0.4,0.47708667079326006,0.7492299229922992,0.05127829535699107,0.09598710519354371,881,15254,17184,469
walktrap,0.4,0.2798153060242275,0.727686549142719,0.038165980049529195,0.07252798484894753,918,8553,23885,432
infomap,0.4,0.47754599608892234,0.7,0.0018191437913089486,0.003628856993091425,7,3516,3859,3
leiden,0.45,0.29047062157446657,0.8200850572862164,0.04142016489443071,0.07885746348530213,988,8848,23590,362
eigenvector,0.45,0.32941041061151916,0.7894885830046419,0.045858157134291,0.08668134980483473,1072,10064,22374,278
louvain,0.45,0.35433023562987376,0.8225200568837372,0.04258783229289549,0.08098260732183744,988,10995,21443,362
greedy_modularity,0.45,0.5132042402817554,0.626277871689608,0.04100689857058106,0.0769737728357303,762,16533,15905,588
label_propagation,0.45,0.2599558846599931,0.8720531809278489,0.042865974056838584,0.0817152178444933,1000,7795,24643,350
surprise_communities,0.45,0.5492184321276666,0.5007834929834447,0.05213549252735059,0.09443913029008898,740,17832,14606,610
walktrap,0.45,0.360617636683595,0.6951997638788269,0.04128372183748227,0.07793910991919281,853,11349,21089,497
infomap,0.45,0.5853538196230714,0.5,0.0016316648356922683,0.003252714990044966,5,4318,3057,5
leiden,0.5,0.40089958809809423,0.7099305052456466,0.04489232136540626,0.08444479224795645,880,12683,19755,470
eigenvector,0.5,0.5484937377072552,0.5565684617242213,0.052882859757457656,0.09658829464912641,819,17704,14734,531
louvain,0.5,0.4573650806318402,0.6824827604711691,0.043406233530855196,0.08162131214710679,860,14582,17856,490
greedy_modularity,0.5,0.5802114262718477,0.5306850197214844,0.04282686876274243,0.07925756431670017,636,18933,13505,714
label_propagation,0.5,0.38847270590710514,0.6885534894952909,0.044900813980711635,0.08430412638136353,705,12453,19985,645
