method,threshold,ACC,recall,PPV,f12
louvain,,0.9484408770623544,0.2476749029813049,0.6496767498805542,0.3586300320118684
infomap,,0.9118801818025875,0.310715628089815,0.30110023588369605,0.3058323734954498
df_node_similarity,,0.9340656918719018,0.1884774322638068,0.47197842624699504,0.26938146044620553
eigenvector,,0.9720785718009133,0.34403391883706846,0.14883505546878129,0.2077806072714265
surprise_communities,,0.4794101188104403,0.10539067231980619,0.0024604700114242216,0.004808675793721871
walktrap,,0.7550716417620745,0.2214819301433475,0.006730070178319028,0.013063195020360761
greedy_modularity,,0.989121220683809,0.3076923076923077,0.05555555555555555,0.09411764705882353
louvain,0.05,0.9420867393198487,0.7123626715632878,0.3860178705417798,0.5007093825666286
infomap,0.05,0.8754918889346693,0.6369643023871028,0.255262596567087,0.36446594905053
df_node_similarity,0.05,0.932266485086988,0.5806179403919904,0.35105377614224154,0.43755352202548053
eigenvector,0.05,0.9570541921975338,0.8287401574803149,0.1363221616571541,0.23413130422661121
surprise_communities,0.05,0.8548592737353115,0.4832424793054715,0.024721364957589743,0.047036472492456904
walktrap,0.05,0.9638101953802626,0.858267716535433,0.11501870548880462,0.20285260224513743
greedy_modularity,0.05,0.9813506640293869,0.9230769230769231,0.08391608391608392,0.15384615384615385
louvain,0.1,0.9472493609487606,0.6093709525667759,0.4554746536240347,0.5213019088124319
infomap,0.1,0.884364936351119,0.5689115831104876,0.2613276315795368,0.3581433253497581
df_node_similarity,0.1,0.9321585023478681,0.4780372657127193,0.3739894600206723,0.419660307532656
eigenvector,0.1,0.9663283248850083,0.735160508782556,0.1571295247997193,0.2589189995382182
surprise_communities,0.1,0.864924333233577,0.38077932566121536,0.019216843790536505,0.0365872344724043
walktrap,0.1,0.9707727631774018,0.7032101756511205,0.11689945643607606,0.2004729223450781
greedy_modularity,0.1,0.9885560892907601,0.7692307692307693,0.11363636363636363,0.198019801980198
louvain,0.15,0.948475092677862,0.5286030385225866,0.49820803686493004,0.5129556710396515
infomap,0.15,0.8897007255331949,0.5192943311395897,0.2647228069610537,0.35067869386444045
df_node_similarity,0.15,0.9320515562731112,0.440042246923452,0.37539601848607496,0.40515662427926136
eigenvector,0.15,0.9723321070832875,0.6533918837068443,0.17314039597704453,0.2737425561079274
surprise_communities,0.15,0.8736289857415995,0.3124369069250959,0.017412360349406228,0.03298636407341933
walktrap,0.15,0.9728833462677673,0.4968705834847567,0.09127387524589126,0.15421824681718335
greedy_modularity,0.15,0.9902514834699068,0.7692307692307693,0.13157894736842105,0.2247191011235955
louvain,0.2,0.9490276660738951,0.48344409783985276,0.5293464715131349,0.5053550755885539
infomap,0.2,0.8941094206056815,0.4754954477224248,0.2689644457329222,0.3435816238577818
df_node_similarity,0.2,0.9323315530433596,0.35181202646111925,0.3906917180134367,0.3702339444312216
eigenvector,0.2,0.9754276991986233,0.612053301029679,0.17504279428316422,0.272229834960335
surprise_communities,0.2,0.8838492090403114,0.285483545326065,0.018392948406820223,0.034559330704888876
walktrap,0.2,0.97476896164223,0.4094488188976378,0.08753561253561254,0.14423531562477784
greedy_modularity,0.2,0.9909578977112179,0.5384615384615384,0.1076923076923077,0.17948717948717952
louvain,0.25,0.9489967054381462,0.45498793401052906,0.5544530954182001,0.49982012031517276
infomap,0.25,0.8979119361553218,0.4597240742824448,0.27644422413865805,0.345269051398832
df_node_similarity,0.25,0.9324721424143196,0.3063252611438164,0.40255221486819137,0.3479075482472562
eigenvector,0.25,0.9778883247810429,0.5386129618413082,0.18188728177447921,0.2719411920422846
surprise_communities,0.25,0.8946594380700678,0.2841712093680598,0.020113253681583065,0.03756752852734095
walktrap,0.25,0.9759328678775833,0.39632545931758534,0.08650806035531076,0.14201726002046888
greedy_modularity,0.25,0.9912404634077423,0.5384615384615384,0.1111111111111111,0.1842105263157895
louvain,0.3,0.9491479240479445,0.4180328486987166,0.5883357653129055,0.4887745355744037
infomap,0.3,0.9013066906788733,0.43473257314407604,0.2829272177808614,0.34277433110707195
df_node_similarity,0.3,0.9325503632183412,0.2919849483697481,0.4098019207098015,0.34100379454865987
eigenvector,0.3,0.9801369662226367,0.5016656571774682,0.1967886964636542,0.28268742322783624
surprise_communities,0.3,0.9023124105379106,0.2545931758530184,0.02053104753266155,0.037997850793400165
walktrap,0.3,0.9772884445631721,0.39632545931758534,0.09262362366069225,0.15015510395226117
greedy_modularity,0.3,0.9919468776490534,0.5384615384615384,0.1206896551724138,0.19718309859154928
louvain,0.35,0.949133799631716,0.39374860846103577,0.6052866442338614,0.4771218497930594
infomap,0.35,0.9037984822870162,0.4272382530170959,0.2905081249843621,0.34584969735741083
df_node_similarity,0.35,0.932740060454293,0.29176536119363916,0.4210523212735037,0.34468416151684533
eigenvector,0.35,0.9817557544616891,0.4627498485766202,0.20539755062221926,0.28451112901856745
surprise_communities,0.35,0.9091311993042693,0.21219462951746418,0.020761042380493328,0.03782163070281338
walktrap,0.35,0.9785407782403048,0.3706844336765596,0.09449895755628239,0.15060422717131056
greedy_modularity,0.35,0.99237072619384,0.5384615384615384,0.12727272727272726,0.20588235294117643
louvain,0.4,0.9491469831509475,0.38606833084751613,0.6275837932394736,0.47805400248364377
infomap,0.4,0.9062434456381653,0.4015962298570994,0.29845821817469287,0.34242963679699656
df_node_similarity,0.4,0.9329103846816957,0.2874479394849131,0.43323262271079227,0.3455950701277402
eigenvector,0.4,0.9827395063330662,0.4568443367655966,0.2170056091719207,0.29424290732451264
surprise_communities,0.4,0.9151860710666618,0.2082576216434484,0.021488296814996973,0.0389569626993759
walktrap,0.4,0.9797611527554414,0.3424187361195235,0.09367831140727097,0.14711041579302594
greedy_modularity,0.4,0.9927945747386268,0.5384615384615384,0.1346153846153846,0.2153846153846154
louvain,0.45,0.9492375852167114,0.3824238753372612,0.6605873499355417,0.4844135292888082
infomap,0.45,0.9085703231762782,0.37910848138509895,0.3086898472328961,0.3402943401697578
df_node_similarity,0.45,0.933018055532307,0.2486789789768222,0.45181784899420435,0.32079403327727857
eigenvector,0.45,0.9836917325730548,0.41989703210175655,0.21908585055643878,0.2879372857108185
surprise_communities,0.45,0.9211475991639735,0.20694528568544315,0.022951874772168465,0.04132093038720835
walktrap,0.45,0.9801501482616141,0.3141530385624874,0.09195955051295428,0.1422727243410742
greedy_modularity,0.45,0.9926532918903646,0.46153846153846156,0.11764705882352941,0.1875
louvain,0.5,0.9491327235715067,0.3661124650768609,0.673122658837669,0.4742691817379678
infomap,0.5,0.9096249278948327,0.36189996241348515,0.3115368575698935,0.3348352026482379
