method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
eigenvector,0.1,0.2791994021410273,0.8611111111111112,0.15526893585717116,0.263098053283962,23,26,126,4,"[2, 2, 2, 1, 3, 2, 4, 4, 3, 4, 2, 3, 2, 3, 5, 2, 2, 3, 13, 15, 18, 6, 17, 9, 13, 21, 14, 0, 0, 0, 2, 0, 1, 0, 0, 1]"
louvain,0.1,0.29088478369823245,0.8240740740740741,0.15067552111568802,0.25476859115774547,22,30,122,5,"[2, 2, 2, 1, 3, 1, 4, 4, 3, 3, 3, 4, 2, 3, 4, 4, 4, 3, 14, 14, 17, 6, 17, 10, 11, 19, 14, 0, 0, 0, 2, 0, 2, 0, 0, 1]"
greedy_modularity,0.1,0.2778234131489392,0.8333333333333335,0.15215289190252174,0.2573228794853816,22,27,125,5,"[2, 2, 2, 1, 3, 2, 4, 3, 3, 4, 2, 4, 2, 2, 3, 4, 3, 3, 13, 15, 17, 6, 18, 11, 11, 20, 14, 0, 0, 0, 2, 0, 1, 0, 1, 1]"
label_propagation,0.1,0.250157630334415,0.9259259259259258,0.16282517295417193,0.27694860503326857,25,19,133,2,"[2, 2, 2, 2, 2, 3, 4, 4, 4, 3, 2, 3, 1, 3, 2, 2, 2, 1, 14, 15, 18, 7, 17, 12, 13, 21, 16, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
infomap,0.1,0.282891770201263,0.9351851851851853,0.17250356282864027,0.2912781711257261,25,24,128,2,"[2, 2, 2, 3, 3, 2, 4, 4, 3, 3, 2, 4, 2, 3, 2, 2, 3, 3, 14, 15, 17, 6, 17, 12, 13, 20, 14, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
surprise_communities,0.1,0.4046316819084202,0.574074074074074,0.14681514210667979,0.23383001125047473,16,56,96,11,"[0, 2, 1, 1, 2, 2, 3, 3, 2, 7, 8, 6, 3, 5, 5, 5, 7, 10, 10, 9, 15, 5, 15, 9, 10, 16, 7, 2, 0, 1, 2, 1, 1, 1, 1, 2]"
walktrap,0.1,0.29722052137211946,0.898148148148148,0.16794376170021166,0.28297443620134805,24,29,123,3,"[2, 2, 2, 2, 3, 2, 3, 4, 4, 6, 2, 4, 1, 3, 2, 5, 3, 3, 11, 15, 17, 7, 17, 12, 10, 20, 14, 0, 0, 0, 1, 0, 1, 1, 0, 0]"
df_node_similarity,0.1,0.2464957074370634,0.8981481481481483,0.16110057278271933,0.27319774525335255,23,21,131,4,"[2, 2, 2, 1, 3, 2, 3, 4, 4, 2, 2, 2, 1, 2, 4, 3, 2, 3, 15, 15, 19, 7, 18, 10, 12, 21, 14, 0, 0, 0, 2, 0, 1, 1, 0, 0]"
leiden,0.15,0.30496318958950386,0.8240740740740741,0.15625728187647692,0.26270214473520215,22,33,119,5,"[2, 2, 2, 1, 3, 1, 4, 4, 3, 3, 2, 4, 2, 3, 4, 6, 6, 3, 14, 15, 17, 6, 17, 10, 9, 17, 14, 0, 0, 0, 2, 0, 2, 0, 0, 1]"
eigenvector,0.15,0.28504735535740156,0.8611111111111112,0.15690292278527573,0.26544005421827255,23,27,125,4,"[2, 2, 2, 1, 3, 2, 4, 4, 3, 4, 2, 3, 2, 3, 5, 3, 2, 3, 13, 15, 18, 6, 17, 9, 12, 21, 14, 0, 0, 0, 2, 0, 1, 0, 0, 1]"
louvain,0.15,0.305980224931482,0.7685185185185186,0.150035131897877,0.251057251233213,21,34,118,6,"[2, 2, 1, 1, 3, 1, 4, 4, 3, 3, 4, 4, 2, 3, 4, 5, 6, 3, 14, 13, 17, 6, 17, 10, 10, 17, 14, 0, 0, 1, 2, 0, 2, 0, 0, 1]"
greedy_modularity,0.15,0.2960552672941061,0.8333333333333335,0.1581357978854277,0.2658274018258132,22,30,122,5,"[2, 2, 2, 1, 3, 2, 4, 3, 3, 4, 2, 4, 2, 2, 4, 6, 3, 3, 13, 15, 17, 6, 18, 10, 9, 20, 14, 0, 0, 0, 2, 0, 1, 0, 1, 1]"
label_propagation,0.15,0.2629176570786777,0.898148148148148,0.1602162404922983,0.27192509734055664,24,23,129,3,"[2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 2, 4, 1, 5, 2, 2, 3, 1, 14, 15, 17, 7, 15, 12, 13, 20, 16, 0, 0, 0, 1, 1, 0, 1, 0, 0]"
infomap,0.15,0.30295595985609597,0.9351851851851853,0.17957233236544046,0.3012913252494545,25,27,125,2,"[2, 2, 2, 3, 3, 2, 4, 4, 3, 3, 2, 4, 3, 3, 2, 3, 4, 3, 14, 15, 17, 5, 17, 12, 12, 19, 14, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
surprise_communities,0.15,0.4166760171157352,0.4907407407407407,0.13655509341783847,0.2136572380898366,14,61,91,13,"[0, 2, 0, 1, 2, 2, 2, 3, 2, 7, 8, 7, 3, 7, 5, 5, 9, 10, 10, 9, 14, 5, 13, 9, 10, 14, 7, 2, 0, 2, 2, 1, 1, 2, 1, 2]"
walktrap,0.15,0.3181639158217433,0.8425925925925926,0.167983867983868,0.28012123448337545,23,34,118,4,"[2, 2, 1, 2, 3, 2, 3, 4, 4, 6, 4, 4, 1, 3, 2, 6, 5, 3, 11, 13, 17, 7, 17, 12, 9, 18, 14, 0, 0, 1, 1, 0, 1, 1, 0, 0]"
df_node_similarity,0.15,0.2464957074370634,0.8981481481481483,0.16463495755111945,0.2782629521527759,23,21,131,4,"[2, 2, 2, 1, 3, 2, 3, 4, 4, 2, 2, 2, 1, 2, 4, 3, 2, 3, 15, 15, 19, 7, 18, 10, 12, 21, 14, 0, 0, 0, 2, 0, 1, 1, 0, 0]"
leiden,0.2,0.2967327369146068,0.7407407407407408,0.14130483666087382,0.23733523994705416,19,34,118,8,"[2, 2, 2, 1, 3, 1, 3, 2, 3, 4, 2, 4, 2, 3, 4, 6, 6, 3, 13, 15, 17, 6, 17, 10, 9, 17, 14, 0, 0, 0, 2, 0, 2, 1, 2, 1]"
