method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
infomap,0.3,0.948234675840467,0.7977777777777778,0.4486865861770515,0.5743480487533574,80,3447,103,91
surprise_communities,0.3,0.611113635275744,0.9244444444444445,0.08206460494033745,0.15074711582373598,146,2130,1420,25
walktrap,0.3,0.6436062664423992,0.8466666666666667,0.06721941175262373,0.12455039337578509,102,2284,1266,69
df_node_similarity,0.3,0.93876314267483,0.8622222222222222,0.4220125571914357,0.5666699122311787,79,3414,136,92
leiden,0.35,0.8941407355847869,0.8866666666666667,0.29279045672843007,0.44021530439685885,120,3217,333,51
eigenvector,0.35,0.9151720424021556,0.7644444444444444,0.3095389894407509,0.44064992690049987,83,3324,226,88
louvain,0.35,0.887817352006087,0.8955555555555557,0.23269855657763283,0.36941054833621956,124,3182,368,47
greedy_modularity,0.35,0.8788436024192202,0.8422222222222222,0.21329800033058255,0.3403900976894688,100,3176,374,71
label_propagation,0.35,0.952500707496855,0.7666666666666667,0.47743282498184464,0.5884285540556975,66,3474,76,105
infomap,0.35,0.9515998065959541,0.7666666666666667,0.47496368917937537,0.5865494938269799,66,3471,79,105
surprise_communities,0.35,0.6342574384716977,0.8644444444444445,0.08585152914508674,0.15619108041930171,143,2220,1330,28
walktrap,0.35,0.6794621077172474,0.8133333333333334,0.06555577846913557,0.12133202950305072,87,2431,1119,84
df_node_similarity,0.35,0.9426468939596333,0.8311111111111111,0.4412292863273256,0.5764346760545419,66,3439,111,105
leiden,0.4,0.9110258735558889,0.8644444444444445,0.33560566030450206,0.4835005595621001,110,3287,263,61
eigenvector,0.4,0.9241201648836799,0.7511111111111112,0.3405528677458502,0.4686296293342787,77,3362,188,94
louvain,0.4,0.9035826173317254,0.8688888888888889,0.26883637622351714,0.4106245108421474,112,3253,297,59
greedy_modularity,0.4,0.89553771818213,0.8088888888888888,0.22944873162264467,0.35749167883904925,85,3250,300,86
label_propagation,0.4,0.9555310703616507,0.7555555555555556,0.5032153032153032,0.6040926596539633,61,3489,61,110
infomap,0.4,0.9549304697610501,0.7555555555555556,0.500936100936101,0.6024473813020069,61,3487,63,110
surprise_communities,0.4,0.6674618537913576,0.8444444444444446,0.09040650696725268,0.16332715377748772,134,2353,1197,37
walktrap,0.4,0.714148872611761,0.7711111111111111,0.0669109057304232,0.12313696257694848,77,2569,981,94
df_node_similarity,0.4,0.9450607708747274,0.8122222222222223,0.46112375279041945,0.5882689646969933,61,3452,98,110
leiden,0.45,0.9236611989868915,0.8511111111111112,0.35693325031560325,0.5029448668753093,104,3337,213,67
eigenvector,0.45,0.9320701005722482,0.7422222222222222,0.35258549907218995,0.47806895686720763,73,3394,156,98
louvain,0.45,0.9171059192655322,0.8466666666666667,0.29168566546017527,0.4338912006763426,102,3311,239,69
greedy_modularity,0.45,0.9093796630444475,0.7866666666666666,0.24872432127251237,0.37795023331972455,75,3309,241,96
label_propagation,0.45,0.9572322842256225,0.7333333333333334,0.5481962481962481,0.6273918102315805,51,3504,46,120
infomap,0.45,0.9566316836250218,0.7333333333333334,0.545088245088245,0.6253514278520139,51,3502,48,120
surprise_communities,0.45,0.6883451136773349,0.8422222222222222,0.09554919225481716,0.1716274388194433,133,2432,1118,38
walktrap,0.45,0.7452926109627495,0.7244444444444444,0.06668887855929923,0.12213462933171362,65,2698,852,106
df_node_similarity,0.45,0.9474905090466242,0.7911111111111111,0.491636218719552,0.6064154119970521,50,3470,80,121
leiden,0.5,0.9357130847695942,0.8155555555555556,0.3756144403161976,0.5143421083614115,97,3386,164,74
eigenvector,0.5,0.9352242621108569,0.7044444444444444,0.35757002863882215,0.47435929840611507,65,3413,137,106
