method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
eigenvector,0.1,0.8383662849345385,0.8425925925925927,0.5716931216931216,0.6811981266713777,22,127,25,5,"[2, 2, 2, 1, 3, 3, 3, 3, 3, 16, 14, 15, 8, 13, 13, 13, 19, 16, 1, 3, 6, 0, 7, 1, 2, 4, 1, 0, 0, 0, 2, 0, 0, 1, 1, 1]"
louvain,0.1,0.8235998845472231,0.8425925925925927,0.5629629629629629,0.674962182208559,22,124,28,5,"[2, 2, 2, 1, 3, 3, 3, 3, 3, 15, 13, 15, 8, 13, 12, 15, 17, 16, 2, 4, 6, 0, 7, 2, 0, 6, 1, 0, 0, 0, 2, 0, 0, 1, 1, 1]"
greedy_modularity,0.1,0.8315289934170897,0.8703703703703705,0.5445326278659612,0.6699329432268043,23,125,27,4,"[2, 2, 2, 1, 3, 3, 3, 4, 3, 15, 14, 14, 8, 16, 12, 13, 17, 16, 2, 3, 7, 0, 4, 2, 2, 6, 1, 0, 0, 0, 2, 0, 0, 1, 0, 1]"
label_propagation,0.1,0.8841651621598077,0.9351851851851851,0.6104938271604938,0.7387365400544313,25,134,18,2,"[2, 2, 2, 2, 3, 3, 3, 4, 4, 16, 14, 18, 7, 19, 13, 14, 21, 12, 1, 3, 3, 1, 1, 1, 1, 2, 5, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
infomap,0.1,0.8312524762323599,0.9444444444444444,0.5074074074074074,0.6601473922902495,25,122,30,2,"[2, 2, 2, 3, 3, 3, 3, 4, 3, 15, 14, 14, 7, 13, 12, 13, 18, 16, 2, 3, 7, 1, 7, 2, 2, 5, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
surprise_communities,0.1,0.8138473032207796,0.7777777777777778,0.4059523809523809,0.5334674265281036,21,125,27,6,"[1, 2, 2, 0, 3, 3, 3, 3, 4, 16, 13, 15, 8, 15, 12, 12, 19, 15, 1, 4, 6, 0, 5, 2, 3, 4, 2, 1, 0, 0, 3, 0, 0, 1, 1, 0]"
walktrap,0.1,0.8261202145529332,0.9351851851851851,0.5227513227513226,0.6706318003723193,25,121,31,2,"[2, 2, 2, 2, 3, 3, 4, 4, 3, 15, 13, 15, 8, 13, 12, 12, 17, 16, 2, 4, 6, 0, 7, 2, 3, 6, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
df_node_similarity,0.1,0.8566729210901449,0.9074074074074074,0.5920194003527337,0.7165441973275656,23,130,22,4,"[2, 2, 2, 1, 3, 3, 4, 3, 3, 15, 14, 17, 8, 16, 13, 12, 19, 16, 2, 3, 4, 0, 4, 1, 3, 4, 1, 0, 0, 0, 2, 0, 0, 0, 1, 1]"
leiden,0.15,0.8359837854760156,0.8425925925925927,0.5709876543209876,0.68069707261847,22,126,26,5,"[2, 2, 2, 1, 3, 3, 3, 3, 3, 15, 15, 14, 8, 14, 13, 14, 17, 16, 2, 2, 7, 0, 6, 1, 1, 6, 1, 0, 0, 0, 2, 0, 0, 1, 1, 1]"
eigenvector,0.15,0.8679267827500728,0.8425925925925927,0.6499999999999999,0.7338709677419355,22,133,19,5,"[2, 2, 2, 1, 3, 3, 3, 3, 3, 16, 15, 15, 8, 14, 14, 13, 22, 16, 1, 2, 6, 0, 6, 0, 2, 1, 1, 0, 0, 0, 2, 0, 0, 1, 1, 1]"
louvain,0.15,0.8408147033504119,0.8425925925925927,0.5907407407407407,0.6945401473825246,22,127,25,5,"[2, 2, 2, 1, 3, 3, 3, 3, 3, 15, 14, 15, 8, 14, 13, 15, 17, 16, 2, 3, 6, 0, 6, 1, 0, 6, 1, 0, 0, 0, 2, 0, 0, 1, 1, 1]"
greedy_modularity,0.15,0.872484053860342,0.8703703703703705,0.6358024691358025,0.7348208864602308,23,133,19,4,"[2, 2, 2, 1, 3, 3, 3, 4, 3, 15, 15, 14, 8, 19, 13, 14, 19, 16, 2, 2, 7, 0, 1, 1, 1, 4, 1, 0, 0, 0, 2, 0, 0, 1, 0, 1]"
label_propagation,0.15,0.9201232807520479,0.9351851851851851,0.687037037037037,0.7921317436157618,25,141,11,2,"[2, 2, 2, 2, 3, 3, 3, 4, 4, 16, 15, 19, 7, 19, 13, 14, 22, 16, 1, 2, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
infomap,0.15,0.863233695422864,0.9444444444444444,0.5807760141093474,0.7192542912940693,25,128,24,2,"[2, 2, 2, 3, 3, 3, 3, 4, 3, 15, 15, 14, 7, 14, 14, 13, 20, 16, 2, 2, 7, 1, 6, 0, 2, 3, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
surprise_communities,0.15,0.8138473032207796,0.7777777777777778,0.4059523809523809,0.5334674265281036,21,125,27,6,"[1, 2, 2, 0, 3, 3, 3, 3, 4, 16, 13, 15, 8, 15, 12, 12, 19, 15, 1, 4, 6, 0, 5, 2, 3, 4, 2, 1, 0, 0, 3, 0, 0, 1, 1, 0]"
walktrap,0.15,0.8557189342849144,0.9351851851851851,0.588888888888889,0.7226947482111518,25,126,26,2,"[2, 2, 2, 2, 3, 3, 4, 4, 3, 15, 14, 15, 8, 14, 14, 13, 17, 16, 2, 3, 6, 0, 6, 0, 2, 6, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
df_node_similarity,0.15,0.9145032346151084,0.9074074074074074,0.7486772486772486,0.8204354514258668,23,142,10,4,"[2, 2, 2, 1, 3, 3, 4, 3, 3, 15, 15, 20, 8, 19, 14, 12, 23, 16, 2, 2, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 1]"
leiden,0.2,0.8359837854760156,0.8425925925925927,0.5709876543209876,0.68069707261847,22,126,26,5,"[2, 2, 2, 1, 3, 3, 3, 3, 3, 15, 15, 14, 8, 14, 13, 14, 17, 16, 2, 2, 7, 0, 6, 1, 1, 6, 1, 0, 0, 0, 2, 0, 0, 1, 1, 1]"
eigenvector,0.2,0.8875517980526879,0.8425925925925927,0.7037037037037037,0.7669106231980485,22,137,15,5,"[2, 2, 2, 1, 3, 3, 3, 3, 3, 16, 15, 17, 8, 14, 14, 14, 23, 16, 1, 2, 4, 0, 6, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 1, 1]"
louvain,0.2,0.8408147033504119,0.8425925925925927,0.5907407407407407,0.6945401473825246,22,127,25,5,"[2, 2, 2, 1, 3, 3, 3, 3, 3, 15, 14, 15, 8, 14, 13, 15, 17, 16, 2, 3, 6, 0, 6, 1, 0, 6, 1, 0, 0, 0, 2, 0, 0, 1, 1, 1]"
greedy_modularity,0.2,0.8821458896091343,0.8703703703703705,0.6428571428571428,0.7395104895104895,23,135,17,4,"[2, 2, 2, 1, 3, 3, 3, 4, 3, 15, 15, 16, 8, 19, 13, 14, 19, 16, 2, 2, 5, 0, 1, 1, 1, 4, 1, 0, 0, 0, 2, 0, 0, 1, 0, 1]"
label_propagation,0.2,0.9302452039174491,0.9351851851851851,0.7277777777777777,0.8185473892600841,25,143,9,2,"[2, 2, 2, 2, 3, 3, 3, 4, 4, 16, 15, 20, 7, 19, 13, 14, 22, 17, 1, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
infomap,0.2,0.8690816486392383,0.9444444444444444,0.597442680776014,0.731897181711308,25,129,23,2,"[2, 2, 2, 3, 3, 3, 3, 4, 3, 15, 15, 14, 7, 14, 14, 14, 20, 16, 2, 2, 7, 1, 6, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
surprise_communities,0.2,0.8196952564371539,0.7777777777777778,0.4133597883597883,0.539823554815226,21,126,26,6,"[1, 2, 2, 0, 3, 3, 3, 3, 4, 16, 14, 15, 8, 15, 12, 12, 19, 15, 1, 3, 6, 0, 5, 2, 3, 4, 2, 1, 0, 0, 3, 0, 0, 1, 1, 0]"
walktrap,0.2,0.8733556185882654,0.9351851851851851,0.6357142857142857,0.7569046817110138,25,130,22,2,"[2, 2, 2, 2, 3, 3, 4, 4, 3, 15, 14, 15, 8, 14, 14, 13, 20, 17, 2, 3, 6, 0, 6, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
df_node_similarity,0.2,0.925642193122488,0.9074074074074074,0.787037037037037,0.8429467719085205,23,144,8,4,"[2, 2, 2, 1, 3, 3, 4, 3, 3, 15, 15, 20, 8, 19, 14, 13, 23, 17, 2, 2, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1]"
leiden,0.25,0.8412747907670208,0.8425925925925927,0.5987654320987654,0.7000555159013403,22,127,25,5,"[2, 2, 2, 1, 3, 3, 3, 3, 3, 15, 15, 14, 8, 14, 13, 14, 17, 17, 2, 2, 7, 0, 6, 1, 1, 6, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1]"
eigenvector,0.25,0.8986907565600676,0.8425925925925927,0.7592592592592593,0.7987582958681224,22,139,13,5,"[2, 2, 2, 1, 3, 3, 3, 3, 3, 16, 15, 17, 8, 14, 14, 15, 23, 17, 1, 2, 4, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1]"
louvain,0.25,0.8519536618577913,0.8425925925925927,0.6296296296296297,0.720708129513161,22,129,23,5,"[2, 2, 2, 1, 3, 3, 3, 3, 3, 15, 15, 15, 8, 14, 13, 15, 17, 17, 2, 2, 6, 0, 6, 1, 0, 6, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1]"
greedy_modularity,0.25,0.8874368949001396,0.8703703703703705,0.6706349206349206,0.7575584167858845,23,136,16,4,"[2, 2, 2, 1, 3, 3, 3, 4, 3, 15, 15, 16, 8, 19, 13, 14, 19, 17, 2, 2, 5, 0, 1, 1, 1, 4, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1]"
label_propagation,0.25,0.9242594201538878,0.8981481481481483,0.7314814814814814,0.8062920875420875,24,144,8,3,"[2, 2, 2, 1, 3, 3, 3, 4, 4, 16, 15, 20, 7, 19, 13, 14, 23, 17, 1, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0]"
infomap,0.25,0.8802206071466178,0.9444444444444444,0.6529982363315696,0.7721348176771858,25,131,21,2,"[2, 2, 2, 3, 3, 3, 3, 4, 3, 15, 15, 14, 7, 14, 14, 15, 20, 17, 2, 2, 7, 1, 6, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
surprise_communities,0.25,0.8196952564371539,0.7777777777777778,0.4133597883597883,0.539823554815226,21,126,26,6,"[1, 2, 2, 0, 3, 3, 3, 3, 4, 16, 14, 15, 8, 15, 12, 12, 19, 15, 1, 3, 6, 0, 5, 2, 3, 4, 2, 1, 0, 0, 3, 0, 0, 1, 1, 0]"
walktrap,0.25,0.8739125665136344,0.9074074074074073,0.6468253968253967,0.755271867612293,24,131,21,3,"[2, 2, 2, 2, 3, 3, 4, 4, 2, 15, 15, 15, 8, 14, 14, 13, 20, 17, 2, 2, 6, 0, 6, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2]"
df_node_similarity,0.25,0.926199141047857,0.8935185185185186,0.8018518518518518,0.8452070311709853,22,145,7,5,"[2, 2, 2, 1, 3, 3, 4, 3, 2, 15, 15, 20, 8, 19, 14, 14, 23, 17, 2, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 2]"
leiden,0.3,0.8514935744411821,0.8148148148148149,0.6278659611992945,0.7092275649732863,21,130,22,6,"[2, 2, 2, 1, 3, 3, 3, 3, 2, 15, 16, 14, 8, 16, 13, 14, 17, 17, 2, 1, 7, 0, 4, 1, 1, 6, 0, 0, 0, 0, 2, 0, 0, 1, 1, 2]"
eigenvector,0.3,0.8982583661843618,0.7500000000000001,0.7883597883597884,0.768701633705933,19,142,10,8,"[2, 2, 2, 1, 3, 2, 3, 2, 2, 16, 16, 17, 8, 16, 14, 15, 23, 17, 1, 1, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 2, 2]"
louvain,0.3,0.8563244923155784,0.8148148148148149,0.6402116402116402,0.7170370370370371,21,131,21,6,"[2, 2, 2, 1, 3, 3, 3, 3, 2, 15, 15, 15, 8, 16, 13, 15, 17, 17, 2, 2, 6, 0, 4, 1, 0, 6, 0, 0, 0, 0, 2, 0, 0, 1, 1, 2]"
greedy_modularity,0.3,0.8928247606999046,0.8148148148148149,0.716931216931217,0.7627454743171497,21,139,13,6,"[2, 2, 2, 1, 3, 3, 3, 3, 2, 15, 16, 16, 8, 20, 13, 14, 20, 17, 2, 1, 5, 0, 0, 1, 1, 3, 0, 0, 0, 0, 2, 0, 0, 1, 1, 2]"
label_propagation,0.3,0.9349382912446581,0.8981481481481483,0.7777777777777778,0.8336402701043585,24,146,6,3,"[2, 2, 2, 1, 3, 3, 3, 4, 4, 16, 16, 20, 7, 20, 13, 14, 23, 17, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0]"
infomap,0.3,0.890439390820779,0.9166666666666666,0.6820987654320987,0.782175032175032,24,134,18,3,"[2, 2, 2, 3, 3, 3, 3, 4, 2, 15, 16, 14, 7, 16, 14, 15, 20, 17, 2, 1, 7, 1, 4, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2]"
surprise_communities,0.3,0.8245261743115502,0.7777777777777778,0.41931216931216925,0.5448741559238797,21,127,25,6,"[1, 2, 2, 0, 3, 3, 3, 3, 4, 16, 14, 15, 8, 16, 12, 12, 19, 15, 1, 3, 6, 0, 4, 2, 3, 4, 2, 1, 0, 0, 3, 0, 0, 1, 1, 0]"
walktrap,0.3,0.8835744022624267,0.8796296296296295,0.6605820105820105,0.7545294349657111,23,134,18,4,"[2, 2, 2, 2, 3, 3, 4, 3, 2, 15, 15, 15, 8, 16, 14, 13, 21, 17, 2, 2, 6, 0, 4, 0, 2, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2]"
df_node_similarity,0.3,0.9386107390175531,0.8657407407407407,0.8666666666666667,0.8662034562622484,21,148,4,6,"[2, 2, 2, 1, 3, 3, 4, 2, 2, 16, 16, 20, 8, 20, 14, 14, 23, 17, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2]"
leiden,0.35,0.8725499728176924,0.7870370370370371,0.6817460317460318,0.7306175952609671,20,135,17,7,"[2, 2, 2, 1, 3, 3, 3, 2, 2, 15, 17, 16, 8, 18, 13, 14, 17, 17, 2, 0, 5, 0, 2, 1, 1, 6, 0, 0, 0, 0, 2, 0, 0, 1, 2, 2]"
eigenvector,0.35,0.9196161083659027,0.7500000000000001,0.8814814814814815,0.8104426787741204,19,146,6,8,"[2, 2, 2, 1, 3, 2, 3, 2, 2, 17, 17, 17, 8, 18, 14, 15, 23, 17, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 2, 2]"
louvain,0.35,0.8715329374757143,0.7592592592592593,0.6777777777777777,0.7162084765177549,19,136,16,8,"[2, 2, 2, 1, 3, 3, 2, 2, 2, 16, 15, 17, 8, 18, 13, 15, 17, 17, 1, 2, 4, 0, 2, 1, 0, 6, 0, 0, 0, 0, 2, 0, 0, 2, 2, 2]"
greedy_modularity,0.35,0.898672713916279,0.8148148148148149,0.753968253968254,0.7832115420648305,21,140,12,6,"[2, 2, 2, 1, 3, 3, 3, 3, 2, 15, 17, 16, 8, 20, 13, 14, 20, 17, 2, 0, 5, 0, 0, 1, 1, 3, 0, 0, 0, 0, 2, 0, 0, 1, 1, 2]"
label_propagation,0.35,0.9306852343600222,0.8611111111111112,0.7592592592592592,0.806984126984127,23,147,5,4,"[2, 2, 2, 0, 3, 3, 3, 4, 4, 16, 17, 20, 7, 20, 13, 14, 23, 17, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0]"
infomap,0.35,0.9156110155347379,0.9166666666666666,0.7452380952380953,0.8221107927411653,24,139,13,3,"[2, 2, 2, 3, 3, 3, 3, 4, 2, 15, 17, 16, 7, 18, 14, 15, 20, 17, 2, 0, 5, 1, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2]"
surprise_communities,0.35,0.8438498458091346,0.7777777777777778,0.4476190476190476,0.5682210708117443,21,131,21,6,"[1, 2, 2, 0, 3, 3, 3, 3, 4, 16, 14, 17, 8, 18, 12, 12, 19, 15, 1, 3, 4, 0, 2, 2, 3, 4, 2, 1, 0, 0, 3, 0, 0, 1, 1, 0]"
walktrap,0.35,0.9087460269763855,0.8518518518518517,0.7166666666666666,0.7784336875245965,22,140,12,5,"[2, 2, 2, 2, 3, 3, 3, 3, 2, 16, 15, 17, 8, 18, 14, 14, 21, 17, 1, 2, 4, 0, 2, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2]"
df_node_similarity,0.35,0.9444586922339274,0.8518518518518519,0.9259259259259258,0.8873456790123456,20,150,2,7,"[2, 2, 2, 1, 3, 3, 3, 2, 2, 16, 17, 20, 8, 20, 14, 15, 23, 17, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 2, 2]"
leiden,0.4,0.8725499728176924,0.7870370370370371,0.6817460317460318,0.7306175952609671,20,135,17,7,"[2, 2, 2, 1, 3, 3, 3, 2, 2, 15, 17, 16, 8, 18, 13, 14, 17, 17, 2, 0, 5, 0, 2, 1, 1, 6, 0, 0, 0, 0, 2, 0, 0, 1, 2, 2]"
eigenvector,0.4,0.9137681551495285,0.6666666666666666,0.8722222222222222,0.7557160048134778,17,147,5,10,"[2, 2, 1, 1, 3, 2, 2, 2, 2, 17, 17, 18, 8, 18, 14, 15, 23, 17, 0, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 2, 2, 2]"
louvain,0.4,0.8763638553501105,0.7592592592592593,0.6851851851851851,0.7203228869895537,19,137,15,8,"[2, 2, 2, 1, 3, 3, 2, 2, 2, 16, 15, 18, 8, 18, 13, 15, 17, 17, 1, 2, 3, 0, 2, 1, 0, 6, 0, 0, 0, 0, 2, 0, 0, 2, 2, 2]"
greedy_modularity,0.4,0.8897265697044343,0.7314814814814815,0.7296296296296297,0.7305543820119232,19,140,12,8,"[2, 2, 1, 1, 3, 3, 3, 2, 2, 15, 17, 16, 8, 20, 13, 14, 20, 17, 2, 0, 5, 0, 0, 1, 1, 3, 0, 0, 0, 1, 2, 0, 0, 1, 2, 2]"
label_propagation,0.4,0.909912137144754,0.7314814814814814,0.75,0.740625,19,147,5,8,"[2, 2, 2, 0, 2, 2, 3, 3, 3, 16, 17, 20, 7, 20, 13, 14, 23, 17, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 3, 1, 1, 1, 1, 1]"
infomap,0.4,0.9037772785548019,0.824074074074074,0.7558201058201058,0.7884727493736201,21,141,11,6,"[2, 2, 2, 2, 3, 3, 2, 3, 2, 15, 17, 16, 7, 18, 14, 15, 22, 17, 2, 0, 5, 1, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 1, 2]"
surprise_communities,0.4,0.850714834367487,0.7407407407407407,0.4661375661375661,0.5721986782924967,20,133,19,7,"[1, 2, 2, 0, 2, 3, 3, 3, 4, 16, 16, 17, 8, 18, 12, 12, 19, 15, 1, 1, 4, 0, 2, 2, 3, 4, 2, 1, 0, 0, 3, 1, 0, 1, 1, 0]"
