graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
footbal,infomap,88,6,9,-3,5,0.48585310246376584,17|15|11|10|10|8|7|6|4,9.777777777777779,0.003451824188232422
footbal,markov_clustering,88,6,11,-5,5,0.5308359219117491,11|11|10|10|10|8|7|6|6|5|4,8.0,0.04030299186706543
footbal,paris,88,6,2,4,0,0.03922104095932857,50|38,44.0,0.005965471267700195
footbal,surprise_communities,88,6,12,-6,5,0.5419836994257707,10|10|10|10|8|8|7|6|6|5|5|3,7.333333333333333,0.001306295394897461
footbal,walktrap,88,6,11,-5,5,0.5308359219117491,11|11|10|10|10|8|7|6|6|5|4,8.0,0.0018494129180908203
footbal,spectral,88,6,2,4,2,0.1959823862118602,47|41,44.0,19.999046564102173
footbal,df_node_similarity,88,6,6,0,5,0.4751441161937245,20|15|16|19|11|7,14.666666666666666,0.05427098274230957
footbal,louvain,102,6,9,-3,5,0.38946206042272424,20|15|12|11|11|10|9|8|6,11.333333333333334,0.005697727203369141
footbal,leiden,102,6,9,-3,5,0.38946206042272424,20|15|12|11|11|10|9|8|6,11.333333333333334,0.001756429672241211
footbal,label_propagation,102,6,8,-2,4,0.3410477951949367,45|11|10|9|8|8|6|5,12.75,0.0028383731842041016
footbal,greedy_modularity,102,6,8,-2,4,0.36855867657161406,26|15|13|13|10|10|9|6,12.75,0.023561954498291016
footbal,eigenvector,102,6,9,-3,5,0.3646691480755387,21|14|13|12|11|9|9|9|4,11.333333333333334,0.011953592300415039
footbal,infomap,102,6,10,-4,5,0.40913318470929755,19|15|12|11|10|9|8|7|6|5,10.2,0.04565858840942383
footbal,markov_clustering,102,6,13,-7,5,0.4469409130659,14|12|11|10|9|9|8|7|6|6|5|4|1,7.846153846153846,0.05736136436462402
footbal,paris,102,6,12,-6,0,0.11289988892910743,14|12|12|10|9|9|8|7|6|6|5|4,8.5,0.012527942657470703
footbal,surprise_communities,102,6,12,-6,5,0.44955425245217523,14|12|11|10|9|9|8|7|6|6|5|5,8.5,0.002268075942993164
footbal,walktrap,102,6,7,-1,4,0.36245858321209484,21|19|16|14|12|11|9,14.571428571428571,0.0022728443145751953
footbal,spectral,102,6,2,4,2,0.0726167887008634,58|44,51.0,56.48074746131897
footbal,df_node_similarity,102,6,8,-2,5,0.40222129320713923,9|11|17|8|18|14|15|10,12.75,0.16347050666809082
footbal,louvain,99,12,8,4,7,0.6304476626449204,17|15|14|14|11|11|10|7,12.375,0.009328842163085938
footbal,leiden,99,12,8,4,7,0.6292060478178074,16|15|14|14|12|11|10|7,12.375,0.002445220947265625
footbal,label_propagation,99,12,8,4,8,0.5949051919257111,30|15|12|11|11|10|7|3,12.375,0.0054666996002197266
footbal,greedy_modularity,99,12,8,4,7,0.6196187211981081,19|18|13|12|11|10|10|6,12.375,0.03821921348571777
footbal,eigenvector,99,12,9,3,8,0.6085901972164518,17|14|13|12|12|11|10|8|2,11.0,0.010577201843261719
footbal,infomap,99,12,10,2,8,0.6496866210497204,15|14|11|11|11|10|8|7|6|6,9.9,0.04862856864929199
footbal,markov_clustering,99,12,13,-1,10,0.6766384229884624,14|11|11|11|10|8|7|7|6|6|4|3|1,7.615384615384615,0.054121971130371094
footbal,paris,99,12,2,10,0,0.04515552721053337,57|42,49.5,0.014414548873901367
