network,method,threshold,ACC,recall,PPV,f12
karate_graph,eigenvector,,0.8996792243827135,0.6666666666666666,0.7592592592592592,0.7099567099567099
karate_graph,louvain,,0.8894147010238603,0.7222222222222222,0.6666666666666666,0.6933333333333334
karate_graph,greedy_modularity,,0.8928524577408081,0.6388888888888888,0.7037037037037037,0.6697318007662835
karate_graph,label_propagation,,0.8844364205037841,0.5925925925925926,0.7592592592592592,0.6656519533231862
karate_graph,infomap,,0.9187369035711117,0.6666666666666666,0.8148148148148148,0.7333333333333333
karate_graph,surprise_communities,,0.7131160358751928,0.6111111111111112,0.3131834215167548,0.4141317771523372
karate_graph,walktrap,,0.9108548796707814,0.7222222222222222,0.7777777777777778,0.7489711934156379
karate_graph,df_node_similarity,,0.9190028958802982,0.7222222222222222,0.8703703703703703,0.7894056847545219
karate_graph,leiden,,0.8778798681712937,0.625,0.6666666666666666,0.6451612903225806
karate_graph,eigenvector,1.0,0.9089372372751323,0.6296296296296297,0.8611111111111112,0.7273982056590751
karate_graph,louvain,1.0,0.8938417960418827,0.7222222222222222,0.7203703703703703,0.7212951076879189
karate_graph,greedy_modularity,1.0,0.8880215398664122,0.6296296296296297,0.7388888888888889,0.6798977597353781
karate_graph,label_propagation,1.0,0.9017785449786166,0.5925925925925926,0.8518518518518519,0.6989553656220322
karate_graph,infomap,1.0,0.9090750678223196,0.6666666666666666,0.787037037037037,0.7218683651804669
karate_graph,surprise_communities,1.0,0.8647932402587583,0.7407407407407407,0.5222222222222223,0.6125773867709351
karate_graph,walktrap,1.0,0.9080580324803414,0.7222222222222222,0.7666666666666667,0.7437810945273632
karate_graph,df_node_similarity,1.0,0.9379227445215091,0.712962962962963,1.0,0.8324324324324325
karate_graph,leiden,1.0,0.8817161853068436,0.625,0.7083333333333334,0.6640625
