type,experiment,sources,detected,normalized,per_community,infection_probability,time,nr_of_empty_communities,error_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
jordan:louvain,0-10,"0,33","7,9,16,24","OrderedDict([(9, 1.0), (14, 1.0), (15, 1.0), (18, 1.0), (20, 1.0), (22, 1.0), (27, 1.0), (30, 1.0), (7, 1.0), (13, 1.0), (16, 1.0), (24, 1.0), (25, 1.0), (8, 0.9090909090909091), (23, 0.9090909090909091), (26, 0.9090909090909091), (29, 0.9090909090909091), (3, 0.9090909090909091), (11, 0.8181818181818182), (17, 0.8181818181818182), (19, 0.8181818181818182), (21, 0.8181818181818182), (12, 0.7272727272727273), (1, 0.6363636363636364), (2, 0.5454545454545454), (4, 0.5), (10, 0.5), (28, 0.5), (32, 0.36363636363636365), (33, 0.0), (0, 0.0), (5, 0.0), (6, 0.0), (31, 0.0)])","{0: {8: 16, 9: 17, 14: 17, 15: 17, 18: 17, 20: 17, 22: 17, 23: 16, 26: 16, 27: 17, 29: 16, 30: 17, 32: 10, 33: 6}, 1: {0: 7, 1: 14, 2: 13, 3: 17, 7: 18, 11: 16, 12: 15, 13: 18, 17: 16, 19: 16, 21: 16}, 2: {4: 3, 5: 2, 6: 2, 10: 3, 16: 4}, 3: {24: 6, 25: 6, 28: 5, 31: 4}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.0010559558868408203,2,2,0,30,4,2,34,0.0,0.9375,0.0,0.8823529411764706,0
jordan:greedy_modularity,0-10,"0,33","7,11,28","OrderedDict([(28, 1.0), (7, 1.0), (13, 1.0), (11, 1.0), (4, 0.9375), (10, 0.9375), (19, 0.9375), (3, 0.9166666666666666), (14, 0.8947368421052632), (15, 0.8947368421052632), (18, 0.8947368421052632), (20, 0.8947368421052632), (22, 0.8947368421052632), (27, 0.8947368421052632), (30, 0.8947368421052632), (5, 0.875), (6, 0.875), (8, 0.8421052631578947), (23, 0.8421052631578947), (26, 0.8421052631578947), (29, 0.8421052631578947), (31, 0.8421052631578947), (9, 0.8333333333333334), (1, 0.6666666666666666), (17, 0.6666666666666666), (21, 0.6666666666666666), (2, 0.5833333333333334), (32, 0.5789473684210527), (33, 0.3157894736842105), (0, 0.1875), (24, 0.0), (25, 0.0), (12, 0.0), (16, 0.0)])","{0: {8: 16, 14: 17, 15: 17, 18: 17, 20: 17, 22: 17, 23: 16, 24: 0, 25: 0, 26: 16, 27: 17, 28: 19, 29: 16, 30: 17, 31: 16, 32: 11, 33: 6}, 1: {1: 8, 2: 7, 3: 11, 7: 12, 9: 10, 12: 0, 13: 12, 17: 8, 21: 8}, 2: {0: 3, 16: 0, 19: 15, 4: 15, 5: 14, 6: 14, 10: 15, 11: 16}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.0009288787841796875,1,2,0,30,3,2,34,0.0,0.9375,0.0,0.8823529411764706,0
jordan:label_propagation,0-10,"0,33","9,16,31","OrderedDict([(9, 1.0), (27, 1.0), (31, 1.0), (16, 1.0), (28, 0.9333333333333333), (11, 0.8888888888888888), (17, 0.8888888888888888), (19, 0.8888888888888888), (21, 0.8888888888888888), (12, 0.8333333333333334), (8, 0.8), (4, 0.7777777777777778), (7, 0.7777777777777778), (10, 0.7777777777777778), (13, 0.7777777777777778), (14, 0.7333333333333333), (15, 0.7333333333333333), (18, 0.7333333333333333), (20, 0.7333333333333333), (22, 0.7333333333333333), (30, 0.7333333333333333), (3, 0.7222222222222222), (23, 0.6666666666666666), (26, 0.6666666666666666), (29, 0.6666666666666666), (1, 0.5555555555555556), (2, 0.4), (32, 0.4), (0, 0.3888888888888889), (33, 0.0), (24, 0.0), (25, 0.0), (5, 0.0), (6, 0.0)])","{0: {32: 12, 33: 6, 2: 12, 8: 18, 9: 21, 14: 17, 15: 17, 18: 17, 20: 17, 22: 17, 23: 16, 26: 16, 27: 21, 28: 20, 29: 16, 30: 17}, 1: {0: 7, 1: 10, 3: 13, 4: 14, 7: 14, 10: 14, 11: 16, 12: 15, 13: 14, 17: 16, 19: 16, 21: 16, 24: 0, 25: 0, 31: 18}, 2: {16: 4, 5: 2, 6: 2}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.0009264945983886719,1,2,0,30,3,2,34,0.0,0.9375,0.0,0.8823529411764706,0
jordan:infomap,0-10,"0,33","7,16,28","OrderedDict([(28, 1.0), (7, 1.0), (13, 1.0), (16, 1.0), (3, 0.9090909090909091), (14, 0.8947368421052632), (15, 0.8947368421052632), (18, 0.8947368421052632), (20, 0.8947368421052632), (22, 0.8947368421052632), (27, 0.8947368421052632), (30, 0.8947368421052632), (8, 0.8421052631578947), (23, 0.8421052631578947), (26, 0.8421052631578947), (29, 0.8421052631578947), (31, 0.8421052631578947), (11, 0.8181818181818182), (17, 0.8181818181818182), (19, 0.8181818181818182), (21, 0.8181818181818182), (12, 0.7272727272727273), (1, 0.6363636363636364), (32, 0.5789473684210527), (2, 0.5454545454545454), (4, 0.5), (10, 0.5), (33, 0.3157894736842105), (9, 0.2727272727272727), (24, 0.0), (25, 0.0), (0, 0.0), (5, 0.0), (6, 0.0)])","{0: {8: 16, 14: 17, 15: 17, 18: 17, 20: 17, 22: 17, 23: 16, 24: 0, 25: 0, 26: 16, 27: 17, 28: 19, 29: 16, 30: 17, 31: 16, 32: 11, 33: 6}, 1: {0: 7, 1: 14, 2: 13, 3: 17, 7: 18, 9: 10, 11: 16, 12: 15, 13: 18, 17: 16, 19: 16, 21: 16}, 2: {4: 3, 5: 2, 6: 2, 10: 3, 16: 4}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.0009150505065917969,1,2,0,30,3,2,34,0.0,0.9375,0.0,0.8823529411764706,0
jordan:surprise_communities,0-10,"0,33","7,9,11,14,16,24,26","OrderedDict([(7, 1.0), (13, 1.0), (14, 1.0), (15, 1.0), (18, 1.0), (20, 1.0), (22, 1.0), (30, 1.0), (16, 1.0), (24, 1.0), (26, 1.0), (29, 1.0), (8, 0.9230769230769231), (3, 0.9090909090909091), (17, 0.8181818181818182), (19, 0.8181818181818182), (21, 0.8181818181818182), (25, 0.75), (12, 0.7272727272727273), (1, 0.6363636363636364), (2, 0.5454545454545454), (4, 0.5), (10, 0.5), (28, 0.5), (32, 0.38461538461538464), (31, 0.25), (0, 0.0), (33, 0.0), (5, 0.0), (6, 0.0), (27, 0.0), (23, 0.0), (9, 0.0), (11, 0.0)])","{0: {0: 7, 1: 14, 2: 13, 3: 17, 7: 18, 12: 15, 13: 18, 17: 16, 19: 16, 21: 16}, 1: {8: 16, 14: 17, 15: 17, 18: 17, 20: 17, 22: 17, 30: 17, 32: 9, 33: 4}, 2: {4: 3, 5: 2, 6: 2, 10: 3, 16: 4}, 3: {24: 7, 25: 6, 27: 3, 28: 5, 31: 4}, 4: {23: 2, 26: 3, 29: 3}, 5: {9: 0}, 6: {11: 0}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.0014410018920898438,5,2,0,30,7,2,34,0.0,0.9375,0.0,0.8823529411764706,0
jordan:walktrap,0-10,"0,33","11,14,16,25,28","OrderedDict([(11, 1.0), (17, 1.0), (19, 1.0), (21, 1.0), (14, 1.0), (15, 1.0), (18, 1.0), (20, 1.0), (22, 1.0), (28, 1.0), (16, 1.0), (25, 1.0), (27, 1.0), (26, 0.9333333333333333), (12, 0.9230769230769231), (29, 0.8666666666666667), (7, 0.8461538461538461), (9, 0.8), (3, 0.6923076923076923), (8, 0.6), (1, 0.5384615384615384), (13, 0.5), (4, 0.5), (10, 0.5), (32, 0.3333333333333333), (2, 0.2), (30, 0.1), (0, 0.0), (33, 0.0), (31, 0.0), (5, 0.0), (6, 0.0), (23, 0.0), (24, 0.0)])","{0: {0: 3, 1: 10, 3: 12, 7: 14, 11: 16, 12: 15, 17: 16, 19: 16, 21: 16}, 1: {14: 17, 15: 17, 18: 17, 20: 17, 22: 17, 26: 16, 29: 15, 32: 7, 33: 2}, 2: {2: 4, 8: 8, 9: 10, 13: 7, 28: 12, 30: 3, 31: 2}, 3: {4: 3, 5: 2, 6: 2, 10: 3, 16: 4}, 4: {23: 4, 24: 4, 25: 5, 27: 5}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.0012011528015136719,3,2,0,30,5,2,34,0.0,0.9375,0.0,0.8823529411764706,0
jordan:df_node_similarity,0-10,"0,33","7,28","OrderedDict([(28, 1.0), (7, 1.0), (13, 1.0), (3, 0.9444444444444444), (9, 0.8947368421052632), (14, 0.8947368421052632), (15, 0.8947368421052632), (18, 0.8947368421052632), (20, 0.8947368421052632), (22, 0.8947368421052632), (27, 0.8947368421052632), (30, 0.8947368421052632), (11, 0.8888888888888888), (17, 0.8888888888888888), (19, 0.8888888888888888), (21, 0.8888888888888888), (8, 0.8421052631578947), (23, 0.8421052631578947), (26, 0.8421052631578947), (29, 0.8421052631578947), (31, 0.8421052631578947), (4, 0.8333333333333334), (10, 0.8333333333333334), (12, 0.8333333333333334), (1, 0.7777777777777778), (5, 0.7777777777777778), (6, 0.7777777777777778), (2, 0.7222222222222222), (32, 0.5789473684210527), (0, 0.4444444444444444), (33, 0.3157894736842105), (24, 0.0), (25, 0.0), (16, 0.0)])","{0: {32: 11, 33: 6, 8: 16, 9: 17, 14: 17, 15: 17, 18: 17, 20: 17, 22: 17, 23: 16, 24: 0, 25: 0, 26: 16, 27: 17, 28: 19, 29: 16, 30: 17, 31: 16}, 1: {0: 8, 1: 14, 2: 13, 3: 17, 4: 15, 5: 14, 6: 14, 7: 18, 10: 15, 11: 16, 12: 15, 13: 18, 16: 0, 17: 16, 19: 16, 21: 16}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.0007750988006591797,0,2,0,30,2,2,34,0.0,0.9375,0.0,0.8823529411764706,0
netsleuth-cm:leiden,0-10,"0,33","2,10,25,26","OrderedDict([(26, 1.0), (2, 1.0), (25, 1.0), (10, 1.0), (20, 0.9692665184971256), (28, 0.9638521581794905), (6, 0.9143392438272374), (30, 0.8887415115021764), (8, 0.8501246467285112), (5, 0.7809194881141152), (27, 0.712855039547048), (33, 0.7038271916232827), (32, 0.6779825429066292), (22, 0.6604843031850004), (16, 0.6128007881399322), (9, 0.5578573930700875), (14, 0.5222757007615829), (15, 0.4654484849806062), (29, 0.4245274814208997), (7, 0.3305377286919675), (12, 0.31341361830529574), (13, 0.24491479426697554), (17, 0.2449147942669755), (21, 0.2449147942669754), (19, 0.24491479426697535), (24, 0.20873476491522142), (31, 0.19138678776973111), (3, 0.17449012312491016), (0, 0.16746593601145637), (11, 0.16307616740450825), (18, 0.0), (1, 0.0), (23, 0.0), (4, 0.0)])","{0: {8: 0.28867513459481264, 9: -0.05366812869971001, 14: -0.09534625892456015, 15: -0.16191004344329446, 18: -0.7071067811865475, 20: 0.4282303419118588, 22: 0.06654250342137608, 26: 0.46422958650185436, 29: -0.2098423031150853, 30: 0.33390847271031193, 32: 0.0870388279778497, 33: 0.11731160492979734}, 1: {0: -0.09534625892455925, 1: -0.3015113445777637, 2: 0.9295753502059483, 3: -0.08669887562751508, 7: 0.10540925533894593, 11: -0.10075044464975232, 12: 0.08432799088190673, 13: 6.820911365749452e-17, 17: -2.1438073945327194e-17, 19: -1.398795380796107e-16, 21: -1.0691439328316065e-16}, 2: {23: -0.6015009550075457, 24: -0.39073118363074893, 25: 0.40824829046386335, 27: 0.11830388330557745, 28: 0.37174803446018423, 31: -0.408248290463863}, 3: {4: -0.44721359549995787, 5: 0.3717480344601856, 6: 0.5116672736016934, 10: 0.601500955007545, 16: 0.19543950758485465}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.004069328308105469,2,2,0,30,4,2,34,0.0,0.9375,0.0,0.8823529411764706,0
netsleuth-cm:eigenvector,0-10,"0,33","4,13,25,26","OrderedDict([(26, 1.0), (13, 1.0), (19, 1.0), (4, 1.0), (25, 1.0), (21, 0.9999999999999998), (17, 0.9999999999999998), (20, 0.9692665184971256), (28, 0.9638521581794905), (5, 0.8962829755001983), (16, 0.8905944765696832), (30, 0.8887415115021764), (8, 0.8501246467285112), (7, 0.8022668380056336), (0, 0.8003119989856686), (1, 0.7784801605623146), (12, 0.767728917570397), (27, 0.712855039547048), (33, 0.7038271916232827), (32, 0.6779825429066292), (22, 0.6604843031850004), (3, 0.6221575562569418), (9, 0.5578573930700875), (14, 0.5222757007615829), (6, 0.4823716872225243), (15, 0.4654484849806062), (29, 0.4245274814208997), (10, 0.3776307151050796), (24, 0.20873476491522142), (31, 0.19138678776973111), (18, 0.0), (2, 0.0), (11, 0.0), (23, 0.0)])","{0: {8: 0.28867513459481264, 9: -0.05366812869971001, 14: -0.09534625892456015, 15: -0.16191004344329446, 18: -0.7071067811865475, 20: 0.4282303419118588, 22: 0.06654250342137608, 26: 0.46422958650185436, 29: -0.2098423031150853, 30: 0.33390847271031193, 32: 0.0870388279778497, 33: 0.11731160492979734}, 1: {1: -0.1954252300184713, 2: -0.88220193060155, 3: -0.3333333333333335, 7: -0.17444057725537904, 12: -0.20490999734230753, 13: 1.1327951654092148e-16, 17: -1.1530127127418797e-16, 19: 5.594820458090725e-17, 21: -1.0290820683993574e-16}, 2: {0: 0.27308659832179183, 4: 0.49130729282305935, 5: 0.37796447300922714, 6: -0.07436119669080632, 10: -0.18882299490654542, 11: -0.601500955007546, 16: 0.3717480344601847}, 3: {23: -0.6015009550075457, 24: -0.39073118363074893, 25: 0.40824829046386335, 27: 0.11830388330557745, 28: 0.37174803446018423, 31: -0.408248290463863}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.002875804901123047,2,2,0,30,4,2,34,0.0,0.9375,0.0,0.8823529411764706,0
netsleuth-cm:louvain,0-10,"0,33","2,10,20,31","OrderedDict([(20, 1.0), (2, 1.0), (10, 1.0), (31, 1.0), (6, 0.9143392438272374), (5, 0.7809194881141152), (27, 0.7612464146398491), (28, 0.7136222575348097), (16, 0.6128007881399322), (23, 0.5790650351850031), (15, 0.48914113235558654), (29, 0.4127478185074643), (30, 0.3882906234554484), (14, 0.35646214836802803), (9, 0.3448547121326222), (26, 0.3430501432232597), (7, 0.3305377286919675), (12, 0.31341361830529574), (18, 0.27429188517743175), (22, 0.274291885177431), (25, 0.26120387496374114), (13, 0.24491479426697554), (17, 0.2449147942669755), (21, 0.2449147942669754), (19, 0.24491479426697535), (32, 0.19821700391197689), (3, 0.17449012312491016), (0, 0.16746593601145637), (33, 0.16678659693124076), (11, 0.16307616740450825), (8, 0.0), (1, 0.0), (4, 0.0), (24, 0.0)])","{0: {8: -0.2672612419124245, 9: 0.06875416220460356, 14: 0.08006407690254329, 15: 0.20934223623728082, 18: -1.8845220906612551e-16, 20: 0.7071067811865472, 22: -8.720085857733996e-16, 23: 0.2969612116665235, 26: 0.06699584796384214, 27: 0.4744729222113854, 29: 0.13490703404510662, 30: 0.11107672525172793, 32: -0.07412493166611046, 33: -0.10474971518112641}, 1: {0: -0.09534625892455925, 1: -0.3015113445777637, 2: 0.9295753502059483, 3: -0.08669887562751508, 7: 0.10540925533894593, 11: -0.10075044464975232, 12: 0.08432799088190673, 13: 6.820911365749452e-17, 17: -2.1438073945327194e-17, 19: -1.398795380796107e-16, 21: -1.0691439328316065e-16}, 2: {4: -0.44721359549995787, 5: 0.3717480344601856, 6: 0.5116672736016934, 10: 0.601500955007545, 16: 0.19543950758485465}, 3: {24: -0.28867513459481314, 25: -5.060586418794596e-16, 28: 0.49999999999999983, 31: 0.8164965809277263}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.0028688907623291016,2,2,0,30,4,2,34,0.0,0.9375,0.0,0.8823529411764706,0
netsleuth-cm:greedy_modularity,0-10,"0,33","7,11,31","OrderedDict([(31, 1.0), (7, 1.0), (11, 1.0), (4, 0.915302157361195), (29, 0.7949263458571317), (16, 0.7594347153063576), (24, 0.7545798387374175), (10, 0.6215079789641071), (28, 0.6073455001082108), (25, 0.6069609846799963), (0, 0.5883832793881661), (22, 0.5752895028548816), (15, 0.5623601055234576), (23, 0.5425272204011895), (26, 0.5114181355087186), (18, 0.4994743893571307), (8, 0.4693664500731576), (1, 0.461177338426289), (14, 0.44491346293447814), (6, 0.42688159760121075), (27, 0.39693915845476585), (19, 0.37019190815875036), (9, 0.30199551673580405), (20, 0.2864432412652981), (2, 0.2794564960946511), (30, 0.19668150378911706), (33, 0.1956571204094438), (21, 0.14662940491985182), (13, 0.1466294049198515), (17, 0.1466294049198514), (12, 0.146629404919851), (32, 0.0), (3, 0.0), (5, 0.0)])","{0: {8: -0.06929013372692444, 14: -0.09244941350575782, 15: 0.018783608430461673, 18: -0.040775082151130834, 20: -0.24253562503633327, 22: 0.03102896432387338, 23: 1.4493724343795313e-17, 24: 0.20083378312969943, 25: 0.06102483781115964, 26: -0.029463230672075603, 27: -0.13788559409750037, 28: 0.0613890101035178, 29: 0.2390457218668748, 30: -0.3275484367576801, 31: 0.43326976920422117, 32: -0.513824328031871, 33: -0.3285186242098754}, 1: {1: 0.33333333333333337, 2: 0.14075977726097644, 3: -0.15538639138958713, 7: 0.9043355073286293, 9: 0.16464487101006806, 12: -4.3187581916508593e-16, 13: 8.08459927113226e-17, 17: -1.9153166812070805e-18, 21: 4.511253070501735e-16}, 2: {0: 0.2083846172652551, 16: 0.37174803446018384, 19: -1.1626534673297617e-17, 4: 0.5206099123323402, 5: -0.35355339059327384, 6: 0.05414173425278268, 10: 0.24002050554197923, 11: 0.6015009550075453}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.0024099349975585938,1,2,0,30,3,2,34,0.0,0.9375,0.0,0.8823529411764706,0
netsleuth-cm:label_propagation,0-10,"0,33","3,16,22","OrderedDict([(22, 1.0), (3, 1.0), (16, 1.0), (13, 0.9863444707834881), (12, 0.952634354167168), (23, 0.8872265926980929), (17, 0.8870734368917406), (4, 0.8853327909573864), (21, 0.7671647556702929), (24, 0.7671647556702929), (31, 0.7671647556702924), (25, 0.7671647556702924), (11, 0.7671647556702922), (15, 0.7506108474818967), (1, 0.7433418888228522), (32, 0.6971416485053616), (20, 0.6958883513179871), (0, 0.6951763380568078), (19, 0.6480032381880627), (27, 0.6257322288946636), (26, 0.6257322288946633), (30, 0.6257322288946632), (28, 0.6257322288946631), (29, 0.6257322288946623), (5, 0.5754522327048266), (7, 0.565781259385527), (18, 0.5442732484503656), (33, 0.5366961989608207), (9, 0.44974704961790973), (8, 0.39060229599414875), (2, 0.2280575231726902), (14, 0.0), (10, 0.0), (6, 0.0)])","{0: {32: 0.07592548801614427, 33: -0.09466683892126372, 2: -0.4228244154373926, 8: -0.25, 9: -0.1871148189278119, 14: -0.665304732978656, 15: 0.13277618149968978, 18: -0.08661060231617035, 20: 0.07459292991527407, 22: 0.39793718146435914, 23: 0.27803176798641754, 26: 8.05833696274352e-16, 27: 1.1283024512712744e-15, 28: 5.557833630699893e-16, 29: -2.5844602035052656e-16, 30: 7.034195191856675e-16}, 1: {0: -0.07983039490420105, 1: -0.026417984048382685, 3: 0.2581988897471611, 4: 0.13104053728019796, 7: -0.2233209809099921, 10: -0.8507349853217578, 11: -1.8463217758125322e-16, 12: 0.2056735205686169, 13: 0.2430558108169779, 17: 0.13297079852130422, 19: -0.13214224334066174, 21: 4.922764518022554e-16, 24: 3.9867781514731085e-16, 25: -2.5530979623706096e-17, 31: 1.9631763917988175e-18}, 2: {16: -0.40824829046386296, 5: -0.5773502691896256, 6: -0.806559132617443}}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0}",0.002347230911254883,1,2,0,30,3,2,34,0.0,0.9375,0.0,0.8823529411764706,0
