type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
jordan:leiden,3,2,0.2,26.0,10.666666666666666,0.6280019283294678,0.0,38.0,26.0,6,2239,108,0,2245,1.0,1.0,0.05263157894736842,1.0,0.1
jordan:df_node_similarity,3,2,0.2,2.0,2.6666666666666665,11.422452290852865,0.0,10.666666666666666,5.0,6,2239,26,0,2245,1.0,1.0,0.1875,1.0,0.3157894736842105
netsleuth-cm:leiden,3,2,0.2,26.0,10.666666666666666,0.6565392017364502,2.0,20.0,26.0,0,2233,60,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
netsleuth-cm:df_node_similarity,3,2,0.2,2.0,2.6666666666666665,11.68381675084432,3.6666666666666665,4.333333333333333,5.0,0,2233,13,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
ensemble:leiden,3,2,0.2,26.0,10.666666666666666,3.2590696811676025,0.6666666666666666,18.0,26.0,4,2237,50,2,2245,0.6666666666666666,0.9991067440821796,0.07407407407407407,0.998218262806236,0.13333333333333333
ensemble-centralities:leiden,3,2,0.2,26.0,10.666666666666666,1.3185326258341472,0.0,16.0,26.0,6,2239,42,0,2245,1.0,1.0,0.125,1.0,0.2222222222222222
ensemble-centralities:df_node_similarity,3,2,0.2,2.0,2.6666666666666665,34.595151583353676,0.6666666666666666,5.333333333333333,5.0,5,2238,11,1,2245,0.8333333333333334,0.9995533720410897,0.3125,0.9991091314031181,0.45454545454545453
ensemble:df_node_similarity,2,2,0.2,1.0,2.5,58.17724144458771,2.0,4.0,3.0,2,1506,6,2,1512,0.5,0.9986737400530504,0.25,0.9973544973544973,0.3333333333333333
centrality-cm:betweenness:leiden,3,2,0.3,28.0,11.333333333333334,0.954233725865682,0.0,17.333333333333332,28.0,6,2239,46,0,2245,1.0,1.0,0.11538461538461539,1.0,0.20689655172413793
centrality-cm:betweenness:df_node_similarity,3,2,0.3,2.0,2.6666666666666665,15.76753799120585,0.0,6.0,5.0,6,2239,12,0,2245,1.0,1.0,0.3333333333333333,1.0,0.5
rumor:leiden,3,2,0.3,28.0,11.333333333333334,2.3811115423838296,0.6666666666666666,15.333333333333334,28.0,4,2237,42,2,2245,0.6666666666666666,0.9991067440821796,0.08695652173913043,0.998218262806236,0.15384615384615383
rumor:df_node_similarity,3,2,0.3,2.0,2.6666666666666665,33.79797569910685,2.0,3.3333333333333335,5.0,2,2235,8,4,2245,0.3333333333333333,0.9982134881643591,0.2,0.9964365256124722,0.25
jordan:leiden,3,2,0.3,28.0,11.333333333333334,0.49307958285013836,0.3333333333333333,86.0,28.0,5,2238,253,1,2245,0.8333333333333334,0.9995533720410897,0.01937984496124031,0.9991091314031181,0.03787878787878788
jordan:df_node_similarity,3,2,0.3,2.0,2.6666666666666665,11.425716876983643,0.0,11.0,5.0,6,2239,27,0,2245,1.0,1.0,0.18181818181818182,1.0,0.3076923076923077
netsleuth-cm:leiden,3,2,0.3,28.0,11.333333333333334,0.33335598309834796,2.0,26.333333333333332,28.0,0,2233,79,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
netsleuth-cm:df_node_similarity,3,2,0.3,2.0,2.6666666666666665,11.688127358754477,3.6666666666666665,6.0,5.0,0,2233,18,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
ensemble:leiden,3,2,0.3,28.0,11.333333333333334,2.900451978047689,0.6666666666666666,34.333333333333336,28.0,4,2237,99,2,2245,0.6666666666666666,0.9991067440821796,0.038834951456310676,0.998218262806236,0.07339449541284404
ensemble-centralities:leiden,3,2,0.3,28.0,11.333333333333334,1.032437801361084,0.0,18.333333333333332,28.0,6,2239,49,0,2245,1.0,1.0,0.10909090909090909,1.0,0.19672131147540983
ensemble-centralities:df_node_similarity,3,2,0.3,2.0,2.6666666666666665,34.49593965212504,0.0,7.333333333333333,5.0,6,2239,16,0,2245,1.0,1.0,0.2727272727272727,1.0,0.42857142857142855
ensemble:df_node_similarity,2,2,0.3,1.0,2.5,57.710386753082275,2.0,4.5,3.0,2,1506,7,2,1512,0.5,0.9986737400530504,0.2222222222222222,0.9973544973544973,0.30769230769230765
centrality-cm:betweenness:leiden,3,2,0.4,27.0,11.0,1.0987011591593425,0.0,23.0,27.0,6,2239,63,0,2245,1.0,1.0,0.08695652173913043,1.0,0.16
centrality-cm:betweenness:df_node_similarity,3,2,0.4,2.0,2.6666666666666665,15.955170154571533,0.0,9.0,5.0,6,2239,21,0,2245,1.0,1.0,0.2222222222222222,1.0,0.3636363636363636
rumor:leiden,3,2,0.4,27.0,11.0,2.866075118382772,0.6666666666666666,17.0,27.0,4,2237,47,2,2245,0.6666666666666666,0.9991067440821796,0.0784313725490196,0.998218262806236,0.14035087719298245
rumor:df_node_similarity,3,2,0.4,2.0,2.6666666666666665,33.692468325297035,2.0,4.0,5.0,2,2235,10,4,2245,0.3333333333333333,0.9982134881643591,0.16666666666666666,0.9964365256124722,0.2222222222222222
jordan:leiden,3,2,0.4,27.0,11.0,0.5156256357828776,0.0,128.66666666666666,27.0,6,2239,380,0,2245,1.0,1.0,0.015544041450777202,1.0,0.030612244897959183
jordan:df_node_similarity,3,2,0.4,2.0,2.6666666666666665,11.487777630488077,0.0,13.333333333333334,5.0,6,2239,34,0,2245,1.0,1.0,0.15,1.0,0.2608695652173913
netsleuth-cm:leiden,3,2,0.4,27.0,11.0,0.6293024222056071,2.0,31.666666666666668,27.0,0,2233,95,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
netsleuth-cm:df_node_similarity,3,2,0.4,2.0,2.6666666666666665,11.861828962961832,3.6666666666666665,9.333333333333334,5.0,0,2233,28,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
ensemble:leiden,3,2,0.4,27.0,11.0,3.6447121302286782,0.3333333333333333,45.0,27.0,5,2238,130,1,2245,0.8333333333333334,0.9995533720410897,0.037037037037037035,0.9991091314031181,0.07092198581560283
ensemble-centralities:leiden,3,2,0.4,27.0,11.0,1.198143482208252,0.0,24.666666666666668,27.0,6,2239,68,0,2245,1.0,1.0,0.08108108108108109,1.0,0.15
ensemble-centralities:df_node_similarity,3,2,0.4,2.0,2.6666666666666665,34.62383278210958,0.0,10.333333333333334,5.0,6,2239,25,0,2245,1.0,1.0,0.1935483870967742,1.0,0.3243243243243243
ensemble:df_node_similarity,1,2,0.4,0.0,2.0,56.409478187561035,2.0,6.0,1.0,1,755,5,1,758,0.5,0.9986772486772487,0.16666666666666666,0.9973614775725593,0.25
centrality-cm:betweenness:leiden,3,2,0.5,26.0,10.666666666666666,1.2523268063863118,0.0,33.333333333333336,26.0,6,2239,94,0,2245,1.0,1.0,0.06,1.0,0.11320754716981131
centrality-cm:betweenness:df_node_similarity,3,2,0.5,2.0,2.6666666666666665,15.902555624643961,0.0,11.333333333333334,5.0,6,2239,28,0,2245,1.0,1.0,0.17647058823529413,1.0,0.3
rumor:leiden,3,2,0.5,26.0,10.666666666666666,2.850792725880941,1.0,15.333333333333334,26.0,3,2236,43,3,2245,0.5,0.9986601161232693,0.06521739130434782,0.9973273942093541,0.11538461538461539
rumor:df_node_similarity,3,2,0.5,2.0,2.6666666666666665,33.751720110575356,2.0,4.666666666666667,5.0,2,2235,12,4,2245,0.3333333333333333,0.9982134881643591,0.14285714285714285,0.9964365256124722,0.2
jordan:leiden,3,2,0.5,26.0,10.666666666666666,0.5313067436218262,0.0,173.66666666666666,26.0,6,2239,515,0,2245,1.0,1.0,0.011516314779270634,1.0,0.022770398481973434
jordan:df_node_similarity,3,2,0.5,2.0,2.6666666666666665,11.359325726826986,0.0,18.666666666666668,5.0,6,2239,50,0,2245,1.0,1.0,0.10714285714285714,1.0,0.19354838709677416
netsleuth-cm:leiden,3,2,0.5,26.0,10.666666666666666,0.44442399342854816,2.0,40.333333333333336,26.0,0,2233,121,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
netsleuth-cm:df_node_similarity,3,2,0.5,2.0,2.6666666666666665,11.674539804458618,3.3333333333333335,14.0,5.0,0,2233,42,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
ensemble:leiden,3,2,0.5,26.0,10.666666666666666,3.1862760384877524,0.6666666666666666,56.0,26.0,4,2237,164,2,2245,0.6666666666666666,0.9991067440821796,0.023809523809523808,0.998218262806236,0.04597701149425287
ensemble-centralities:leiden,3,2,0.5,26.0,10.666666666666666,1.251617670059204,0.0,41.0,26.0,6,2239,117,0,2245,1.0,1.0,0.04878048780487805,1.0,0.09302325581395349
ensemble-centralities:df_node_similarity,3,2,0.5,2.0,2.6666666666666665,34.7149084409078,0.0,14.0,5.0,6,2239,36,0,2245,1.0,1.0,0.14285714285714285,1.0,0.25
ensemble:df_node_similarity,2,2,0.5,1.0,2.5,57.917375564575195,2.0,7.5,3.0,2,1506,13,2,1512,0.5,0.9986737400530504,0.13333333333333333,0.9973544973544973,0.2105263157894737
centrality-cm:betweenness:leiden,3,2,0.6,25.0,10.333333333333334,1.0407050450642903,0.0,33.333333333333336,25.0,6,2239,94,0,2245,1.0,1.0,0.06,1.0,0.11320754716981131
centrality-cm:betweenness:df_node_similarity,3,2,0.6,2.0,2.6666666666666665,15.813683986663818,0.0,15.333333333333334,5.0,6,2239,40,0,2245,1.0,1.0,0.13043478260869565,1.0,0.23076923076923078
rumor:leiden,3,2,0.6,25.0,10.333333333333334,2.713078816731771,1.0,21.333333333333332,25.0,3,2236,61,3,2245,0.5,0.9986601161232693,0.046875,0.9973273942093541,0.08571428571428572
rumor:df_node_similarity,3,2,0.6,2.0,2.6666666666666665,33.86175926526388,2.0,5.0,5.0,2,2235,13,4,2245,0.3333333333333333,0.9982134881643591,0.13333333333333333,0.9964365256124722,0.19047619047619044
jordan:leiden,3,2,0.6,25.0,10.333333333333334,0.5940941969553629,0.0,249.0,25.0,6,2239,741,0,2245,1.0,1.0,0.008032128514056224,1.0,0.015936254980079678
jordan:df_node_similarity,3,2,0.6,2.0,2.6666666666666665,11.447837193806967,0.0,24.666666666666668,5.0,6,2239,68,0,2245,1.0,1.0,0.08108108108108109,1.0,0.15
netsleuth-cm:leiden,3,2,0.6,25.0,10.333333333333334,0.37304409344991046,2.0,59.333333333333336,25.0,0,2233,178,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
netsleuth-cm:df_node_similarity,3,2,0.6,2.0,2.6666666666666665,11.761655728022257,3.0,22.0,5.0,0,2233,66,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
ensemble:leiden,3,2,0.6,25.0,10.333333333333334,3.3334686756134033,0.0,109.0,25.0,6,2239,321,0,2245,1.0,1.0,0.01834862385321101,1.0,0.03603603603603604
ensemble-centralities:leiden,3,2,0.6,25.0,10.333333333333334,1.3950982888539631,0.0,43.0,25.0,6,2239,123,0,2245,1.0,1.0,0.046511627906976744,1.0,0.08888888888888888
ensemble-centralities:df_node_similarity,3,2,0.6,2.0,2.6666666666666665,34.52656332651774,0.0,18.333333333333332,5.0,6,2239,49,0,2245,1.0,1.0,0.10909090909090909,1.0,0.19672131147540983
ensemble:df_node_similarity,2,2,0.6,1.0,2.5,57.690358996391296,0.0,16.0,3.0,4,1508,28,0,1512,1.0,1.0,0.125,1.0,0.2222222222222222
centrality-cm:betweenness:leiden,3,2,0.7,27.0,11.0,0.8801591396331787,0.0,57.0,27.0,6,2239,165,0,2245,1.0,1.0,0.03508771929824561,1.0,0.06779661016949151
centrality-cm:betweenness:df_node_similarity,3,2,0.7,2.0,2.6666666666666665,15.565798679987589,0.0,22.0,5.0,6,2239,60,0,2245,1.0,1.0,0.09090909090909091,1.0,0.16666666666666669
rumor:leiden,3,2,0.7,27.0,11.0,2.5058579444885254,0.0,27.666666666666668,27.0,6,2239,77,0,2245,1.0,1.0,0.07228915662650602,1.0,0.1348314606741573
rumor:df_node_similarity,3,2,0.7,2.0,2.6666666666666665,33.63035496075948,2.0,5.333333333333333,5.0,2,2235,14,4,2245,0.3333333333333333,0.9982134881643591,0.125,0.9964365256124722,0.18181818181818182
jordan:leiden,3,2,0.7,27.0,11.0,0.4853068987528483,0.0,280.3333333333333,27.0,6,2239,835,0,2245,1.0,1.0,0.007134363852556481,1.0,0.014167650531286895
jordan:df_node_similarity,3,2,0.7,2.0,2.6666666666666665,11.171986818313599,0.0,26.0,5.0,6,2239,72,0,2245,1.0,1.0,0.07692307692307693,1.0,0.14285714285714288
netsleuth-cm:leiden,3,2,0.7,27.0,11.0,0.39629069964090985,2.0,85.33333333333333,27.0,0,2233,256,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
netsleuth-cm:df_node_similarity,3,2,0.7,2.0,2.6666666666666665,11.551421244939169,2.0,36.0,5.0,0,2233,108,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
ensemble:leiden,3,2,0.7,27.0,11.0,3.006993055343628,0.0,177.66666666666666,27.0,6,2239,527,0,2245,1.0,1.0,0.01125703564727955,1.0,0.022263450834879406
ensemble-centralities:leiden,3,2,0.7,27.0,11.0,1.0779201984405518,0.0,94.0,27.0,6,2239,276,0,2245,1.0,1.0,0.02127659574468085,1.0,0.04166666666666667
ensemble-centralities:df_node_similarity,3,2,0.7,2.0,2.6666666666666665,34.30629618962606,0.0,28.0,5.0,6,2239,78,0,2245,1.0,1.0,0.07142857142857142,1.0,0.13333333333333333
ensemble:df_node_similarity,2,2,0.7,1.0,2.5,57.649555802345276,0.0,21.0,3.0,4,1508,38,0,1512,1.0,1.0,0.09523809523809523,1.0,0.17391304347826084
centrality-cm:betweenness:leiden,3,2,0.8,27.0,11.0,0.9720173676808676,0.0,85.33333333333333,27.0,6,2239,250,0,2245,1.0,1.0,0.0234375,1.0,0.04580152671755725
centrality-cm:betweenness:df_node_similarity,3,2,0.8,2.0,2.6666666666666665,15.679791371027628,0.0,32.0,5.0,6,2239,90,0,2245,1.0,1.0,0.0625,1.0,0.11764705882352941
rumor:leiden,3,2,0.8,27.0,11.0,2.3445139726003013,0.0,38.666666666666664,27.0,6,2239,110,0,2245,1.0,1.0,0.05172413793103448,1.0,0.09836065573770492
rumor:df_node_similarity,3,2,0.8,2.0,2.6666666666666665,33.82064421971639,2.0,6.666666666666667,5.0,2,2235,18,4,2245,0.3333333333333333,0.9982134881643591,0.1,0.9964365256124722,0.15384615384615383
jordan:leiden,3,2,0.8,27.0,11.0,0.622380256652832,0.0,292.6666666666667,27.0,6,2239,872,0,2245,1.0,1.0,0.00683371298405467,1.0,0.013574660633484162
jordan:df_node_similarity,3,2,0.8,2.0,2.6666666666666665,11.529455423355103,0.0,26.666666666666668,5.0,6,2239,74,0,2245,1.0,1.0,0.075,1.0,0.13953488372093023
netsleuth-cm:leiden,3,2,0.8,27.0,11.0,0.5807573000590006,1.6666666666666667,138.33333333333334,27.0,1,2234,414,5,2245,0.16666666666666666,0.9977668602054489,0.0024096385542168677,0.9955456570155902,0.00475059382422803
netsleuth-cm:df_node_similarity,3,2,0.8,2.0,2.6666666666666665,11.590673844019571,2.0,68.66666666666667,5.0,0,2233,206,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
ensemble:leiden,3,2,0.8,27.0,11.0,3.1273491382598877,0.0,269.3333333333333,27.0,6,2239,802,0,2245,1.0,1.0,0.007425742574257425,1.0,0.01474201474201474
ensemble-centralities:leiden,3,2,0.8,27.0,11.0,1.2957695325215657,0.0,162.0,27.0,6,2239,480,0,2245,1.0,1.0,0.012345679012345678,1.0,0.024390243902439022
ensemble-centralities:df_node_similarity,3,2,0.8,2.0,2.6666666666666665,34.46909976005554,0.0,48.333333333333336,5.0,6,2239,139,0,2245,1.0,1.0,0.041379310344827586,1.0,0.07947019867549668
ensemble:df_node_similarity,2,2,0.8,1.0,2.5,58.19768989086151,0.0,38.0,3.0,4,1508,72,0,1512,1.0,1.0,0.05263157894736842,1.0,0.1
centrality-cm:betweenness:leiden,3,2,0.9,27.0,11.0,1.003786563873291,0.0,191.66666666666666,27.0,6,2239,569,0,2245,1.0,1.0,0.010434782608695653,1.0,0.020654044750430294
centrality-cm:betweenness:df_node_similarity,3,2,0.9,2.0,2.6666666666666665,15.845007419586182,0.0,59.0,5.0,6,2239,171,0,2245,1.0,1.0,0.03389830508474576,1.0,0.06557377049180328
rumor:leiden,3,2,0.9,27.0,11.0,2.457470099131266,0.0,59.333333333333336,27.0,6,2239,172,0,2245,1.0,1.0,0.033707865168539325,1.0,0.06521739130434782
rumor:df_node_similarity,3,2,0.9,2.0,2.6666666666666665,33.74182144800822,1.6666666666666667,10.666666666666666,5.0,2,2235,30,4,2245,0.3333333333333333,0.9982134881643591,0.0625,0.9964365256124722,0.10526315789473684
jordan:leiden,3,2,0.9,27.0,11.0,0.5669527053833008,0.0,298.6666666666667,27.0,6,2239,890,0,2245,1.0,1.0,0.006696428571428571,1.0,0.013303769401330375
jordan:df_node_similarity,3,2,0.9,2.0,2.6666666666666665,11.382529656092325,0.0,27.0,5.0,6,2239,75,0,2245,1.0,1.0,0.07407407407407407,1.0,0.13793103448275862
netsleuth-cm:leiden,3,2,0.9,27.0,11.0,0.576972246170044,1.6666666666666667,213.66666666666666,27.0,1,2234,640,5,2245,0.16666666666666666,0.9977668602054489,0.0015600624024961,0.9955456570155902,0.0030911901081916537
netsleuth-cm:df_node_similarity,3,2,0.9,2.0,2.6666666666666665,11.730865240097046,2.0,143.0,5.0,0,2233,429,6,2245,0.0,0.9973202322465387,0.0,0.9946547884187082,0
ensemble:leiden,3,2,0.9,29.0,11.666666666666666,2.9796977043151855,0.0,366.6666666666667,29.0,6,2239,1094,0,2245,1.0,1.0,0.005454545454545455,1.0,0.010849909584086801
ensemble-centralities:leiden,3,2,0.9,29.0,11.666666666666666,1.0739188989003499,0.0,398.0,29.0,6,2239,1188,0,2245,1.0,1.0,0.005025125628140704,1.0,0.01
ensemble-centralities:df_node_similarity,3,2,0.9,2.0,2.6666666666666665,34.39354133605957,0.0,108.33333333333333,5.0,6,2239,319,0,2245,1.0,1.0,0.018461538461538463,1.0,0.03625377643504532
ensemble:df_node_similarity,1,2,0.9,0.0,2.0,56.487953901290894,0.0,74.0,1.0,2,756,72,0,758,1.0,1.0,0.02702702702702703,1.0,0.052631578947368425
centrality-cm:betweenness:leiden,3,10,0.0,6.0,12.0,0.932961622873942,5.0,12.0,16.0,18,2480,18,12,2522,0.6,0.9951845906902087,0.5,0.9904837430610627,0.5454545454545454
