type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
ensemble:df_node_similarity,3,2,0.2,0.0,2.0,0.02940090497334798,1.6666666666666667,2.6666666666666665,0.0,1,50,7,5,61,0.16666666666666666,0.9090909090909091,0.125,0.8360655737704918,0.14285714285714288
ensemble-centralities:leiden,3,2,0.2,3.0,3.0,0.012348413467407227,0.0,4.0,3.0,6,55,6,0,61,1.0,1.0,0.5,1.0,0.6666666666666666
ensemble-centralities:df_node_similarity,3,2,0.2,0.0,2.0,0.020513375600179035,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
centrality-cm:betweenness:leiden,3,2,0.3,3.0,3.0,0.00627589225769043,0.0,4.0,3.0,6,55,6,0,61,1.0,1.0,0.5,1.0,0.6666666666666666
centrality-cm:betweenness:df_node_similarity,3,2,0.3,0.0,2.0,0.012010335922241211,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
rumor:leiden,3,2,0.3,3.0,3.0,0.00935069719950358,0.0,3.6666666666666665,3.0,6,55,5,0,61,1.0,1.0,0.5454545454545454,1.0,0.7058823529411764
rumor:df_node_similarity,3,2,0.3,0.0,2.0,0.015409072240193685,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
jordan:leiden,3,2,0.3,3.0,3.0,0.006437142690022786,2.0,15.0,3.0,0,49,45,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
jordan:df_node_similarity,3,2,0.3,0.0,2.0,0.008723894755045572,2.0,16.666666666666668,0.0,0,49,50,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
netsleuth-cm:leiden,3,2,0.3,3.0,3.0,0.009462436040242514,2.0,4.666666666666667,3.0,0,49,14,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
netsleuth-cm:df_node_similarity,3,2,0.3,0.0,2.0,0.012901782989501953,2.0,2.3333333333333335,0.0,0,49,7,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
ensemble:leiden,3,2,0.3,3.0,3.0,0.018924554189046223,1.6666666666666667,7.0,3.0,1,50,20,5,61,0.16666666666666666,0.9090909090909091,0.047619047619047616,0.8360655737704918,0.07407407407407407
ensemble:df_node_similarity,3,2,0.3,0.0,2.0,0.02815898259480794,1.0,3.6666666666666665,0.0,3,52,8,3,61,0.5,0.9454545454545454,0.2727272727272727,0.9016393442622951,0.3529411764705882
ensemble-centralities:leiden,3,2,0.3,3.0,3.0,0.012672185897827148,0.0,4.666666666666667,3.0,6,55,8,0,61,1.0,1.0,0.42857142857142855,1.0,0.6
ensemble-centralities:df_node_similarity,3,2,0.3,0.0,2.0,0.019025405248006184,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
