type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
netsleuth-cm:df_node_similarity,1,5,0.1,5.0,10.0,0.40520381927490234,12.0,13.0,0.0,1,213,12,4,222,0.2,0.9815668202764977,0.07692307692307693,0.963963963963964,0.1111111111111111
ensemble:leiden,1,5,0.1,7.0,12.0,0.1961374282836914,4.0,16.0,2.0,2,214,14,3,222,0.4,0.9861751152073732,0.125,0.972972972972973,0.19047619047619047
ensemble:df_node_similarity,1,5,0.1,5.0,10.0,1.755216360092163,6.0,19.0,0.0,2,214,17,3,222,0.4,0.9861751152073732,0.10526315789473684,0.972972972972973,0.16666666666666666
ensemble-centralities:leiden,1,5,0.1,7.0,12.0,0.0733034610748291,7.0,27.0,1.0,1,213,26,4,222,0.2,0.9815668202764977,0.037037037037037035,0.963963963963964,0.0625
ensemble-centralities:df_node_similarity,1,5,0.1,5.0,10.0,1.2298293113708496,7.0,16.0,0.0,1,213,15,4,222,0.2,0.9815668202764977,0.0625,0.963963963963964,0.09523809523809523
centrality-cm:betweenness:leiden,3,50,0.1,100.0,16.666666666666668,0.149900754292806,0.0,24.333333333333332,0.0,11,1056,62,139,1345,0.07333333333333333,0.8836820083682009,0.1506849315068493,0.7933085501858737,0.09865470852017937
centrality-cm:betweenness:df_node_similarity,3,50,0.1,114.0,12.0,3.2836832205454507,0.0,18.0,0.0,10,1055,44,140,1345,0.06666666666666667,0.8828451882845189,0.18518518518518517,0.79182156133829,0.09803921568627451
rumor:leiden,3,50,0.1,99.0,17.0,0.3409074942270915,0.0,20.333333333333332,2.0,9,1054,52,141,1345,0.06,0.8820083682008368,0.14754098360655737,0.7903345724907063,0.08530805687203791
rumor:df_node_similarity,3,50,0.1,114.0,12.0,3.615427811940511,0.0,13.333333333333334,0.0,6,1051,34,144,1345,0.04,0.8794979079497908,0.15,0.7858736059479554,0.06315789473684211
jordan:leiden,3,50,0.1,99.0,17.0,0.1724561850229899,18.333333333333332,46.666666666666664,3.0,18,1063,122,132,1345,0.12,0.8895397489539749,0.12857142857142856,0.803717472118959,0.12413793103448276
jordan:df_node_similarity,3,50,0.1,114.0,12.0,3.206000884373983,0.0,30.666666666666668,0.0,10,1055,82,140,1345,0.06666666666666667,0.8828451882845189,0.10869565217391304,0.79182156133829,0.08264462809917356
