type,experiments,sources,threshold,comm_difference,avg_com_count,avg_time,avg_distance,avg_detected_sources,nr_of_missing_communities,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
netsleuth-cm:leiden,3,4,0.0,3.0,3.0,0.0038909117380777993,1.6666666666666667,3.0,3.0,1,44,8,11,67,0.08333333333333333,0.8,0.1111111111111111,0.6716417910447762,0.09523809523809525
netsleuth-cm:df_node_similarity,3,4,0.0,6.0,2.0,0.0060990651448567705,0.0,2.0,0.0,1,44,5,11,67,0.08333333333333333,0.8,0.16666666666666666,0.6716417910447762,0.1111111111111111
ensemble:leiden,3,4,0.0,3.0,3.0,0.011826912562052408,1.3333333333333333,3.0,3.0,1,44,8,11,67,0.08333333333333333,0.8,0.1111111111111111,0.6716417910447762,0.09523809523809525
ensemble:df_node_similarity,3,4,0.0,6.0,2.0,0.02368442217508952,0.0,2.0,0.0,1,44,5,11,67,0.08333333333333333,0.8,0.16666666666666666,0.6716417910447762,0.1111111111111111
ensemble-centralities:leiden,3,4,0.0,3.0,3.0,0.005852699279785156,1.3333333333333333,3.0,3.0,6,49,3,6,67,0.5,0.8909090909090909,0.6666666666666666,0.8208955223880597,0.5714285714285715
ensemble-centralities:df_node_similarity,3,4,0.0,6.0,2.0,0.014998594919840494,0.0,2.0,0.0,6,49,0,6,67,0.5,0.8909090909090909,1.0,0.8208955223880597,0.6666666666666666
centrality-cm:betweenness:leiden,3,2,0.1,2.0,2.6666666666666665,0.0026085376739501953,0.3333333333333333,3.0,1.0,5,54,4,1,61,0.8333333333333334,0.9818181818181818,0.5555555555555556,0.9672131147540983,0.6666666666666667
centrality-cm:betweenness:df_node_similarity,3,2,0.1,0.0,2.0,0.004914919535319011,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
rumor:leiden,3,2,0.1,2.0,2.6666666666666665,0.004549185434977214,0.0,3.3333333333333335,1.0,6,55,4,0,61,1.0,1.0,0.6,1.0,0.7499999999999999
rumor:df_node_similarity,3,2,0.1,0.0,2.0,0.006494363149007161,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
jordan:leiden,3,2,0.1,2.0,2.6666666666666665,0.002211491266886393,2.0,7.333333333333333,1.0,0,49,22,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
jordan:df_node_similarity,3,2,0.1,0.0,2.0,0.004299640655517578,2.0,7.0,0.0,0,49,21,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
netsleuth-cm:leiden,3,2,0.1,2.0,2.6666666666666665,0.003631432851155599,2.0,2.6666666666666665,1.0,0,49,8,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
netsleuth-cm:df_node_similarity,3,2,0.1,0.0,2.0,0.004780371983846028,2.0,2.3333333333333335,0.0,0,49,7,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
ensemble:leiden,3,2,0.1,2.0,2.6666666666666665,0.010915438334147135,2.0,4.0,1.0,0,49,12,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
ensemble:df_node_similarity,3,2,0.1,0.0,2.0,0.018610795338948567,1.6666666666666667,2.6666666666666665,0.0,1,50,7,5,61,0.16666666666666666,0.9090909090909091,0.125,0.8360655737704918,0.14285714285714288
ensemble-centralities:leiden,3,2,0.1,2.0,2.6666666666666665,0.005665699640909831,0.0,3.6666666666666665,1.0,6,55,5,0,61,1.0,1.0,0.5454545454545454,1.0,0.7058823529411764
ensemble-centralities:df_node_similarity,3,2,0.1,0.0,2.0,0.010820945103963217,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
centrality-cm:betweenness:leiden,3,3,0.1,2.0,3.0,0.0021112759908040366,1.0,4.0,2.0,7,40,5,2,51,0.7777777777777778,0.9523809523809523,0.5833333333333334,0.9215686274509803,0.6666666666666666
centrality-cm:betweenness:df_node_similarity,3,3,0.1,2.0,2.3333333333333335,0.004677931467692058,0.3333333333333333,3.6666666666666665,1.0,6,39,5,3,51,0.6666666666666666,0.9285714285714286,0.5454545454545454,0.8823529411764706,0.6
rumor:leiden,3,3,0.1,2.0,3.0,0.0033356348673502603,1.0,4.0,2.0,7,40,5,2,51,0.7777777777777778,0.9523809523809523,0.5833333333333334,0.9215686274509803,0.6666666666666666
rumor:df_node_similarity,3,3,0.1,2.0,2.3333333333333335,0.006052970886230469,0.3333333333333333,3.6666666666666665,1.0,6,39,5,3,51,0.6666666666666666,0.9285714285714286,0.5454545454545454,0.8823529411764706,0.6
jordan:leiden,3,3,0.1,2.0,3.0,0.0022983551025390625,3.3333333333333335,10.0,2.0,0,33,30,9,51,0.0,0.7857142857142857,0.0,0.6470588235294118,0
jordan:df_node_similarity,3,3,0.1,2.0,2.3333333333333335,0.004718383153279622,3.3333333333333335,8.333333333333334,1.0,0,33,25,9,51,0.0,0.7857142857142857,0.0,0.6470588235294118,0
netsleuth-cm:leiden,3,3,0.1,2.0,3.0,0.003520488739013672,2.0,3.0,2.0,0,33,9,9,51,0.0,0.7857142857142857,0.0,0.6470588235294118,0
netsleuth-cm:df_node_similarity,3,3,0.1,2.0,2.3333333333333335,0.005414565404256185,0.6666666666666666,2.3333333333333335,1.0,1,34,6,8,51,0.1111111111111111,0.8095238095238095,0.14285714285714285,0.6862745098039216,0.125
ensemble:leiden,3,3,0.1,2.0,3.0,0.009660005569458008,2.0,4.0,2.0,0,33,12,9,51,0.0,0.7857142857142857,0.0,0.6470588235294118,0
ensemble:df_node_similarity,3,3,0.1,2.0,2.3333333333333335,0.0190426508585612,0.6666666666666666,2.6666666666666665,1.0,1,34,7,8,51,0.1111111111111111,0.8095238095238095,0.125,0.6862745098039216,0.11764705882352941
ensemble-centralities:leiden,3,3,0.1,2.0,3.0,0.0045939286549886065,1.0,4.0,2.0,7,40,5,2,51,0.7777777777777778,0.9523809523809523,0.5833333333333334,0.9215686274509803,0.6666666666666666
ensemble-centralities:df_node_similarity,3,3,0.1,2.0,2.3333333333333335,0.01174322764078776,0.3333333333333333,3.6666666666666665,1.0,6,39,5,3,51,0.6666666666666666,0.9285714285714286,0.5454545454545454,0.8823529411764706,0.6
centrality-cm:betweenness:leiden,3,4,0.1,3.0,3.0,0.0029435952504475913,1.3333333333333333,3.0,3.0,6,49,3,6,67,0.5,0.8909090909090909,0.6666666666666666,0.8208955223880597,0.5714285714285715
centrality-cm:betweenness:df_node_similarity,3,4,0.1,6.0,2.0,0.006147702534993489,0.0,2.0,0.0,6,49,0,6,67,0.5,0.8909090909090909,1.0,0.8208955223880597,0.6666666666666666
rumor:leiden,3,4,0.1,3.0,3.0,0.004566272099812825,1.3333333333333333,3.0,3.0,6,49,3,6,67,0.5,0.8909090909090909,0.6666666666666666,0.8208955223880597,0.5714285714285715
rumor:df_node_similarity,3,4,0.1,6.0,2.0,0.008579413096110025,0.0,2.0,0.0,6,49,0,6,67,0.5,0.8909090909090909,1.0,0.8208955223880597,0.6666666666666666
jordan:leiden,3,4,0.1,3.0,3.0,0.002662102381388346,4.333333333333333,8.333333333333334,3.0,0,43,25,12,67,0.0,0.7818181818181819,0.0,0.6417910447761194,0
jordan:df_node_similarity,3,4,0.1,6.0,2.0,0.005362669626871745,4.0,6.0,0.0,0,43,18,12,67,0.0,0.7818181818181819,0.0,0.6417910447761194,0
netsleuth-cm:leiden,3,4,0.1,3.0,3.0,0.003847837448120117,1.6666666666666667,3.0,3.0,1,44,8,11,67,0.08333333333333333,0.8,0.1111111111111111,0.6716417910447762,0.09523809523809525
netsleuth-cm:df_node_similarity,3,4,0.1,6.0,2.0,0.006265322367350261,1.3333333333333333,2.6666666666666665,0.0,1,44,7,11,67,0.08333333333333333,0.8,0.125,0.6716417910447762,0.1
ensemble:leiden,3,4,0.1,3.0,3.0,0.012104988098144531,3.3333333333333335,3.6666666666666665,3.0,1,44,10,11,67,0.08333333333333333,0.8,0.09090909090909091,0.6716417910447762,0.08695652173913043
ensemble:df_node_similarity,3,4,0.1,6.0,2.0,0.023974259694417317,0.0,3.0,0.0,3,46,6,9,67,0.25,0.8363636363636363,0.3333333333333333,0.7313432835820896,0.28571428571428575
ensemble-centralities:leiden,3,4,0.1,3.0,3.0,0.00587916374206543,1.3333333333333333,3.0,3.0,6,49,3,6,67,0.5,0.8909090909090909,0.6666666666666666,0.8208955223880597,0.5714285714285715
ensemble-centralities:df_node_similarity,3,4,0.1,6.0,2.0,0.01528016726175944,0.0,2.0,0.0,6,49,0,6,67,0.5,0.8909090909090909,1.0,0.8208955223880597,0.6666666666666666
centrality-cm:betweenness:leiden,3,2,0.2,3.0,3.0,0.002533435821533203,0.3333333333333333,3.3333333333333335,1.0,5,54,5,1,61,0.8333333333333334,0.9818181818181818,0.5,0.9672131147540983,0.625
centrality-cm:betweenness:df_node_similarity,3,2,0.2,0.0,2.0,0.004508574803670247,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
rumor:leiden,3,2,0.2,3.0,3.0,0.004065752029418945,0.0,3.6666666666666665,1.0,6,55,5,0,61,1.0,1.0,0.5454545454545454,1.0,0.7058823529411764
rumor:df_node_similarity,3,2,0.2,0.0,2.0,0.0061872005462646484,0.0,2.0,0.0,6,55,0,0,61,1.0,1.0,1.0,1.0,1.0
jordan:leiden,3,2,0.2,3.0,3.0,0.002446730931599935,2.0,13.333333333333334,1.0,0,49,40,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
jordan:df_node_similarity,3,2,0.2,0.0,2.0,0.004026015599568685,2.0,14.333333333333334,0.0,0,49,43,6,61,0.0,0.8909090909090909,0.0,0.8032786885245902,0
