type,sources,threshold,comm_difference,avg_com_size,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
rumor:leiden,2,0.05,33,13.0,2.6210110187530518,0.0,6,2325,2325,0,2331,1.0,1.0,0.002574002574002574,1.0,0.005134788189987163
rumor:df_node_similarity,2,0.05,6,5.0,41.640278458595276,0.0,4,1536,1529,0,1540,1.0,1.0,0.002609262883235486,1.0,0.005204944697462589
jordan:leiden,2,0.05,30,12.0,0.4414755503336589,0.6666666666666666,4,2323,56,2,2331,0.6666666666666666,0.9991397849462366,0.06666666666666667,0.9982839982839983,0.1212121212121212
jordan:df_node_similarity,2,0.05,7,4.333333333333333,8.82095472017924,2.3333333333333335,0,2319,19,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
netsleuth-cm:leiden,2,0.05,32,12.666666666666666,0.17845972379048666,2.6666666666666665,0,2319,47,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
netsleuth-cm:df_node_similarity,2,0.05,7,4.333333333333333,9.536266088485718,3.3333333333333335,0,2319,18,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
ensemble:leiden,2,0.05,30,12.0,4.415443420410156,1.6666666666666667,1,2320,84,5,2331,0.16666666666666666,0.9978494623655914,0.011764705882352941,0.9957099957099957,0.02197802197802198
ensemble:df_node_similarity,2,0.05,6,5.0,49.1777206659317,3.0,0,1532,11,4,1540,0.0,0.9973958333333334,0.0,0.9948051948051948,0
ensemble-centralities:leiden,2,0.05,33,13.0,1.4721566836039226,1.3333333333333333,2,2321,70,4,2331,0.3333333333333333,0.9982795698924731,0.027777777777777776,0.9965679965679966,0.05128205128205128
ensemble-centralities:df_node_similarity,2,0.05,7,4.333333333333333,22.63192097345988,1.3333333333333333,2,2321,31,4,2331,0.3333333333333333,0.9982795698924731,0.06060606060606061,0.9965679965679966,0.10256410256410256
centrality-cm:betweenness:leiden,10,0.05,5,11.666666666666666,1.1083888212839763,8.333333333333334,8,2426,43,22,2478,0.26666666666666666,0.9910130718954249,0.1568627450980392,0.9822437449556094,0.19753086419753085
centrality-cm:betweenness:df_node_similarity,10,0.05,18,4.0,20.2599143187205,3.3333333333333335,3,2421,25,27,2478,0.1,0.9889705882352942,0.10714285714285714,0.9782082324455206,0.10344827586206898
rumor:leiden,10,0.05,4,11.333333333333334,4.145459810892741,0.0,30,2448,2448,0,2478,1.0,1.0,0.012106537530266344,1.0,0.02392344497607656
jordan:leiden,10,0.05,4,11.333333333333334,0.45242969195048016,8.666666666666666,8,2426,38,22,2478,0.26666666666666666,0.9910130718954249,0.17391304347826086,0.9822437449556094,0.2105263157894737
jordan:df_node_similarity,10,0.05,18,4.0,9.82381558418274,0.0,3,2421,22,27,2478,0.1,0.9889705882352942,0.12,0.9782082324455206,0.1090909090909091
netsleuth-cm:leiden,10,0.05,7,12.333333333333334,0.20331517855326334,14.333333333333334,0,2418,58,30,2478,0.0,0.9877450980392157,0.0,0.9757869249394673,0
netsleuth-cm:df_node_similarity,10,0.05,18,4.0,11.252801895141602,0.0,0,2418,16,30,2478,0.0,0.9877450980392157,0.0,0.9757869249394673,0
ensemble:leiden,10,0.05,8,12.666666666666666,4.8021368980407715,9.0,6,2424,85,24,2478,0.2,0.9901960784313726,0.06593406593406594,0.9806295399515739,0.09917355371900828
ensemble-centralities:leiden,10,0.05,6,12.0,1.7978386878967285,6.666666666666667,13,2431,58,17,2478,0.43333333333333335,0.9930555555555556,0.18309859154929578,0.9862792574656981,0.2574257425742575
ensemble-centralities:df_node_similarity,10,0.05,18,4.0,26.411284526189167,7.666666666666667,9,2427,36,21,2478,0.3,0.991421568627451,0.2,0.9830508474576272,0.24
centrality-cm:betweenness:leiden,100,0.05,263,12.333333333333334,1.3398845195770264,0.0,38,2144,6,262,2706,0.12666666666666668,0.8911055694098088,0.8636363636363636,0.8063562453806357,0.22093023255813954
centrality-cm:betweenness:df_node_similarity,100,0.05,286,4.666666666666667,25.060104211171467,0.0,13,2119,10,287,2706,0.043333333333333335,0.8807148794679966,0.5652173913043478,0.7878787878787878,0.08049535603715172
rumor:leiden,100,0.05,266,11.333333333333334,4.232849359512329,0.0,300,2406,2406,0,2706,1.0,1.0,0.11086474501108648,1.0,0.1996007984031936
jordan:leiden,100,0.05,265,11.666666666666666,0.4733421007792155,0.0,43,2149,18,257,2706,0.14333333333333334,0.8931837073981712,0.7049180327868853,0.8100517368810052,0.23822714681440446
jordan:df_node_similarity,100,0.05,286,4.666666666666667,16.268860975901287,0.0,9,2115,20,291,2706,0.03,0.8790523690773068,0.3103448275862069,0.7849223946784922,0.0547112462006079
netsleuth-cm:leiden,100,0.05,267,11.0,0.3296513557434082,0.0,3,2109,41,297,2706,0.01,0.8765586034912718,0.06818181818181818,0.7804878048780488,0.01744186046511628
netsleuth-cm:df_node_similarity,100,0.05,286,4.666666666666667,17.610412915547688,0.0,1,2107,16,299,2706,0.0033333333333333335,0.8757273482959268,0.058823529411764705,0.779009608277901,0.006309148264984228
ensemble:leiden,100,0.05,266,11.333333333333334,6.714154958724976,0.0,35,2141,57,265,2706,0.11666666666666667,0.8898586866167914,0.3804347826086957,0.804138950480414,0.17857142857142858
ensemble-centralities:leiden,100,0.05,265,11.666666666666666,2.1313835779825845,0.0,49,2155,16,251,2706,0.16333333333333333,0.8956774729842062,0.7538461538461538,0.8144863266814486,0.2684931506849315
ensemble-centralities:df_node_similarity,100,0.05,286,4.666666666666667,32.49308474858602,0.0,20,2126,16,280,2706,0.06666666666666667,0.8836242726517041,0.5555555555555556,0.7930524759793053,0.11904761904761904
rumor:df_node_similarity,100,0.05,96,4.0,55.09135437011719,0.0,100,800,800,0,900,1.0,1.0,0.1111111111111111,1.0,0.19999999999999998
centrality-cm:betweenness:leiden,2,0.1,26,10.666666666666666,1.0239648818969727,1.3333333333333333,2,2321,61,4,2331,0.3333333333333333,0.9982795698924731,0.031746031746031744,0.9965679965679966,0.057971014492753624
centrality-cm:betweenness:df_node_similarity,2,0.1,7,4.333333333333333,16.42282748222351,1.3333333333333333,2,2321,54,4,2331,0.3333333333333333,0.9982795698924731,0.03571428571428571,0.9965679965679966,0.06451612903225806
rumor:leiden,2,0.1,30,12.0,3.2668306827545166,0.0,6,2325,2325,0,2331,1.0,1.0,0.002574002574002574,1.0,0.005134788189987163
rumor:df_node_similarity,2,0.1,7,4.333333333333333,47.54824376106262,0.0,6,2325,2325,0,2331,1.0,1.0,0.002574002574002574,1.0,0.005134788189987163
jordan:leiden,2,0.1,26,10.666666666666666,0.4290912946065267,1.0,3,2322,77,3,2331,0.5,0.9987096774193548,0.0375,0.9974259974259975,0.06976744186046512
jordan:df_node_similarity,2,0.1,7,4.333333333333333,8.874005476633707,1.3333333333333333,2,2321,23,4,2331,0.3333333333333333,0.9982795698924731,0.08,0.9965679965679966,0.12903225806451613
netsleuth-cm:leiden,2,0.1,30,12.0,0.16617576281229654,2.3333333333333335,0,2319,77,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
netsleuth-cm:df_node_similarity,2,0.1,7,4.333333333333333,9.999421119689941,3.3333333333333335,0,2319,25,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
ensemble:leiden,2,0.1,25,10.333333333333334,5.320169448852539,1.3333333333333333,2,2321,281,4,2331,0.3333333333333333,0.9982795698924731,0.007067137809187279,0.9965679965679966,0.01384083044982699
ensemble-centralities:leiden,2,0.1,31,12.333333333333334,1.6943762302398682,1.0,3,2322,212,3,2331,0.5,0.9987096774193548,0.013953488372093023,0.9974259974259975,0.027149321266968326
ensemble-centralities:df_node_similarity,2,0.1,7,4.333333333333333,21.717133045196533,0.3333333333333333,5,2324,232,1,2331,0.8333333333333334,0.9995698924731182,0.02109704641350211,0.9991419991419992,0.0411522633744856
ensemble:df_node_similarity,2,0.1,1,3.0,40.547991037368774,3.0,0,758,7,2,762,0.0,0.9973684210526316,0.0,0.994750656167979,0
centrality-cm:betweenness:leiden,10,0.1,5,11.666666666666666,1.0297284126281738,6.333333333333333,14,2432,66,16,2478,0.4666666666666667,0.9934640522875817,0.175,0.9870863599677159,0.2545454545454546
centrality-cm:betweenness:df_node_similarity,10,0.1,18,4.0,19.167115052541096,2.0,26,2444,88,4,2478,0.8666666666666667,0.9983660130718954,0.22807017543859648,0.9967715899919289,0.3611111111111111
rumor:leiden,10,0.1,8,12.666666666666666,3.4123432636260986,0.0,30,2448,2448,0,2478,1.0,1.0,0.012106537530266344,1.0,0.02392344497607656
jordan:leiden,10,0.1,5,11.666666666666666,0.4445752302805583,5.666666666666667,15,2433,82,15,2478,0.5,0.9938725490196079,0.15463917525773196,0.9878934624697336,0.23622047244094488
jordan:df_node_similarity,10,0.1,18,4.0,9.403529644012451,6.666666666666667,3,2421,34,27,2478,0.1,0.9889705882352942,0.08108108108108109,0.9782082324455206,0.08955223880597014
netsleuth-cm:leiden,10,0.1,8,12.666666666666666,0.20116615295410156,11.333333333333334,0,2418,79,30,2478,0.0,0.9877450980392157,0.0,0.9757869249394673,0
netsleuth-cm:df_node_similarity,10,0.1,18,4.0,9.990657647450766,5.0,0,2418,28,30,2478,0.0,0.9877450980392157,0.0,0.9757869249394673,0
ensemble:leiden,10,0.1,3,11.0,5.429900566736857,3.6666666666666665,19,2437,596,11,2478,0.6333333333333333,0.9955065359477124,0.030894308943089432,0.9911218724778047,0.05891472868217055
ensemble-centralities:leiden,10,0.1,5,11.666666666666666,1.9289573828379314,5.333333333333333,16,2434,217,14,2478,0.5333333333333333,0.994281045751634,0.06866952789699571,0.9887005649717514,0.1216730038022814
ensemble-centralities:df_node_similarity,10,0.1,18,4.0,26.758346875508625,1.0,27,2445,652,3,2478,0.9,0.9987745098039216,0.039764359351988215,0.9975786924939467,0.07616361071932298
centrality-cm:betweenness:leiden,100,0.1,261,13.0,1.1549479961395264,0.0,57,2163,38,243,2706,0.19,0.899002493765586,0.6,0.8203991130820399,0.28860759493670884
centrality-cm:betweenness:df_node_similarity,100,0.1,286,4.666666666666667,24.363601287206013,0.0,47,2153,18,253,2706,0.15666666666666668,0.8948462177888612,0.7230769230769231,0.8130081300813008,0.25753424657534246
rumor:leiden,100,0.1,267,11.0,4.479450066884358,0.0,300,2406,2406,0,2706,1.0,1.0,0.11086474501108648,1.0,0.1996007984031936
jordan:leiden,100,0.1,263,12.333333333333334,0.476711908976237,0.0,48,2154,48,252,2706,0.16,0.8952618453865336,0.5,0.8137472283813747,0.24242424242424243
jordan:df_node_similarity,100,0.1,286,4.666666666666667,15.301955540974935,0.0,10,2116,28,290,2706,0.03333333333333333,0.8794679966749792,0.2631578947368421,0.7856614929785661,0.0591715976331361
netsleuth-cm:leiden,100,0.1,265,11.666666666666666,0.3035272757212321,0.0,2,2108,57,298,2706,0.006666666666666667,0.8761429758935994,0.03389830508474576,0.7797487065779749,0.011142061281337047
netsleuth-cm:df_node_similarity,100,0.1,286,4.666666666666667,16.029279152552288,0.0,6,2112,25,294,2706,0.02,0.8778054862842892,0.1935483870967742,0.7827050997782705,0.03625377643504532
ensemble:leiden,100,0.1,266,11.333333333333334,6.714897155761719,77.0,102,2208,464,198,2706,0.34,0.9177057356608479,0.18021201413427562,0.8536585365853658,0.23556581986143188
ensemble-centralities:leiden,100,0.1,268,10.666666666666666,2.451667547225952,0.0,84,2190,99,216,2706,0.28,0.9102244389027432,0.45901639344262296,0.8403547671840355,0.34782608695652173
ensemble-centralities:df_node_similarity,100,0.1,286,4.666666666666667,31.455164829889934,20.666666666666668,169,2275,145,131,2706,0.5633333333333334,0.9455527847049044,0.5382165605095541,0.9031781226903178,0.5504885993485341
rumor:df_node_similarity,100,0.1,96,4.0,50.399237632751465,0.0,100,800,800,0,900,1.0,1.0,0.1111111111111111,1.0,0.19999999999999998
ensemble:df_node_similarity,100,0.1,96,4.0,58.22313094139099,4.0,96,796,712,4,900,0.96,0.995,0.1188118811881188,0.9911111111111112,0.21145374449339205
centrality-cm:betweenness:leiden,2,0.15,32,12.666666666666666,0.9074978033701578,1.3333333333333333,2,2321,154,4,2331,0.3333333333333333,0.9982795698924731,0.01282051282051282,0.9965679965679966,0.024691358024691357
centrality-cm:betweenness:df_node_similarity,2,0.15,7,4.333333333333333,16.308298269907635,0.3333333333333333,5,2324,1405,1,2331,0.8333333333333334,0.9995698924731182,0.0035460992907801418,0.9991419991419992,0.007062146892655367
rumor:leiden,2,0.15,31,12.333333333333334,2.9631544748942056,0.0,6,2325,2325,0,2331,1.0,1.0,0.002574002574002574,1.0,0.005134788189987163
rumor:df_node_similarity,2,0.15,7,4.333333333333333,46.84080322583517,0.0,6,2325,2325,0,2331,1.0,1.0,0.002574002574002574,1.0,0.005134788189987163
jordan:leiden,2,0.15,32,12.666666666666666,0.4686896006266276,0.3333333333333333,5,2324,116,1,2331,0.8333333333333334,0.9995698924731182,0.04132231404958678,0.9991419991419992,0.07874015748031496
jordan:df_node_similarity,2,0.15,7,4.333333333333333,8.906814495722452,1.0,3,2322,29,3,2331,0.5,0.9987096774193548,0.09375,0.9974259974259975,0.15789473684210525
netsleuth-cm:leiden,2,0.15,29,11.666666666666666,0.1864353815714518,2.6666666666666665,0,2319,184,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
netsleuth-cm:df_node_similarity,2,0.15,7,4.333333333333333,9.297144095102945,3.3333333333333335,0,2319,29,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
ensemble:leiden,2,0.15,31,12.333333333333334,4.055846691131592,0.6666666666666666,4,2323,837,2,2331,0.6666666666666666,0.9991397849462366,0.0047562425683709865,0.9982839982839983,0.009445100354191263
ensemble-centralities:leiden,2,0.15,29,11.666666666666666,1.6248312791188557,1.0,3,2322,514,3,2331,0.5,0.9987096774193548,0.005802707930367505,0.9974259974259975,0.011472275334608031
ensemble-centralities:df_node_similarity,2,0.15,7,4.333333333333333,21.595455567042034,0.0,6,2325,1673,0,2331,1.0,1.0,0.00357355568790947,1.0,0.007121661721068249
ensemble:df_node_similarity,2,0.15,1,3.0,40.25946116447449,0.0,2,760,261,0,762,1.0,1.0,0.0076045627376425855,1.0,0.015094339622641508
centrality-cm:betweenness:leiden,10,0.15,7,12.333333333333334,1.0418728192647297,6.666666666666667,12,2430,110,18,2478,0.4,0.9926470588235294,0.09836065573770492,0.9854721549636803,0.15789473684210528
centrality-cm:betweenness:df_node_similarity,10,0.15,18,4.0,18.852327982584637,0.0,30,2448,2251,0,2478,1.0,1.0,0.0131521262604121,1.0,0.025962786672436174
rumor:leiden,10,0.15,7,12.333333333333334,3.2506891091664634,0.0,30,2448,2448,0,2478,1.0,1.0,0.012106537530266344,1.0,0.02392344497607656
jordan:leiden,10,0.15,3,11.0,0.4428064028422038,7.666666666666667,10,2428,108,20,2478,0.3333333333333333,0.9918300653594772,0.0847457627118644,0.9838579499596449,0.13513513513513511
jordan:df_node_similarity,10,0.15,18,4.0,9.43254049619039,10.0,3,2421,42,27,2478,0.1,0.9889705882352942,0.06666666666666667,0.9782082324455206,0.08
netsleuth-cm:leiden,10,0.15,3,11.0,0.25050870577494305,10.666666666666666,1,2419,134,29,2478,0.03333333333333333,0.9881535947712419,0.007407407407407408,0.976594027441485,0.012121212121212121
netsleuth-cm:df_node_similarity,10,0.15,18,4.0,9.973198731740316,7.333333333333333,1,2419,308,29,2478,0.03333333333333333,0.9881535947712419,0.003236245954692557,0.976594027441485,0.0058997050147492625
ensemble:leiden,10,0.15,8,12.666666666666666,4.306061347325643,0.6666666666666666,28,2446,1156,2,2478,0.9333333333333333,0.9991830065359477,0.02364864864864865,0.9983857949959645,0.046128500823723224
ensemble-centralities:leiden,10,0.15,4,11.333333333333334,1.8083372116088867,1.6666666666666667,26,2444,613,4,2478,0.8666666666666667,0.9983660130718954,0.0406885758998435,0.9967715899919289,0.07772795216741404
ensemble-centralities:df_node_similarity,10,0.15,18,4.0,25.64349341392517,0.0,30,2448,2289,0,2478,1.0,1.0,0.0129366106080207,1.0,0.02554278416347382
centrality-cm:betweenness:leiden,100,0.15,262,12.666666666666666,1.13626495997111,0.0,65,2171,22,235,2706,0.21666666666666667,0.9023275145469659,0.7471264367816092,0.8263118994826312,0.3359173126614987
centrality-cm:betweenness:df_node_similarity,100,0.15,286,4.666666666666667,24.676154534022015,0.6666666666666666,216,2322,1403,84,2706,0.72,0.9650872817955112,0.13341568869672638,0.9379157427937915,0.22511724856696194
rumor:leiden,100,0.15,263,12.333333333333334,4.1871146361033125,0.0,300,2406,2406,0,2706,1.0,1.0,0.11086474501108648,1.0,0.1996007984031936
jordan:leiden,100,0.15,263,12.333333333333334,0.4739585717519124,0.0,80,2186,56,220,2706,0.26666666666666666,0.9085619285120532,0.5882352941176471,0.8373983739837398,0.36697247706422015
jordan:df_node_similarity,100,0.15,286,4.666666666666667,15.061777273813883,0.0,14,2120,31,286,2706,0.04666666666666667,0.8811305070656692,0.3111111111111111,0.7886178861788617,0.08115942028985507
netsleuth-cm:leiden,100,0.15,261,13.0,0.4389162063598633,0.0,24,2130,176,276,2706,0.08,0.885286783042394,0.12,0.7960088691796009,0.09599999999999999
netsleuth-cm:df_node_similarity,100,0.15,286,4.666666666666667,17.145560185114544,0.0,21,2127,76,279,2706,0.07,0.8840399002493765,0.21649484536082475,0.7937915742793792,0.1057934508816121
ensemble:leiden,100,0.15,264,12.0,7.541996240615845,32.0,207,2313,1392,93,2706,0.69,0.9613466334164589,0.1294559099437148,0.9312638580931264,0.21800947867298576
ensemble-centralities:leiden,100,0.15,263,12.333333333333334,2.4571444988250732,56.0,156,2262,604,144,2706,0.52,0.940149625935162,0.20526315789473684,0.893569844789357,0.2943396226415094
ensemble-centralities:df_node_similarity,100,0.15,286,4.666666666666667,32.80442182223002,6.333333333333333,281,2387,1982,19,2706,0.9366666666666666,0.9921030756442227,0.1241714538223597,0.9859571322985957,0.21927428794381587
rumor:df_node_similarity,100,0.15,96,4.0,51.2283501625061,0.0,100,800,800,0,900,1.0,1.0,0.1111111111111111,1.0,0.19999999999999998
ensemble:df_node_similarity,100,0.15,96,4.0,58.2443528175354,2.0,98,798,723,2,900,0.98,0.9975,0.11936662606577345,0.9955555555555555,0.21281216069489683
centrality-cm:betweenness:leiden,2,0.2,31,12.333333333333334,0.8307034969329834,1.3333333333333333,2,2321,228,4,2331,0.3333333333333333,0.9982795698924731,0.008695652173913044,0.9965679965679966,0.01694915254237288
centrality-cm:betweenness:df_node_similarity,2,0.2,7,4.333333333333333,16.08647569020589,0.0,6,2325,1929,0,2331,1.0,1.0,0.0031007751937984496,1.0,0.006182380216383308
rumor:leiden,2,0.2,30,12.0,2.965240716934204,0.0,6,2325,2325,0,2331,1.0,1.0,0.002574002574002574,1.0,0.005134788189987163
rumor:df_node_similarity,2,0.2,7,4.333333333333333,46.84699026743571,0.0,6,2325,2325,0,2331,1.0,1.0,0.002574002574002574,1.0,0.005134788189987163
jordan:leiden,2,0.2,25,10.333333333333334,0.43227704366048175,0.6666666666666666,4,2323,145,2,2331,0.6666666666666666,0.9991397849462366,0.026845637583892617,0.9982839982839983,0.05161290322580646
jordan:df_node_similarity,2,0.2,7,4.333333333333333,9.014409303665161,1.0,3,2322,35,3,2331,0.5,0.9987096774193548,0.07894736842105263,0.9974259974259975,0.13636363636363635
netsleuth-cm:leiden,2,0.2,27,11.0,0.22443318367004395,2.0,0,2319,214,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
netsleuth-cm:df_node_similarity,2,0.2,7,4.333333333333333,9.661269187927246,3.0,0,2319,54,6,2331,0.0,0.9974193548387097,0.0,0.9948519948519948,0
ensemble:leiden,2,0.2,31,12.333333333333334,4.1581893761952715,0.0,6,2325,1821,0,2331,1.0,1.0,0.003284072249589491,1.0,0.006546644844517184
ensemble-centralities:leiden,2,0.2,32,12.666666666666666,1.4988881746927898,0.0,6,2325,968,0,2331,1.0,1.0,0.006160164271047228,1.0,0.012244897959183675
ensemble-centralities:df_node_similarity,2,0.2,7,4.333333333333333,21.704995314280193,0.0,6,2325,2027,0,2331,1.0,1.0,0.002951303492375799,1.0,0.00588523786169691
ensemble:df_node_similarity,2,0.2,1,3.0,40.356117725372314,0.0,2,760,538,0,762,1.0,1.0,0.003703703703703704,1.0,0.007380073800738007
centrality-cm:betweenness:leiden,10,0.2,11,13.666666666666666,0.8707500298817953,4.0,21,2439,235,9,2478,0.7,0.9963235294117647,0.08203125,0.9927360774818402,0.14685314685314685
centrality-cm:betweenness:df_node_similarity,10,0.2,18,4.0,19.396664063135784,0.0,30,2448,2252,0,2478,1.0,1.0,0.013146362839614373,1.0,0.0259515570934256
rumor:leiden,10,0.2,4,11.333333333333334,3.647529363632202,0.0,30,2448,2448,0,2478,1.0,1.0,0.012106537530266344,1.0,0.02392344497607656
jordan:leiden,10,0.2,9,13.0,0.47214531898498535,5.333333333333333,16,2434,209,14,2478,0.5333333333333333,0.994281045751634,0.07111111111111111,0.9887005649717514,0.12549019607843137
jordan:df_node_similarity,10,0.2,18,4.0,9.780454953511557,10.0,3,2421,50,27,2478,0.1,0.9889705882352942,0.05660377358490566,0.9782082324455206,0.07228915662650602
netsleuth-cm:leiden,10,0.2,7,12.333333333333334,0.3001820246378581,10.666666666666666,1,2419,310,29,2478,0.03333333333333333,0.9881535947712419,0.003215434083601286,0.976594027441485,0.005865102639296187
