type,experiment,sources,detected,normalized,per_community,time,nr_of_empty_communities,error_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,0,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.56), (29, 0.04), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (11, 0.0), (19, 0.0), (21, 0.0), (27, 0.0), (3, 0.0), (7, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0, 32: 0.25, 33: 0.4464285714285714}, 1: {0: 0.9, 4: 0.0, 10: 0.0, 11: 0.0, 19: 0.0, 21: 0.0}, 2: {2: 0.6666666666666666, 3: 0.0, 7: 0.0, 27: 0.0}}",0.003325939178466797,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:eigenvector,0,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.3414634146341463), (29, 0.024390243902439025), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (27, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (11, 0.0), (19, 0.0), (21, 0.0), (2, 0.0), (3, 0.0), (7, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 27: 0.0, 29: 0.013888888888888888, 30: 0.0, 31: 0.0, 32: 0.19444444444444442, 33: 0.5694444444444444}, 1: {0: 0.9, 4: 0.0, 10: 0.0, 11: 0.0, 19: 0.0, 21: 0.0}, 2: {2: 0.0, 3: 0.0, 7: 0.0}}",0.004492282867431641,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:louvain,0,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.3414634146341463), (29, 0.024390243902439025), (8, 0.0), (14, 0.0), (15, 0.0), (19, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (11, 0.0), (21, 0.0), (27, 0.0), (3, 0.0), (7, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 19: 0.0, 26: 0.0, 29: 0.013888888888888888, 30: 0.0, 31: 0.0, 32: 0.19444444444444442, 33: 0.5694444444444444}, 1: {0: 0.8333333333333333, 4: 0.0, 10: 0.0, 11: 0.0, 21: 0.0}, 2: {2: 0.6666666666666666, 3: 0.0, 7: 0.0, 27: 0.0}}",0.002623319625854492,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:greedy_modularity,0,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.56), (29, 0.04), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (11, 0.0), (19, 0.0), (21, 0.0), (3, 0.0), (27, 0.0), (7, 0.0)])","{0: {32: 0.25, 33: 0.4464285714285714, 8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0}, 1: {0: 0.9, 19: 0.0, 4: 0.0, 21: 0.0, 10: 0.0, 11: 0.0}, 2: {27: 0.0, 2: 0.6666666666666666, 3: 0.0, 7: 0.0}}",0.002732992172241211,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:label_propagation,0,"0,33","0,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.4187327823691461), (8, 0.046831955922865015), (2, 0.03305785123966942), (27, 0.030303030303030307), (29, 0.024793388429752067), (14, 0.0), (15, 0.0), (19, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (3, 0.0), (4, 0.0), (7, 0.0), (10, 0.0), (11, 0.0), (21, 0.0)])","{0: {32: 0.23030303030303031, 33: 0.5499999999999999, 2: 0.01818181818181818, 8: 0.025757575757575753, 14: 0.0, 15: 0.0, 19: 0.0, 26: 0.0, 27: 0.016666666666666666, 29: 0.013636363636363636, 30: 0.0, 31: 0.0}, 1: {0: 0.8666666666666667, 3: 0.0, 4: 0.0, 7: 0.0, 10: 0.0, 11: 0.0, 21: 0.0}}",0.00235748291015625,0,0,2,17,0,0,19,1.0,1.0,1.0,1.0,1.0
centrality-cm:betweenness:infomap,0,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.56), (29, 0.04), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (11, 0.0), (19, 0.0), (21, 0.0), (27, 0.0), (3, 0.0), (7, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0, 32: 0.25, 33: 0.4464285714285714}, 1: {0: 0.9, 4: 0.0, 10: 0.0, 11: 0.0, 19: 0.0, 21: 0.0}, 2: {2: 0.6666666666666666, 3: 0.0, 7: 0.0, 27: 0.0}}",0.04491090774536133,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:surprise_communities,0,"0,33","0,10,11,19,21,26,27,32","OrderedDict([(32, 1.0), (33, 1.0), (8, 0.0), (14, 0.0), (15, 0.0), (30, 0.0), (31, 0.0), (0, 0.0), (2, 0.0), (3, 0.0), (7, 0.0), (10, 0.0), (4, 0.0), (26, 0.0), (29, 0.0), (19, 0.0), (11, 0.0), (21, 0.0), (27, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 30: 0.0, 31: 0.0, 32: 0.3, 33: 0.3}, 1: {0: 0.0, 2: 0.0, 3: 0.0, 7: 0.0}, 2: {4: 0.0, 10: 0.0}, 3: {26: 0.0, 29: 0.0}, 4: {19: 0.0}, 5: {11: 0.0}, 6: {21: 0.0}, 7: {27: 0.0}}",0.003239154815673828,6,1,1,16,7,1,19,0.5,0.9411764705882353,0.125,0.8947368421052632,0.2
centrality-cm:betweenness:walktrap,0,"0,33","0,2,10,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.303030303030303), (29, 0.0303030303030303), (14, 0.0), (15, 0.0), (19, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (3, 0.0), (7, 0.0), (11, 0.0), (21, 0.0), (8, 0.0), (27, 0.0), (10, 0.0), (4, 0.0)])","{0: {14: 0.0, 15: 0.0, 19: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0, 32: 0.17857142857142855, 33: 0.5892857142857143}, 1: {0: 0.8333333333333333, 3: 0.0, 7: 0.0, 11: 0.0, 21: 0.0}, 2: {2: 1.0, 8: 0.0, 27: 0.0}, 3: {4: 0.0, 10: 0.0}}",0.0024025440216064453,2,0,2,17,2,0,19,1.0,1.0,0.5,1.0,0.6666666666666666
centrality-cm:betweenness:df_node_similarity,0,"0,33","0,33","OrderedDict([(0, 1.0), (33, 1.0), (32, 0.56), (2, 0.27586206896551724), (29, 0.04), (3, 0.0), (4, 0.0), (7, 0.0), (10, 0.0), (11, 0.0), (19, 0.0), (21, 0.0), (27, 0.0), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0)])","{0: {0: 0.8055555555555555, 2: 0.2222222222222222, 3: 0.0, 4: 0.0, 7: 0.0, 10: 0.0, 11: 0.0, 19: 0.0, 21: 0.0, 27: 0.0}, 1: {32: 0.25, 33: 0.4464285714285714, 8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0}}",0.0049402713775634766,0,0,2,17,0,0,19,1.0,1.0,1.0,1.0,1.0
rumor:leiden,0,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.45454545454545453), (3, 0.25), (7, 0.25), (29, 0.09090909090909091), (10, 0.062499999999999986), (4, 0.062499999999999986), (8, 0.01818181818181819), (30, 0.01818181818181819), (14, 0.0), (15, 0.0), (26, 0.0), (31, 0.0), (11, 0.0), (21, 0.0), (19, 0.0), (27, 0.0)])","{0: {8: 0.011111111111111112, 14: 0.009259259259259259, 15: 0.009259259259259259, 26: 0.009259259259259259, 29: 0.018518518518518517, 30: 0.011111111111111112, 31: 0.009259259259259259, 32: 0.05555555555555555, 33: 0.1111111111111111}, 1: {0: 0.16666666666666666, 4: 0.041666666666666664, 10: 0.041666666666666664, 11: 0.03333333333333333, 19: 0.03333333333333333, 21: 0.03333333333333333}, 2: {2: 0.25, 3: 0.125, 7: 0.125, 27: 0.08333333333333333}}",0.0025162696838378906,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
rumor:eigenvector,0,"0,33","0,3,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.20588235294117646), (10, 0.062499999999999986), (4, 0.062499999999999986), (27, 0.0588235294117647), (29, 0.029411764705882346), (26, 0.016806722689075623), (30, 0.011764705882352943), (8, 0.011764705882352943), (31, 0.0), (14, 0.0), (15, 0.0), (21, 0.0), (19, 0.0), (11, 0.0), (3, 0.0), (2, 0.0), (7, 0.0)])","{0: {8: 0.006666666666666667, 14: 0.005555555555555556, 15: 0.005555555555555556, 26: 0.007142857142857143, 27: 0.011111111111111112, 29: 0.008333333333333333, 30: 0.006666666666666667, 31: 0.005555555555555556, 32: 0.025, 33: 0.1}, 1: {0: 0.16666666666666666, 4: 0.041666666666666664, 10: 0.041666666666666664, 11: 0.03333333333333333, 19: 0.03333333333333333, 21: 0.03333333333333333}, 2: {2: 0.3333333333333333, 3: 0.3333333333333333, 7: 0.3333333333333333}}",0.0025484561920166016,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
rumor:louvain,0,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (3, 0.25), (7, 0.25), (32, 0.20588235294117646), (10, 0.11111111111111106), (4, 0.11111111111111106), (19, 0.0588235294117647), (29, 0.029411764705882346), (26, 0.016806722689075623), (8, 0.011764705882352943), (30, 0.011764705882352943), (14, 0.0), (15, 0.0), (31, 0.0), (11, 0.0), (21, 0.0), (27, 0.0)])","{0: {8: 0.006666666666666667, 14: 0.005555555555555556, 15: 0.005555555555555556, 19: 0.011111111111111112, 26: 0.007142857142857143, 29: 0.008333333333333333, 30: 0.006666666666666667, 31: 0.005555555555555556, 32: 0.025, 33: 0.1}, 1: {0: 0.2, 4: 0.06666666666666667, 10: 0.06666666666666667, 11: 0.05, 21: 0.05}, 2: {2: 0.25, 3: 0.125, 7: 0.125, 27: 0.08333333333333333}}",0.002496957778930664,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
rumor:greedy_modularity,0,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.45454545454545453), (3, 0.25), (7, 0.25), (29, 0.09090909090909091), (4, 0.062499999999999986), (10, 0.062499999999999986), (8, 0.01818181818181819), (30, 0.01818181818181819), (14, 0.0), (31, 0.0), (15, 0.0), (26, 0.0), (21, 0.0), (19, 0.0), (11, 0.0), (27, 0.0)])","{0: {32: 0.05555555555555555, 33: 0.1111111111111111, 8: 0.011111111111111112, 14: 0.009259259259259259, 15: 0.009259259259259259, 26: 0.009259259259259259, 29: 0.018518518518518517, 30: 0.011111111111111112, 31: 0.009259259259259259}, 1: {0: 0.16666666666666666, 19: 0.03333333333333333, 4: 0.041666666666666664, 21: 0.03333333333333333, 10: 0.041666666666666664, 11: 0.03333333333333333}, 2: {27: 0.08333333333333333, 2: 0.25, 3: 0.125, 7: 0.125}}",0.0023529529571533203,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
rumor:label_propagation,0,"0,33","0,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.22945205479452055), (29, 0.07045009784735812), (19, 0.0660024906600249), (27, 0.05821917808219178), (14, 0.04598825831702544), (15, 0.04598825831702544), (31, 0.04598825831702544), (8, 0.04109589041095891), (3, 0.04000000000000001), (4, 0.04000000000000001), (7, 0.04000000000000001), (10, 0.04000000000000001), (30, 0.02397260273972603), (26, 0.015410958904109588), (2, 0.0), (11, 0.0), (21, 0.0)])","{0: {32: 0.010416666666666666, 33: 0.041666666666666664, 2: 0.0011111111111111111, 8: 0.002777777777777778, 14: 0.002976190476190476, 15: 0.002976190476190476, 19: 0.003787878787878788, 26: 0.001736111111111111, 27: 0.003472222222222222, 29: 0.003968253968253968, 30: 0.0020833333333333333, 31: 0.002976190476190476}, 1: {0: 0.14285714285714285, 3: 0.02857142857142857, 4: 0.02857142857142857, 7: 0.02857142857142857, 10: 0.02857142857142857, 11: 0.023809523809523808, 21: 0.023809523809523808}}",0.0028896331787109375,0,0,2,17,0,0,19,1.0,1.0,1.0,1.0,1.0
rumor:infomap,0,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.45454545454545453), (7, 0.25), (3, 0.25), (29, 0.09090909090909091), (10, 0.062499999999999986), (4, 0.062499999999999986), (8, 0.01818181818181819), (30, 0.01818181818181819), (31, 0.0), (26, 0.0), (15, 0.0), (14, 0.0), (11, 0.0), (19, 0.0), (21, 0.0), (27, 0.0)])","{0: {8: 0.011111111111111112, 14: 0.009259259259259259, 15: 0.009259259259259259, 26: 0.009259259259259259, 29: 0.018518518518518517, 30: 0.011111111111111112, 31: 0.009259259259259259, 32: 0.05555555555555555, 33: 0.1111111111111111}, 1: {0: 0.16666666666666666, 4: 0.041666666666666664, 10: 0.041666666666666664, 11: 0.03333333333333333, 19: 0.03333333333333333, 21: 0.03333333333333333}, 2: {2: 0.25, 3: 0.125, 7: 0.125, 27: 0.08333333333333333}}",0.0022881031036376953,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
rumor:surprise_communities,0,"0,33","3,4,11,19,21,26,27,33","OrderedDict([(33, 1.0), (32, 1.0), (30, 0.06249999999999999), (8, 0.06249999999999999), (15, 0.0), (14, 0.0), (31, 0.0), (3, 0.0), (0, 0.0), (7, 0.0), (2, 0.0), (4, 0.0), (10, 0.0), (26, 0.0), (29, 0.0), (19, 0.0), (11, 0.0), (21, 0.0), (27, 0.0)])","{0: {8: 0.03571428571428571, 14: 0.02857142857142857, 15: 0.02857142857142857, 30: 0.03571428571428571, 31: 0.02857142857142857, 32: 0.14285714285714285, 33: 0.14285714285714285}, 1: {0: 0.25, 2: 0.25, 3: 0.25, 7: 0.25}, 2: {4: 0.5, 10: 0.5}, 3: {26: 0.5, 29: 0.5}, 4: {19: 1.0}, 5: {11: 1.0}, 6: {21: 1.0}, 7: {27: 1.0}}",0.001867055892944336,6,1,1,16,7,1,19,0.5,0.9411764705882353,0.125,0.8947368421052632,0.2
rumor:walktrap,0,"0,33","0,2,4,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.19642857142857142), (7, 0.11111111111111106), (3, 0.11111111111111106), (19, 0.06249999999999999), (29, 0.03571428571428572), (26, 0.01785714285714285), (14, 0.0), (15, 0.0), (30, 0.0), (31, 0.0), (11, 0.0), (21, 0.0), (8, 0.0), (27, 0.0), (4, 0.0), (10, 0.0)])","{0: {14: 0.007407407407407408, 15: 0.007407407407407408, 19: 0.013888888888888888, 26: 0.009259259259259259, 29: 0.011111111111111112, 30: 0.007407407407407408, 31: 0.007407407407407408, 32: 0.027777777777777776, 33: 0.1111111111111111}, 1: {0: 0.2, 3: 0.06666666666666667, 7: 0.06666666666666667, 11: 0.05, 21: 0.05}, 2: {2: 0.3333333333333333, 8: 0.16666666666666666, 27: 0.16666666666666666}, 3: {4: 0.5, 10: 0.5}}",0.0022170543670654297,2,0,2,17,2,0,19,1.0,1.0,0.5,1.0,0.6666666666666666
rumor:df_node_similarity,0,"0,33","0,33","OrderedDict([(0, 1.0), (33, 1.0), (32, 0.45454545454545453), (2, 0.3076923076923077), (7, 0.1346153846153846), (3, 0.1346153846153846), (10, 0.09134615384615385), (4, 0.09134615384615385), (29, 0.09090909090909091), (11, 0.07692307692307693), (19, 0.07692307692307693), (21, 0.07692307692307693), (8, 0.01818181818181819), (30, 0.01818181818181819), (27, 0.0), (14, 0.0), (31, 0.0), (26, 0.0), (15, 0.0)])","{0: {0: 0.05, 2: 0.016666666666666666, 3: 0.008333333333333333, 4: 0.00625, 7: 0.008333333333333333, 10: 0.00625, 11: 0.005555555555555556, 19: 0.005555555555555556, 21: 0.005555555555555556, 27: 0.001851851851851852}, 1: {32: 0.05555555555555555, 33: 0.1111111111111111, 8: 0.011111111111111112, 14: 0.009259259259259259, 15: 0.009259259259259259, 26: 0.009259259259259259, 29: 0.018518518518518517, 30: 0.011111111111111112, 31: 0.009259259259259259}}",0.0029015541076660156,0,0,2,17,0,0,19,1.0,1.0,1.0,1.0,1.0
jordan:leiden,0,"0,33","11,14,27","OrderedDict([(14, 1.0), (15, 1.0), (30, 1.0), (11, 1.0), (27, 1.0), (19, 0.9285714285714286), (21, 0.9285714285714286), (8, 0.9090909090909091), (26, 0.9090909090909091), (31, 0.9090909090909091), (4, 0.8571428571428571), (10, 0.8571428571428571), (29, 0.8181818181818182), (7, 0.6), (32, 0.45454545454545453), (3, 0.2), (33, 0.0), (0, 0.0), (2, 0.0)])","{0: {8: 16, 14: 17, 15: 17, 26: 16, 29: 15, 30: 17, 31: 16, 32: 11, 33: 6}, 1: {0: 2, 4: 14, 10: 14, 11: 16, 19: 15, 21: 15}, 2: {2: 5, 3: 6, 7: 8, 27: 10}}",0.0010879039764404297,1,2,0,15,3,2,19,0.0,0.8823529411764706,0.0,0.7894736842105263,0
jordan:eigenvector,0,"0,33","7,11,14","OrderedDict([(14, 1.0), (15, 1.0), (30, 1.0), (11, 1.0), (7, 1.0), (19, 0.9285714285714286), (21, 0.9285714285714286), (8, 0.9090909090909091), (26, 0.9090909090909091), (27, 0.9090909090909091), (31, 0.9090909090909091), (4, 0.8571428571428571), (10, 0.8571428571428571), (29, 0.8181818181818182), (3, 0.6666666666666666), (32, 0.45454545454545453), (33, 0.0), (0, 0.0), (2, 0.0)])","{0: {8: 16, 14: 17, 15: 17, 26: 16, 27: 16, 29: 15, 30: 17, 31: 16, 32: 11, 33: 6}, 1: {0: 2, 4: 14, 10: 14, 11: 16, 19: 15, 21: 15}, 2: {2: 2, 3: 6, 7: 8}}",0.0010690689086914062,1,2,0,15,3,2,19,0.0,0.8823529411764706,0.0,0.7894736842105263,0
jordan:louvain,0,"0,33","11,14,27","OrderedDict([(14, 1.0), (15, 1.0), (19, 1.0), (30, 1.0), (11, 1.0), (27, 1.0), (21, 0.9333333333333333), (8, 0.9090909090909091), (26, 0.9090909090909091), (31, 0.9090909090909091), (4, 0.8666666666666667), (10, 0.8666666666666667), (29, 0.8181818181818182), (7, 0.6), (32, 0.45454545454545453), (3, 0.2), (33, 0.0), (0, 0.0), (2, 0.0)])","{0: {8: 16, 14: 17, 15: 17, 19: 17, 26: 16, 29: 15, 30: 17, 31: 16, 32: 11, 33: 6}, 1: {0: 1, 4: 14, 10: 14, 11: 16, 21: 15}, 2: {2: 5, 3: 6, 7: 8, 27: 10}}",0.001043558120727539,1,2,0,15,3,2,19,0.0,0.8823529411764706,0.0,0.7894736842105263,0
jordan:greedy_modularity,0,"0,33","11,14,27","OrderedDict([(14, 1.0), (15, 1.0), (30, 1.0), (11, 1.0), (27, 1.0), (19, 0.9285714285714286), (21, 0.9285714285714286), (8, 0.9090909090909091), (26, 0.9090909090909091), (31, 0.9090909090909091), (4, 0.8571428571428571), (10, 0.8571428571428571), (29, 0.8181818181818182), (7, 0.6), (32, 0.45454545454545453), (3, 0.2), (33, 0.0), (0, 0.0), (2, 0.0)])","{0: {32: 11, 33: 6, 8: 16, 14: 17, 15: 17, 26: 16, 29: 15, 30: 17, 31: 16}, 1: {0: 2, 19: 15, 4: 14, 21: 15, 10: 14, 11: 16}, 2: {27: 10, 2: 5, 3: 6, 7: 8}}",0.0010561943054199219,1,2,0,15,3,2,19,0.0,0.8823529411764706,0.0,0.7894736842105263,0
jordan:label_propagation,0,"0,33","11,27","OrderedDict([(27, 1.0), (11, 1.0), (21, 0.9333333333333333), (4, 0.8666666666666667), (10, 0.8666666666666667), (8, 0.8571428571428571), (7, 0.8), (14, 0.7857142857142857), (15, 0.7857142857142857), (19, 0.7857142857142857), (30, 0.7857142857142857), (26, 0.7142857142857143), (31, 0.7142857142857143), (3, 0.6666666666666666), (29, 0.6428571428571429), (32, 0.5), (2, 0.42857142857142855), (33, 0.0), (0, 0.0)])","{0: {32: 13, 33: 6, 2: 12, 8: 18, 14: 17, 15: 17, 19: 17, 26: 16, 27: 20, 29: 15, 30: 17, 31: 16}, 1: {0: 1, 3: 11, 4: 14, 7: 13, 10: 14, 11: 16, 21: 15}}",0.0009205341339111328,0,2,0,15,2,2,19,0.0,0.8823529411764706,0.0,0.7894736842105263,0
jordan:infomap,0,"0,33","11,14,27","OrderedDict([(14, 1.0), (15, 1.0), (30, 1.0), (11, 1.0), (27, 1.0), (19, 0.9285714285714286), (21, 0.9285714285714286), (8, 0.9090909090909091), (26, 0.9090909090909091), (31, 0.9090909090909091), (4, 0.8571428571428571), (10, 0.8571428571428571), (29, 0.8181818181818182), (7, 0.6), (32, 0.45454545454545453), (3, 0.2), (33, 0.0), (0, 0.0), (2, 0.0)])","{0: {8: 16, 14: 17, 15: 17, 26: 16, 29: 15, 30: 17, 31: 16, 32: 11, 33: 6}, 1: {0: 2, 4: 14, 10: 14, 11: 16, 19: 15, 21: 15}, 2: {2: 5, 3: 6, 7: 8, 27: 10}}",0.0011107921600341797,1,2,0,15,3,2,19,0.0,0.8823529411764706,0.0,0.7894736842105263,0
jordan:surprise_communities,0,"0,33","4,7,11,14,19,21,26,27","OrderedDict([(14, 1.0), (15, 1.0), (30, 1.0), (7, 1.0), (26, 1.0), (8, 0.9090909090909091), (31, 0.9090909090909091), (3, 0.8333333333333334), (2, 0.5), (32, 0.45454545454545453), (33, 0.0), (0, 0.0), (4, 0.0), (10, 0.0), (29, 0.0), (19, 0.0), (11, 0.0), (21, 0.0), (27, 0.0)])","{0: {8: 16, 14: 17, 15: 17, 30: 17, 31: 16, 32: 11, 33: 6}, 1: {0: 5, 2: 11, 3: 15, 7: 17}, 2: {4: 2, 10: 2}, 3: {26: 3, 29: 1}, 4: {19: 0}, 5: {11: 0}, 6: {21: 0}, 7: {27: 0}}",0.0017192363739013672,6,2,0,15,8,2,19,0.0,0.8823529411764706,0.0,0.7894736842105263,0
jordan:walktrap,0,"0,33","4,11,14,27","OrderedDict([(14, 1.0), (15, 1.0), (19, 1.0), (11, 1.0), (27, 1.0), (21, 0.9333333333333333), (26, 0.9090909090909091), (30, 0.9090909090909091), (31, 0.9090909090909091), (29, 0.8181818181818182), (7, 0.8), (3, 0.6666666666666666), (8, 0.6), (32, 0.45454545454545453), (33, 0.0), (0, 0.0), (2, 0.0), (4, 0.0), (10, 0.0)])","{0: {14: 17, 15: 17, 19: 17, 26: 16, 29: 15, 30: 16, 31: 16, 32: 11, 33: 6}, 1: {0: 1, 3: 11, 7: 13, 11: 16, 21: 15}, 2: {2: 5, 8: 8, 27: 10}, 3: {4: 2, 10: 2}}",0.001195669174194336,2,2,0,15,4,2,19,0.0,0.8823529411764706,0.0,0.7894736842105263,0
jordan:df_node_similarity,0,"0,33","7,14","OrderedDict([(7, 1.0), (14, 1.0), (15, 1.0), (30, 1.0), (11, 0.9090909090909091), (8, 0.9090909090909091), (26, 0.9090909090909091), (31, 0.9090909090909091), (3, 0.8181818181818182), (19, 0.8181818181818182), (21, 0.8181818181818182), (29, 0.8181818181818182), (2, 0.7272727272727273), (4, 0.7272727272727273), (10, 0.7272727272727273), (32, 0.45454545454545453), (27, 0.36363636363636365), (0, 0.0), (33, 0.0)])","{0: {0: 6, 2: 14, 3: 15, 4: 14, 7: 17, 10: 14, 11: 16, 19: 15, 21: 15, 27: 10}, 1: {32: 11, 33: 6, 8: 16, 14: 17, 15: 17, 26: 16, 29: 15, 30: 17, 31: 16}}",0.00091552734375,0,2,0,15,2,2,19,0.0,0.8823529411764706,0.0,0.7894736842105263,0
netsleuth-cm:leiden,0,"0,33","2,8,10","OrderedDict([(8, 1.0), (10, 1.0), (2, 1.0), (11, 0.8571000143967269), (32, 0.8262142674377819), (26, 0.7647275935521857), (14, 0.6034022419932459), (33, 0.5663522991524653), (15, 0.47472174234833664), (21, 0.43036736731838204), (27, 0.3751555511130406), (31, 0.34969793745837796), (19, 0.31146155816085114), (30, 0.25163595391442195), (0, 0.20233386691367597), (3, 0.18568686013153465), (29, 0.0), (4, 0.0), (7, 0.0)])","{0: {8: 0.33333333333333337, 14: -0.07930288342554187, 15: -0.21318723721256666, 26: 0.08854648382540145, 29: -0.7071067811865472, 30: -0.4452946404785067, 31: -0.34326701908998647, 32: 0.1525196858443778, 33: -0.11785113019775861}, 1: {0: -0.18257418583505536, 4: -0.408248290463863, 10: 0.7071067811865474, 11: 0.5477225575051661, 19: -0.0608580619450184, 21: 0.07176413534752944}, 2: {2: 0.40824829046386285, 3: -0.4999999999999999, 7: -0.7071067811865475, 27: -0.28867513459481287}}",0.0031919479370117188,1,2,0,15,3,2,19,0.0,0.8823529411764706,0.0,0.7894736842105263,0
netsleuth-cm:eigenvector,0,"0,33","2,10,29","OrderedDict([(29, 1.0), (10, 1.0), (2, 1.0), (8, 0.906300012645419), (11, 0.8571000143967269), (26, 0.8150438024319454), (33, 0.7613145476907505), (15, 0.7306108911917144), (32, 0.719591942038977), (14, 0.6964712477754009), (31, 0.6505186384226762), (3, 0.5754522327048266), (21, 0.43036736731838204), (19, 0.31146155816085114), (30, 0.2949754493653683), (0, 0.20233386691367597), (27, 0.0), (4, 0.0), (7, 0.0)])","{0: {8: 0.3162277660168378, 14: 0.07930288342554202, 15: 0.11785113019775814, 26: 0.21318723721256616, 27: -0.7071067811865481, 29: 0.42202764772772744, 30: -0.3740398456236512, 31: 0.02741621010693237, 32: 0.1054092553389466, 33: 0.1525196858443774}, 1: {0: -0.18257418583505536, 4: -0.408248290463863, 10: 0.7071067811865474, 11: 0.5477225575051661, 19: -0.0608580619450184, 21: 0.07176413534752944}, 2: {2: -0.40824829046386296, 3: -0.5773502691896256, 7: -0.806559132617443}}",0.002430438995361328,1,2,0,15,3,2,19,0.0,0.8823529411764706,0.0,0.7894736842105263,0
netsleuth-cm:louvain,0,"0,33","2,11,31","OrderedDict([(31, 1.0), (11, 1.0), (2, 1.0), (8, 0.8295621705084639), (33, 0.6968528520467974), (15, 0.6687489222525775), (32, 0.658662964790009), (14, 0.6374999359371584), (30, 0.4593995222820522), (21, 0.40916518118259854), (0, 0.400544501093187), (19, 0.40039395725997345), (27, 0.3751555511130406), (29, 0.2738521713250918), (4, 0.21530256455946906), (3, 0.18568686013153465), (26, 0.0), (10, 0.0), (7, 0.0)])","{0: {8: 0.3162277660168379, 14: 0.07930288342554312, 15: 0.11785113019775788, 19: -0.2131872372125664, 26: -0.7071067811865477, 29: -0.36928714848577293, 30: -0.14039892150701933, 31: 0.5264771304040117, 32: 0.10540925533894636, 33: 0.1525196858443779}, 1: {0: -0.22360679774997896, 4: -0.4472135954999579, 10: -0.7071067811865475, 11: 0.49999999999999994, 21: -0.21320071635561047}, 2: {2: 0.40824829046386285, 3: -0.4999999999999999, 7: -0.7071067811865475, 27: -0.28867513459481287}}",0.0024073123931884766,1,2,0,15,3,2,19,0.0,0.8823529411764706,0.0,0.7894736842105263,0
