type,experiment,sources,detected,normalized,per_community,time,nr_of_empty_communities,error_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
netsleuth-cm:leiden,6,"0,2,32,33","6,26,27","OrderedDict([(26, 1.0), (6, 1.0), (27, 1.0), (12, 0.9627244610851368), (24, 0.868347502412604), (13, 0.7389794782785052), (0, 0.5930645707555744), (8, 0.5255737672856952), (23, 0.490133068685949), (33, 0.4638874591751717), (32, 0.42518605511623936), (2, 0.3529249203958424), (18, 0.3487105883594818), (5, 0.18027607350598915), (29, 0.0315625424661828), (22, 0.014664774930243561), (15, 0.0), (3, 0.0), (31, 0.0)])","{0: {15: -0.3535533905932738, 18: 0.04600398261434369, 22: -0.33675029041391064, 23: 0.2080477995732293, 26: 0.7922603201040287, 29: -0.3173885966910557, 32: 0.13363062095621223, 33: 0.1779752203501732}, 1: {0: -0.13363062095621225, 2: -0.35355339059327384, 3: -0.6767662621499833, 5: -0.5116672736016937, 6: 0.2390457218668785, 8: -0.19543950758485437, 12: 0.20490833661795982, 13: -9.844514686232356e-17}, 2: {24: 0.4082482904638628, 27: 0.5773502691896256, 31: -0.7071067811865474}}",0.0025298595428466797,1,0,0,11,3,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
netsleuth-cm:eigenvector,6,"0,2,32,33","6,29","OrderedDict([(29, 1.0), (6, 1.0), (12, 0.9627244610851368), (18, 0.8313666974855726), (13, 0.7389794782785052), (33, 0.6967604557415268), (32, 0.6600685621235698), (0, 0.5930645707555744), (15, 0.5712403788061723), (22, 0.5702362274339846), (8, 0.5255737672856952), (27, 0.5046930857988631), (23, 0.3944926209473786), (24, 0.3729427825276079), (2, 0.3529249203958424), (26, 0.2712179245007926), (5, 0.18027607350598915), (31, 0.0), (3, 0.0)])","{0: {15: 0.0038718082372102267, 18: 0.30151134457776385, 22: 0.002722846646737594, 23: -0.19836501641551116, 24: -0.22302259027438556, 26: -0.33941734698766557, 27: -0.07227237254376752, 29: 0.49446351576437453, 31: -0.6497480267338973, 32: 0.10551004088812892, 33: 0.14749332908191407}, 1: {0: -0.13363062095621225, 2: -0.35355339059327384, 3: -0.6767662621499833, 5: -0.5116672736016937, 6: 0.2390457218668785, 8: -0.19543950758485437, 12: 0.20490833661795982, 13: -9.844514686232356e-17}}",0.0018317699432373047,0,0,0,11,2,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
netsleuth-cm:louvain,6,"0,2,32,33","6,22,31","OrderedDict([(22, 1.0), (6, 1.0), (31, 1.0), (12, 0.9627244610851368), (15, 0.9435022772812498), (33, 0.7838647475575413), (18, 0.7699711496112537), (13, 0.7389794782785052), (32, 0.7258966812366474), (23, 0.6068842288946876), (27, 0.6068842288946864), (0, 0.5930645707555744), (8, 0.5255737672856952), (26, 0.4528597582161562), (2, 0.3529249203958424), (5, 0.18027607350598915), (29, 0.0), (3, 0.0), (24, 0.0)])","{0: {15: 0.33333333333333337, 18: 0.16149552041575005, 22: 0.3892797519221448, 23: -1.9377068751972178e-16, 26: -0.15252150166118897, 27: -1.4020739017973646e-15, 29: -0.6009622595535542, 32: 0.1178511301977578, 33: 0.1752535447927165}, 1: {0: -0.13363062095621225, 2: -0.35355339059327384, 3: -0.6767662621499833, 5: -0.5116672736016937, 6: 0.2390457218668785, 8: -0.19543950758485437, 12: 0.20490833661795982, 13: -9.844514686232356e-17}, 2: {24: -0.7071067811865475, 31: 0.7071067811865475}}",0.0023670196533203125,1,0,0,11,3,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
netsleuth-cm:greedy_modularity,6,"0,2,32,33","6,26,27","OrderedDict([(6, 1.0), (26, 1.0), (27, 1.0), (12, 0.9627244610851368), (24, 0.868347502412604), (13, 0.7389794782785052), (0, 0.5930645707555744), (8, 0.5255737672856952), (23, 0.490133068685949), (33, 0.4638874591751717), (32, 0.42518605511623936), (2, 0.3529249203958424), (18, 0.3487105883594818), (5, 0.18027607350598915), (29, 0.0315625424661828), (22, 0.014664774930243561), (3, 0.0), (15, 0.0), (31, 0.0)])","{0: {0: -0.13363062095621225, 2: -0.35355339059327384, 3: -0.6767662621499833, 5: -0.5116672736016937, 6: 0.2390457218668785, 8: -0.19543950758485437, 12: 0.20490833661795982, 13: -9.844514686232356e-17}, 1: {32: 0.13363062095621223, 33: 0.1779752203501732, 15: -0.3535533905932738, 18: 0.04600398261434369, 22: -0.33675029041391064, 23: 0.2080477995732293, 26: 0.7922603201040287, 29: -0.3173885966910557}, 2: {24: 0.4082482904638628, 27: 0.5773502691896256, 31: -0.7071067811865474}}",0.002375364303588867,1,0,0,11,3,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
netsleuth-cm:label_propagation,6,"0,2,32,33","12,22","OrderedDict([(22, 1.0), (12, 1.0), (31, 0.9979942992989058), (5, 0.8965215037131876), (6, 0.7913220478597227), (13, 0.738864357735309), (8, 0.6681892543378662), (3, 0.6638707085506373), (33, 0.5024628891703087), (27, 0.49300532029543825), (29, 0.49300532029543787), (0, 0.42447399526666557), (2, 0.42161519270182196), (32, 0.39805485366445614), (15, 0.3839495914415498), (18, 0.27471794517570713), (23, 0.2472779303045618), (26, 0.0), (24, 0.0)])","{0: {32: -0.11148599221715516, 33: 0.011104594715420659, 2: -0.08382264449753209, 8: 0.20569203501789093, 13: 0.28867513459481303, 15: -0.12804767127151354, 18: -0.2563018957903777, 22: 0.5952872789488668, 23: -0.28852056087869604, 26: -0.5788616870634673, 27: 1.1005226885393387e-15, 29: 6.36251706486998e-16}, 1: {0: -0.17873637330268335, 3: 0.10359188922340781, 5: 0.37796447300922736, 6: 0.25389936291488774, 12: 0.49999999999999956, 24: -0.6793322416719823, 31: 0.4976346124960552}}",0.0020062923431396484,0,0,0,11,2,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
netsleuth-cm:infomap,6,"0,2,32,33","6,29","OrderedDict([(29, 1.0), (6, 1.0), (12, 0.9627244610851368), (18, 0.8313666974855726), (13, 0.7389794782785052), (33, 0.6967604557415268), (32, 0.6600685621235698), (0, 0.5930645707555744), (15, 0.5712403788061723), (22, 0.5702362274339846), (8, 0.5255737672856952), (27, 0.5046930857988631), (23, 0.3944926209473786), (24, 0.3729427825276079), (2, 0.3529249203958424), (26, 0.2712179245007926), (5, 0.18027607350598915), (31, 0.0), (3, 0.0)])","{0: {15: 0.0038718082372102267, 18: 0.30151134457776385, 22: 0.002722846646737594, 23: -0.19836501641551116, 24: -0.22302259027438556, 26: -0.33941734698766557, 27: -0.07227237254376752, 29: 0.49446351576437453, 31: -0.6497480267338973, 32: 0.10551004088812892, 33: 0.14749332908191407}, 1: {0: -0.13363062095621225, 2: -0.35355339059327384, 3: -0.6767662621499833, 5: -0.5116672736016937, 6: 0.2390457218668785, 8: -0.19543950758485437, 12: 0.20490833661795982, 13: -9.844514686232356e-17}}",0.0021512508392333984,0,0,0,11,2,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
netsleuth-cm:surprise_communities,6,"0,2,32,33","3,6,8,27,29","OrderedDict([(8, 1.0), (3, 1.0), (29, 1.0), (27, 1.0), (6, 1.0), (23, 0.8836634939894801), (24, 0.868347502412604), (0, 0.48369946579060824), (22, 0.3091880445217728), (18, 0.3091880445217728), (15, 0.3091880445217728), (13, 0.29898179371605893), (2, 0.2600004123799831), (32, 0.17091494744558972), (33, 0.0), (12, 0.0), (26, 0.0), (31, 0.0), (5, 0.0)])","{0: {8: 0.9121400547430439, 15: -4.335952340621447e-18, 18: 1.7435535449848935e-17, 22: 5.31639735029516e-17, 32: -0.18257418583505536, 33: -0.408248290463863}, 1: {0: -0.22360679774997896, 2: -0.4472135954999579, 3: 0.2924808091083612, 12: -0.7071067811865479, 13: -0.40824829046386296}, 2: {23: 0.5773502691896256, 26: -0.4082482904638632, 29: 0.7071067811865476}, 3: {24: 0.4082482904638628, 27: 0.5773502691896256, 31: -0.7071067811865474}, 4: {5: -0.7071067811865475, 6: 0.7071067811865475}}",0.00365447998046875,3,4,0,11,5,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
netsleuth-cm:walktrap,6,"0,2,32,33","3,6,26,27","OrderedDict([(26, 1.0), (3, 1.0), (27, 1.0), (6, 1.0), (24, 0.868347502412604), (8, 0.8478370744884894), (23, 0.490133068685949), (33, 0.4638874591751717), (32, 0.42518605511623936), (18, 0.3487105883594818), (0, 0.20799177677861513), (12, 0.19613449641421257), (13, 0.18740758209744637), (29, 0.0315625424661828), (22, 0.014664774930243561), (15, 0.0), (2, 0.0), (31, 0.0), (5, 0.0)])","{0: {15: -0.3535533905932738, 18: 0.04600398261434369, 22: -0.33675029041391064, 23: 0.2080477995732293, 26: 0.7922603201040287, 29: -0.3173885966910557, 32: 0.13363062095621223, 33: 0.1779752203501732}, 1: {0: -0.1825741858350553, 2: -0.4082482904638631, 3: 0.6767662621499818, 8: 0.5116672736016963, 12: -0.19543950758485445, 13: -0.2049083366179599}, 2: {24: 0.4082482904638628, 27: 0.5773502691896256, 31: -0.7071067811865474}, 3: {5: -0.7071067811865475, 6: 0.7071067811865475}}",0.003016233444213867,2,5,0,11,4,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
netsleuth-cm:df_node_similarity,6,"0,2,32,33","3,6,29","OrderedDict([(29, 1.0), (3, 1.0), (6, 1.0), (8, 0.8478370744884894), (18, 0.8313666974855726), (33, 0.6967604557415268), (32, 0.6600685621235698), (15, 0.5712403788061723), (22, 0.5702362274339846), (27, 0.5046930857988631), (23, 0.3944926209473786), (24, 0.3729427825276079), (26, 0.2712179245007926), (0, 0.20799177677861513), (12, 0.19613449641421257), (13, 0.18740758209744637), (31, 0.0), (2, 0.0), (5, 0.0)])","{0: {32: 0.10551004088812892, 33: 0.14749332908191407, 15: 0.0038718082372102267, 18: 0.30151134457776385, 22: 0.002722846646737594, 23: -0.19836501641551116, 24: -0.22302259027438556, 26: -0.33941734698766557, 27: -0.07227237254376752, 29: 0.49446351576437453, 31: -0.6497480267338973}, 1: {0: -0.1825741858350553, 2: -0.4082482904638631, 3: 0.6767662621499818, 8: 0.5116672736016963, 12: -0.19543950758485445, 13: -0.2049083366179599}, 2: {5: -0.7071067811865475, 6: 0.7071067811865475}}",0.0024416446685791016,1,0,0,11,3,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
ensemble:leiden,6,"0,2,32,33","13,24,26",{},"{0: {15: 0.3393939393939394, 18: 0.4556308021804334, 22: 0.34428219770402063, 23: 0.46424349042778384, 26: 0.6428571428571429, 29: 0.38065071761859776, 32: 0.4122914556015171, 33: 0.48796248639172396}, 1: {0: 0.5310215235851915, 2: 0.31764164013194746, 3: 0.3, 5: 0.26009202450199637, 6: 0.5333333333333333, 8: 0.5085245890952317, 12: 0.5542414870283788, 13: 0.559659826092835}, 2: {24: 0.9561158341375346, 27: 0.39999999999999997, 31: 0.0}}",0.006247043609619141,1,0,0,11,3,4,19,0.0,0.7333333333333333,0.0,0.5789473684210527,0
