type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality:betweenness,2,0.0,6,2072,0,0,2078,1.0,1.0,1.0,1.0,1.0
unbiased:betweenness,2,0.0,6,2072,0,0,2078,1.0,1.0,1.0,1.0,1.0
centrality-cm:betweenness:louvain,2,0.0,6,2072,29,0,2078,1.0,1.0,0.17142857142857143,1.0,0.2926829268292683
centrality-cm:betweenness:leiden,2,0.0,6,2072,27,0,2078,1.0,1.0,0.18181818181818182,1.0,0.3076923076923077
centrality-cm:betweenness:label_propagation,2,0.0,3,2069,0,3,2078,0.5,0.9985521235521235,1.0,0.9971126082771896,0.6666666666666666
centrality-cm:betweenness:greedy_modularity,2,0.0,6,2072,25,0,2078,1.0,1.0,0.1935483870967742,1.0,0.3243243243243243
centrality-cm:betweenness:eigenvector,2,0.0,6,2072,36,0,2078,1.0,1.0,0.14285714285714285,1.0,0.25
centrality-cm:betweenness:infomap,2,0.0,3,2069,0,3,2078,0.5,0.9985521235521235,1.0,0.9971126082771896,0.6666666666666666
centrality-cm:betweenness:paris,2,1.0,3,2069,92,3,2078,0.5,0.9985521235521235,0.031578947368421054,0.9971126082771896,0.05940594059405941
centrality-cm:betweenness:surprise_communities,2,1.0,3,2069,352,3,2078,0.5,0.9985521235521235,0.008450704225352112,0.9971126082771896,0.016620498614958446
centrality-cm:betweenness:walktrap,2,1.0,3,2069,192,3,2078,0.5,0.9985521235521235,0.015384615384615385,0.9971126082771896,0.029850746268656723
unbiased-cm:betweenness:louvain,2,0.3333333333333333,5,2071,29,1,2078,0.8333333333333334,0.9995173745173745,0.14705882352941177,0.9990375360923965,0.25
unbiased-cm:betweenness:leiden,2,0.0,6,2072,29,0,2078,1.0,1.0,0.17142857142857143,1.0,0.2926829268292683
unbiased-cm:betweenness:label_propagation,2,0.0,3,2069,0,3,2078,0.5,0.9985521235521235,1.0,0.9971126082771896,0.6666666666666666
unbiased-cm:betweenness:greedy_modularity,2,0.0,6,2072,25,0,2078,1.0,1.0,0.1935483870967742,1.0,0.3243243243243243
unbiased-cm:betweenness:eigenvector,2,0.0,6,2072,36,0,2078,1.0,1.0,0.14285714285714285,1.0,0.25
unbiased-cm:betweenness:infomap,2,0.0,3,2069,0,3,2078,0.5,0.9985521235521235,1.0,0.9971126082771896,0.6666666666666666
unbiased-cm:betweenness:paris,2,1.0,3,2069,92,3,2078,0.5,0.9985521235521235,0.031578947368421054,0.9971126082771896,0.05940594059405941
unbiased-cm:betweenness:surprise_communities,2,0.3333333333333333,5,2071,338,1,2078,0.8333333333333334,0.9995173745173745,0.014577259475218658,0.9990375360923965,0.028653295128939826
unbiased-cm:betweenness:walktrap,2,1.0,3,2069,192,3,2078,0.5,0.9985521235521235,0.015384615384615385,0.9971126082771896,0.029850746268656723
rumor:louvain,2,0.6666666666666666,4,2070,30,2,2078,0.6666666666666666,0.999034749034749,0.11764705882352941,0.9980750721847931,0.2
rumor:leiden,2,0.6666666666666666,4,2070,29,2,2078,0.6666666666666666,0.999034749034749,0.12121212121212122,0.9980750721847931,0.20512820512820512
rumor:label_propagation,2,0.0,0,2066,3,6,2078,0.0,0.997104247104247,0.0,0.9942252165543792,0
rumor:greedy_modularity,2,1.0,3,2069,28,3,2078,0.5,0.9985521235521235,0.0967741935483871,0.9971126082771896,0.16216216216216214
rumor:eigenvector,2,1.3333333333333333,2,2068,40,4,2078,0.3333333333333333,0.9980694980694981,0.047619047619047616,0.9961501443695862,0.08333333333333333
rumor:infomap,2,0.0,0,2066,3,6,2078,0.0,0.997104247104247,0.0,0.9942252165543792,0
rumor:paris,2,1.6666666666666667,1,2067,94,5,2078,0.16666666666666666,0.9975868725868726,0.010526315789473684,0.9951876804619827,0.0198019801980198
rumor:surprise_communities,2,1.3333333333333333,2,2068,345,4,2078,0.3333333333333333,0.9980694980694981,0.005763688760806916,0.9961501443695862,0.011331444759206798
rumor:walktrap,2,1.6666666666666667,1,2067,194,5,2078,0.16666666666666666,0.9975868725868726,0.005128205128205128,0.9951876804619827,0.009950248756218905
jordan:louvain,2,0.6666666666666666,4,2070,23,2,2078,0.6666666666666666,0.999034749034749,0.14814814814814814,0.9980750721847931,0.24242424242424243
jordan:leiden,2,0.0,6,2072,16,0,2078,1.0,1.0,0.2727272727272727,1.0,0.42857142857142855
jordan:label_propagation,2,0.0,3,2069,0,3,2078,0.5,0.9985521235521235,1.0,0.9971126082771896,0.6666666666666666
jordan:greedy_modularity,2,0.6666666666666666,5,2071,14,1,2078,0.8333333333333334,0.9995173745173745,0.2631578947368421,0.9990375360923965,0.39999999999999997
jordan:eigenvector,2,0.0,6,2072,20,0,2078,1.0,1.0,0.23076923076923078,1.0,0.375
jordan:infomap,2,0.0,3,2069,0,3,2078,0.5,0.9985521235521235,1.0,0.9971126082771896,0.6666666666666666
jordan:markov_clustering,2,0.0,6,2072,189,0,2078,1.0,1.0,0.03076923076923077,1.0,0.059701492537313446
jordan:paris,2,0.0,6,2072,52,0,2078,1.0,1.0,0.10344827586206896,1.0,0.1875
