type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality:betweenness,2,3.6666666666666665,2,291,4,4,301,0.3333333333333333,0.9864406779661017,0.3333333333333333,0.973421926910299,0.3333333333333333
unbiased:betweenness,2,3.6666666666666665,1,290,5,5,301,0.16666666666666666,0.9830508474576272,0.16666666666666666,0.9667774086378738,0.16666666666666666
centrality-cm:betweenness:louvain,2,1.6666666666666667,2,291,27,4,301,0.3333333333333333,0.9864406779661017,0.06896551724137931,0.973421926910299,0.1142857142857143
centrality-cm:betweenness:leiden,2,1.6666666666666667,2,291,24,4,301,0.3333333333333333,0.9864406779661017,0.07692307692307693,0.973421926910299,0.125
centrality-cm:betweenness:label_propagation,2,1.0,3,292,63,3,301,0.5,0.9898305084745763,0.045454545454545456,0.9800664451827242,0.08333333333333334
centrality-cm:betweenness:greedy_modularity,2,1.6666666666666667,2,291,25,4,301,0.3333333333333333,0.9864406779661017,0.07407407407407407,0.973421926910299,0.12121212121212122
centrality-cm:betweenness:eigenvector,2,1.0,4,293,27,2,301,0.6666666666666666,0.9932203389830508,0.12903225806451613,0.9867109634551495,0.2162162162162162
centrality-cm:betweenness:infomap,2,1.6666666666666667,1,290,42,5,301,0.16666666666666666,0.9830508474576272,0.023255813953488372,0.9667774086378738,0.04081632653061224
centrality-cm:betweenness:surprise_communities,2,1.3333333333333333,3,292,62,3,301,0.5,0.9898305084745763,0.046153846153846156,0.9800664451827242,0.08450704225352113
centrality-cm:betweenness:walktrap,2,2.0,2,291,41,4,301,0.3333333333333333,0.9864406779661017,0.046511627906976744,0.973421926910299,0.08163265306122448
unbiased-cm:betweenness:louvain,2,2.0,2,291,26,4,301,0.3333333333333333,0.9864406779661017,0.07142857142857142,0.973421926910299,0.11764705882352941
unbiased-cm:betweenness:leiden,2,2.3333333333333335,2,291,25,4,301,0.3333333333333333,0.9864406779661017,0.07407407407407407,0.973421926910299,0.12121212121212122
unbiased-cm:betweenness:label_propagation,2,1.6666666666666667,1,290,65,5,301,0.16666666666666666,0.9830508474576272,0.015151515151515152,0.9667774086378738,0.027777777777777776
unbiased-cm:betweenness:greedy_modularity,2,2.6666666666666665,2,291,25,4,301,0.3333333333333333,0.9864406779661017,0.07407407407407407,0.973421926910299,0.12121212121212122
unbiased-cm:betweenness:eigenvector,2,0.3333333333333333,5,294,26,1,301,0.8333333333333334,0.9966101694915255,0.16129032258064516,0.9933554817275747,0.27027027027027023
unbiased-cm:betweenness:infomap,2,1.3333333333333333,2,291,41,4,301,0.3333333333333333,0.9864406779661017,0.046511627906976744,0.973421926910299,0.08163265306122448
unbiased-cm:betweenness:surprise_communities,2,1.0,3,292,61,3,301,0.5,0.9898305084745763,0.046875,0.9800664451827242,0.08571428571428572
unbiased-cm:betweenness:walktrap,2,2.0,1,290,42,5,301,0.16666666666666666,0.9830508474576272,0.023255813953488372,0.9667774086378738,0.04081632653061224
rumor:louvain,2,2.0,2,291,25,4,301,0.3333333333333333,0.9864406779661017,0.07407407407407407,0.973421926910299,0.12121212121212122
rumor:leiden,2,2.3333333333333335,1,290,26,5,301,0.16666666666666666,0.9830508474576272,0.037037037037037035,0.9667774086378738,0.06060606060606061
rumor:label_propagation,2,1.0,3,292,63,3,301,0.5,0.9898305084745763,0.045454545454545456,0.9800664451827242,0.08333333333333334
rumor:greedy_modularity,2,2.3333333333333335,1,290,26,5,301,0.16666666666666666,0.9830508474576272,0.037037037037037035,0.9667774086378738,0.06060606060606061
rumor:eigenvector,2,1.3333333333333333,3,292,28,3,301,0.5,0.9898305084745763,0.0967741935483871,0.9800664451827242,0.16216216216216214
rumor:infomap,2,2.3333333333333335,1,290,42,5,301,0.16666666666666666,0.9830508474576272,0.023255813953488372,0.9667774086378738,0.04081632653061224
rumor:surprise_communities,2,1.0,3,292,66,3,301,0.5,0.9898305084745763,0.043478260869565216,0.9800664451827242,0.08
rumor:walktrap,2,1.6666666666666667,2,291,41,4,301,0.3333333333333333,0.9864406779661017,0.046511627906976744,0.973421926910299,0.08163265306122448
jordan:louvain,2,1.6666666666666667,2,291,25,4,301,0.3333333333333333,0.9864406779661017,0.07407407407407407,0.973421926910299,0.12121212121212122
jordan:leiden,2,2.0,1,290,26,5,301,0.16666666666666666,0.9830508474576272,0.037037037037037035,0.9667774086378738,0.06060606060606061
jordan:label_propagation,2,1.0,3,292,59,3,301,0.5,0.9898305084745763,0.04838709677419355,0.9800664451827242,0.08823529411764706
jordan:greedy_modularity,2,2.6666666666666665,1,290,26,5,301,0.16666666666666666,0.9830508474576272,0.037037037037037035,0.9667774086378738,0.06060606060606061
jordan:eigenvector,2,1.0,4,293,27,2,301,0.6666666666666666,0.9932203389830508,0.12903225806451613,0.9867109634551495,0.2162162162162162
jordan:infomap,2,2.3333333333333335,1,290,42,5,301,0.16666666666666666,0.9830508474576272,0.023255813953488372,0.9667774086378738,0.04081632653061224
jordan:markov_clustering,2,19.0,0,289,22,6,301,0.0,0.9796610169491525,0.0,0.9601328903654485,0
jordan:paris,2,64.66666666666667,0,289,14,6,301,0.0,0.9796610169491525,0.0,0.9601328903654485,0
jordan:surprise_communities,2,3.3333333333333335,1,290,63,5,301,0.16666666666666666,0.9830508474576272,0.015625,0.9667774086378738,0.02857142857142857
jordan:walktrap,2,2.3333333333333335,1,290,42,5,301,0.16666666666666666,0.9830508474576272,0.023255813953488372,0.9667774086378738,0.04081632653061224
netsleuth:louvain,2,2.6666666666666665,1,290,24,5,301,0.16666666666666666,0.9830508474576272,0.04,0.9667774086378738,0.06451612903225806
netsleuth:leiden,2,2.6666666666666665,1,290,28,5,301,0.16666666666666666,0.9830508474576272,0.034482758620689655,0.9667774086378738,0.05714285714285715
netsleuth:label_propagation,2,1.3333333333333333,2,291,64,4,301,0.3333333333333333,0.9864406779661017,0.030303030303030304,0.973421926910299,0.05555555555555555
netsleuth:greedy_modularity,2,3.3333333333333335,1,290,26,5,301,0.16666666666666666,0.9830508474576272,0.037037037037037035,0.9667774086378738,0.06060606060606061
netsleuth:eigenvector,2,3.0,1,290,30,5,301,0.16666666666666666,0.9830508474576272,0.03225806451612903,0.9667774086378738,0.05405405405405405
netsleuth:infomap,2,3.0,1,290,42,5,301,0.16666666666666666,0.9830508474576272,0.023255813953488372,0.9667774086378738,0.04081632653061224
netsleuth:surprise_communities,2,2.3333333333333335,1,290,67,5,301,0.16666666666666666,0.9830508474576272,0.014705882352941176,0.9667774086378738,0.02702702702702703
netsleuth:walktrap,2,2.6666666666666665,1,290,42,5,301,0.16666666666666666,0.9830508474576272,0.023255813953488372,0.9667774086378738,0.04081632653061224
centrality-cm:betweenness:spectral,2,5.0,1,111,3,3,118,0.25,0.9736842105263158,0.25,0.9491525423728814,0.25
unbiased-cm:betweenness:spectral,2,4.5,0,110,4,4,118,0.0,0.9649122807017544,0.0,0.9322033898305084,0
rumor:spectral,2,6.5,1,111,3,3,118,0.25,0.9736842105263158,0.25,0.9491525423728814,0.25
jordan:spectral,2,26.0,1,111,3,3,118,0.25,0.9736842105263158,0.25,0.9491525423728814,0.25
netsleuth:spectral,2,5.5,0,110,4,4,118,0.0,0.9649122807017544,0.0,0.9322033898305084,0
centrality-cm:betweenness:paris,2,6.0,0,68,2,2,72,0.0,0.9714285714285714,0.0,0.9444444444444444,0
unbiased-cm:betweenness:paris,2,5.0,0,68,2,2,72,0.0,0.9714285714285714,0.0,0.9444444444444444,0
rumor:paris,2,6.0,0,68,2,2,72,0.0,0.9714285714285714,0.0,0.9444444444444444,0
netsleuth:paris,2,7.0,0,68,2,2,72,0.0,0.9714285714285714,0.0,0.9444444444444444,0
centrality:betweenness,10,11.333333333333334,14,1175,16,16,1221,0.4666666666666667,0.9865659109991604,0.4666666666666667,0.9737919737919738,0.4666666666666667
unbiased:betweenness,10,12.666666666666666,14,1175,16,16,1221,0.4666666666666667,0.9865659109991604,0.4666666666666667,0.9737919737919738,0.4666666666666667
centrality-cm:betweenness:louvain,10,12.666666666666666,7,1168,43,23,1221,0.23333333333333334,0.980688497061293,0.14,0.9623259623259623,0.17500000000000002
centrality-cm:betweenness:leiden,10,12.0,7,1168,45,23,1221,0.23333333333333334,0.980688497061293,0.1346153846153846,0.9623259623259623,0.17073170731707316
centrality-cm:betweenness:label_propagation,10,8.0,12,1173,146,18,1221,0.4,0.9848866498740554,0.0759493670886076,0.9705159705159705,0.1276595744680851
centrality-cm:betweenness:greedy_modularity,10,13.333333333333334,2,1163,43,28,1221,0.06666666666666667,0.9764903442485307,0.044444444444444446,0.9541359541359541,0.053333333333333344
centrality-cm:betweenness:eigenvector,10,12.0,11,1172,36,19,1221,0.36666666666666664,0.984047019311503,0.23404255319148937,0.9688779688779688,0.2857142857142857
