type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
netsleuth:louvain,2,2.0,2,12,5,4,22,0.3333333333333333,0.75,0.2857142857142857,0.6363636363636364,0.30769230769230765
netsleuth:leiden,2,2.5,1,8,3,3,15,0.25,0.7272727272727273,0.25,0.6,0.25
netsleuth:label_propagation,2,2.0,2,12,4,4,22,0.3333333333333333,0.75,0.3333333333333333,0.6363636363636364,0.3333333333333333
netsleuth:greedy_modularity,2,2.0,2,12,5,4,22,0.3333333333333333,0.75,0.2857142857142857,0.6363636363636364,0.30769230769230765
netsleuth:eigenvector,2,2.5,1,8,3,3,15,0.25,0.7272727272727273,0.25,0.6,0.25
netsleuth:infomap,2,0.6666666666666666,0,10,4,6,22,0.0,0.625,0.0,0.45454545454545453,0
netsleuth:markov_clustering,2,1.0,2,12,4,4,22,0.3333333333333333,0.75,0.3333333333333333,0.6363636363636364,0.3333333333333333
netsleuth:surprise_communities,2,1.5,2,9,4,2,15,0.5,0.8181818181818182,0.3333333333333333,0.7333333333333333,0.4
netsleuth:walktrap,2,2.5,1,8,3,3,15,0.25,0.7272727272727273,0.25,0.6,0.25
netsleuth:spectral,2,2.5,1,8,3,3,15,0.25,0.7272727272727273,0.25,0.6,0.25
centrality:betweenness,2,1.3333333333333333,4,31,2,2,39,0.6666666666666666,0.9393939393939394,0.6666666666666666,0.8974358974358975,0.6666666666666666
unbiased:betweenness,2,1.6666666666666667,4,31,2,2,39,0.6666666666666666,0.9393939393939394,0.6666666666666666,0.8974358974358975,0.6666666666666666
centrality-cm:betweenness:louvain,2,1.3333333333333333,4,31,5,2,39,0.6666666666666666,0.9393939393939394,0.4444444444444444,0.8974358974358975,0.5333333333333333
centrality-cm:betweenness:leiden,2,1.3333333333333333,4,31,5,2,39,0.6666666666666666,0.9393939393939394,0.4444444444444444,0.8974358974358975,0.5333333333333333
centrality-cm:betweenness:label_propagation,2,2.0,2,29,5,4,39,0.3333333333333333,0.8787878787878788,0.2857142857142857,0.7948717948717948,0.30769230769230765
centrality-cm:betweenness:greedy_modularity,2,1.3333333333333333,4,31,5,2,39,0.6666666666666666,0.9393939393939394,0.4444444444444444,0.8974358974358975,0.5333333333333333
centrality-cm:betweenness:eigenvector,2,1.3333333333333333,4,31,5,2,39,0.6666666666666666,0.9393939393939394,0.4444444444444444,0.8974358974358975,0.5333333333333333
centrality-cm:betweenness:infomap,2,1.6666666666666667,3,30,5,3,39,0.5,0.9090909090909091,0.375,0.8461538461538461,0.42857142857142855
centrality-cm:betweenness:markov_clustering,2,1.3333333333333333,4,31,5,2,39,0.6666666666666666,0.9393939393939394,0.4444444444444444,0.8974358974358975,0.5333333333333333
centrality-cm:betweenness:surprise_communities,2,0.6666666666666666,4,31,10,2,39,0.6666666666666666,0.9393939393939394,0.2857142857142857,0.8974358974358975,0.4
centrality-cm:betweenness:walktrap,2,1.3333333333333333,4,31,5,2,39,0.6666666666666666,0.9393939393939394,0.4444444444444444,0.8974358974358975,0.5333333333333333
centrality-cm:betweenness:spectral,2,2.3333333333333335,2,29,6,4,39,0.3333333333333333,0.8787878787878788,0.25,0.7948717948717948,0.28571428571428575
unbiased-cm:betweenness:louvain,2,1.0,5,32,4,1,39,0.8333333333333334,0.9696969696969697,0.5555555555555556,0.9487179487179487,0.6666666666666667
unbiased-cm:betweenness:leiden,2,1.0,5,32,4,1,39,0.8333333333333334,0.9696969696969697,0.5555555555555556,0.9487179487179487,0.6666666666666667
unbiased-cm:betweenness:label_propagation,2,1.6666666666666667,3,30,4,3,39,0.5,0.9090909090909091,0.42857142857142855,0.8461538461538461,0.4615384615384615
unbiased-cm:betweenness:greedy_modularity,2,1.0,5,32,4,1,39,0.8333333333333334,0.9696969696969697,0.5555555555555556,0.9487179487179487,0.6666666666666667
unbiased-cm:betweenness:eigenvector,2,1.0,5,32,4,1,39,0.8333333333333334,0.9696969696969697,0.5555555555555556,0.9487179487179487,0.6666666666666667
unbiased-cm:betweenness:infomap,2,1.0,5,32,3,1,39,0.8333333333333334,0.9696969696969697,0.625,0.9487179487179487,0.7142857142857143
unbiased-cm:betweenness:markov_clustering,2,1.0,5,32,4,1,39,0.8333333333333334,0.9696969696969697,0.5555555555555556,0.9487179487179487,0.6666666666666667
unbiased-cm:betweenness:surprise_communities,2,0.6666666666666666,4,31,10,2,39,0.6666666666666666,0.9393939393939394,0.2857142857142857,0.8974358974358975,0.4
unbiased-cm:betweenness:walktrap,2,1.0,5,32,4,1,39,0.8333333333333334,0.9696969696969697,0.5555555555555556,0.9487179487179487,0.6666666666666667
unbiased-cm:betweenness:spectral,2,2.0,3,30,5,3,39,0.5,0.9090909090909091,0.375,0.8461538461538461,0.42857142857142855
rumor:louvain,2,2.0,3,30,6,3,39,0.5,0.9090909090909091,0.3333333333333333,0.8461538461538461,0.4
rumor:leiden,2,1.6666666666666667,3,30,6,3,39,0.5,0.9090909090909091,0.3333333333333333,0.8461538461538461,0.4
rumor:label_propagation,2,2.0,2,29,5,4,39,0.3333333333333333,0.8787878787878788,0.2857142857142857,0.7948717948717948,0.30769230769230765
rumor:greedy_modularity,2,1.3333333333333333,4,31,5,2,39,0.6666666666666666,0.9393939393939394,0.4444444444444444,0.8974358974358975,0.5333333333333333
rumor:eigenvector,2,1.6666666666666667,3,30,6,3,39,0.5,0.9090909090909091,0.3333333333333333,0.8461538461538461,0.4
rumor:infomap,2,2.0,2,29,6,4,39,0.3333333333333333,0.8787878787878788,0.25,0.7948717948717948,0.28571428571428575
rumor:markov_clustering,2,1.6666666666666667,3,30,6,3,39,0.5,0.9090909090909091,0.3333333333333333,0.8461538461538461,0.4
rumor:surprise_communities,2,1.3333333333333333,3,30,11,3,39,0.5,0.9090909090909091,0.21428571428571427,0.8461538461538461,0.3
rumor:walktrap,2,2.0,2,29,7,4,39,0.3333333333333333,0.8787878787878788,0.2222222222222222,0.7948717948717948,0.26666666666666666
rumor:spectral,2,2.3333333333333335,2,29,6,4,39,0.3333333333333333,0.8787878787878788,0.25,0.7948717948717948,0.28571428571428575
jordan:louvain,2,2.0,2,29,7,4,39,0.3333333333333333,0.8787878787878788,0.2222222222222222,0.7948717948717948,0.26666666666666666
jordan:leiden,2,2.0,2,29,7,4,39,0.3333333333333333,0.8787878787878788,0.2222222222222222,0.7948717948717948,0.26666666666666666
jordan:label_propagation,2,10.0,3,30,4,3,39,0.5,0.9090909090909091,0.42857142857142855,0.8461538461538461,0.4615384615384615
jordan:greedy_modularity,2,1.6666666666666667,3,30,6,3,39,0.5,0.9090909090909091,0.3333333333333333,0.8461538461538461,0.4
jordan:eigenvector,2,2.0,2,29,7,4,39,0.3333333333333333,0.8787878787878788,0.2222222222222222,0.7948717948717948,0.26666666666666666
jordan:infomap,2,7.666666666666667,1,28,7,5,39,0.16666666666666666,0.8484848484848485,0.125,0.7435897435897436,0.14285714285714288
jordan:markov_clustering,2,7.666666666666667,1,28,8,5,39,0.16666666666666666,0.8484848484848485,0.1111111111111111,0.7435897435897436,0.13333333333333333
jordan:paris,2,13.0,0,27,3,6,39,0.0,0.8181818181818182,0.0,0.6923076923076923,0
jordan:surprise_communities,2,7.666666666666667,1,28,12,5,39,0.16666666666666666,0.8484848484848485,0.07692307692307693,0.7435897435897436,0.10526315789473684
jordan:walktrap,2,1.6666666666666667,3,30,6,3,39,0.5,0.9090909090909091,0.3333333333333333,0.8461538461538461,0.4
jordan:spectral,2,11.666666666666666,1,28,6,5,39,0.16666666666666666,0.8484848484848485,0.14285714285714285,0.7435897435897436,0.15384615384615383
netsleuth:louvain,2,2.3333333333333335,1,28,8,5,39,0.16666666666666666,0.8484848484848485,0.1111111111111111,0.7435897435897436,0.13333333333333333
netsleuth:leiden,2,2.3333333333333335,1,28,8,5,39,0.16666666666666666,0.8484848484848485,0.1111111111111111,0.7435897435897436,0.13333333333333333
netsleuth:label_propagation,2,3.0,1,28,6,5,39,0.16666666666666666,0.8484848484848485,0.14285714285714285,0.7435897435897436,0.15384615384615383
netsleuth:greedy_modularity,2,2.3333333333333335,2,29,7,4,39,0.3333333333333333,0.8787878787878788,0.2222222222222222,0.7948717948717948,0.26666666666666666
netsleuth:eigenvector,2,2.3333333333333335,1,28,8,5,39,0.16666666666666666,0.8484848484848485,0.1111111111111111,0.7435897435897436,0.13333333333333333
netsleuth:infomap,2,2.3333333333333335,1,28,7,5,39,0.16666666666666666,0.8484848484848485,0.125,0.7435897435897436,0.14285714285714288
netsleuth:markov_clustering,2,2.0,1,28,8,5,39,0.16666666666666666,0.8484848484848485,0.1111111111111111,0.7435897435897436,0.13333333333333333
netsleuth:surprise_communities,2,1.3333333333333333,2,29,12,4,39,0.3333333333333333,0.8787878787878788,0.14285714285714285,0.7948717948717948,0.2
netsleuth:walktrap,2,2.3333333333333335,1,28,8,5,39,0.16666666666666666,0.8484848484848485,0.1111111111111111,0.7435897435897436,0.13333333333333333
netsleuth:spectral,2,2.0,2,29,6,4,39,0.3333333333333333,0.8787878787878788,0.25,0.7948717948717948,0.28571428571428575
centrality:betweenness,7,1.6666666666666667,18,85,3,3,109,0.8571428571428571,0.9659090909090909,0.8571428571428571,0.944954128440367,0.8571428571428571
unbiased:betweenness,7,4.666666666666667,13,80,8,8,109,0.6190476190476191,0.9090909090909091,0.6190476190476191,0.8532110091743119,0.6190476190476191
centrality-cm:betweenness:louvain,7,0.0,5,72,8,16,109,0.23809523809523808,0.8181818181818182,0.38461538461538464,0.7064220183486238,0.2941176470588235
