type,experiment,sources,detected,normalized,per_community,infection_probability,time,nr_of_empty_communities,error_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,0-5,"0,82","102,2,27,30,4,43,49,7","OrderedDict([('27', 1.0), ('4', 1.0), ('102', 1.0), ('30', 1.0), ('43', 1.0), ('7', 1.0), ('2', 1.0), ('64', 1.0), ('96', 0.7218926934483687), ('90', 0.7142857142857144), ('112', 0.6455468679787901), ('20', 0.6001617686708006), ('70', 0.5373416015098409), ('60', 0.5263157894736841), ('6', 0.5263157894736841), ('72', 0.5), ('5', 0.5), ('10', 0.5), ('40', 0.5), ('84', 0.5), ('98', 0.5), ('52', 0.5), ('107', 0.5), ('81', 0.5), ('19', 0.38461538461538464), ('35', 0.38461538461538464), ('29', 0.3846153846153846), ('94', 0.3846153846153846), ('63', 0.3347712770737844), ('12', 0.32400000000000007), ('26', 0.32400000000000007), ('0', 0.3035714285714286), ('23', 0.3035714285714286), ('34', 0.27999999999999997), ('75', 0.26804170036847297), ('100', 0.26315789473684215), ('13', 0.26315789473684215), ('69', 0.23214285714285715), ('28', 0.23214285714285715), ('62', 0.1236631616787993), ('17', 0.11521524220364879), ('56', 0.08623168868518016), ('1', 0.08115394985171204), ('61', 0.064), ('113', 0.06385368922440908), ('87', 0.061382223420508655), ('103', 0.0412510110541925), ('42', 0.024000000000000004), ('31', 0.024000000000000004), ('92', 0.0), ('97', 0.0), ('93', 0.0), ('41', 0.0), ('16', 0.0), ('24', 0.0), ('50', 0.0), ('9', 0.0), ('3', 0.0), ('74', 0.0), ('55', 0.0), ('44', 0.0), ('101', 0.0), ('79', 0.0), ('82', 0.0), ('14', 0.0), ('36', 0.0), ('78', 0.0), ('77', 0.0), ('21', 0.0), ('22', 0.0), ('68', 0.0), ('8', 0.0), ('108', 0.0), ('111', 0.0), ('106', 0.0), ('47', 0.0), ('49', 0.0), ('114', 0.0), ('88', 0.0), ('53', 0.0), ('110', 0.0), ('83', 0.0), ('67', 0.0), ('73', 0.0)])","{0: {'1': 0.020476190476190478, '103': 0.010408163265306124, '27': 0.2523129251700681, '97': 0.0, '17': 0.029070294784580508, '92': 0.0, '96': 0.18214285714285716, '113': 0.01611111111111111, '20': 0.15142857142857144, '87': 0.015487528344671202, '62': 0.03120181405895692, '70': 0.13557823129251703, '75': 0.06763038548752834, '56': 0.02175736961451247, '63': 0.0844671201814059, '112': 0.1628798185941043}, 1: {'0': 0.07727272727272727, '4': 0.2545454545454545, '9': 0.0, '16': 0.0, '41': 0.0, '23': 0.07727272727272727, '90': 0.18181818181818182, '93': 0.0, '28': 0.05909090909090909, '69': 0.05909090909090909, '50': 0.0, '24': 0.0}, 2: {'3': 0.027272727272727268, '72': 0.02727272727272727, '74': 0.027272727272727268, '5': 0.02727272727272727, '102': 0.027272727272727275, '81': 0.02727272727272727, '40': 0.02727272727272727, '52': 0.02727272727272727, '84': 0.02727272727272727, '98': 0.02727272727272727, '10': 0.02727272727272727, '107': 0.02727272727272727}, 3: {'35': 0.046296296296296294, '101': 0.0, '55': 0.0, '82': 0.0, '19': 0.046296296296296294, '44': 0.0, '79': 0.0, '94': 0.04629629629629629, '29': 0.04629629629629629, '30': 0.12037037037037035}, 4: {'14': 0.0, '26': 0.09642857142857143, '12': 0.09642857142857143, '34': 0.08333333333333331, '36': 0.0, '43': 0.29761904761904756, '42': 0.007142857142857143, '61': 0.019047619047619046, '31': 0.007142857142857143}, 5: {'108': 0.015306122448979588, '7': 0.020408163265306117, '68': 0.015306122448979588, '8': 0.015306122448979588, '77': 0.015306122448979588, '78': 0.015306122448979588, '111': 0.015306122448979588, '21': 0.015306122448979588, '22': 0.015306122448979588}, 6: {'2': 0.054761904761904755, '64': 0.054761904761904755, '100': 0.02142857142857143, '6': 0.033333333333333326, '13': 0.02142857142857143, '47': 0.009523809523809525, '60': 0.033333333333333326, '106': 0.009523809523809525}, 7: {'73': 0.0, '110': 0.0, '114': 0.0, '67': 0.0, '53': 0.0, '49': 0.0, '83': 0.0, '88': 0.0}}",{},0.010415077209472656,6,2,0,80,8,2,84,0.0,0.975609756097561,0.0,0.9523809523809523,0
centrality-cm:betweenness:eigenvector,0-5,"0,82","102,110,2,27,35,9","OrderedDict([('9', 1.0), ('27', 1.0), ('102', 1.0), ('35', 1.0), ('110', 1.0), ('2', 1.0), ('13', 1.0), ('22', 0.8362211468897527), ('23', 0.8360991529704367), ('107', 0.819491687368622), ('8', 0.7729742131932318), ('52', 0.731396904261418), ('78', 0.7102192160155115), ('56', 0.6622500000000001), ('101', 0.6523297491039426), ('29', 0.5955794504181601), ('17', 0.531875), ('70', 0.5249375000000003), ('98', 0.5158035543665201), ('62', 0.4905312500000002), ('88', 0.47222222222222227), ('83', 0.47222222222222227), ('111', 0.46269283357019153), ('7', 0.4622919964067245), ('5', 0.4397859736288936), ('108', 0.43650252507248694), ('43', 0.42350000000000015), ('4', 0.3985555026963248), ('20', 0.38343750000000004), ('26', 0.35606250000000006), ('64', 0.3445219185048932), ('94', 0.33930704898446834), ('12', 0.31793750000000004), ('30', 0.30884109916367974), ('90', 0.22815016169595453), ('68', 0.2255653165094068), ('55', 0.21863799283154117), ('79', 0.21863799283154117), ('34', 0.20250896057347664), ('96', 0.18878125), ('112', 0.16877508121536403), ('69', 0.16666666666666666), ('10', 0.1437798585897191), ('3', 0.13697687750812157), ('72', 0.13613605962163194), ('40', 0.13399579591056757), ('41', 0.13210436342146992), ('19', 0.12724014336917563), ('87', 0.12665625000000003), ('74', 0.12654309191668264), ('84', 0.12570227403019302), ('0', 0.11526740217333535), ('81', 0.11247850181540225), ('28', 0.1045208469172194), ('97', 0.09042614179247088), ('36', 0.07906250000000001), ('75', 0.07651442767055228), ('61', 0.0716875), ('50', 0.0589896051674723), ('24', 0.05555555555555555), ('47', 0.04425052164283032), ('113', 0.040781250000000005), ('6', 0.037929018550997416), ('31', 0.033452807646356025), ('77', 0.020689851848683178), ('21', 0.016896949993583436), ('42', 0.016726403823178013), ('16', 0.0), ('93', 0.0), ('14', 0.0), ('63', 0.0), ('106', 0.0), ('103', 0.0), ('44', 0.0), ('1', 0.0), ('82', 0.0), ('92', 0.0), ('49', 0.0), ('114', 0.0), ('53', 0.0), ('67', 0.0), ('73', 0.0), ('60', 0.0), ('100', 0.0)])","{0: {'0': 0.014471568531718909, '4': 0.05003776577084847, '9': 0.12554779806659508, '16': 0.0, '41': 0.016585411942554796, '23': 0.10497040762078358, '90': 0.028643750429464716, '93': 0.0, '64': 0.04325396825396826, '6': 0.004761904761904762, '47': 0.005555555555555556, '108': 0.054801930873359446, '28': 0.013122362182512557, '7': 0.05803974221267455, '68': 0.02831922880795061, '8': 0.09704521042866908, '77': 0.0025975653419262443, '78': 0.08916645871533091, '111': 0.05809006643593109, '21': 0.0021213748657357683, '22': 0.10498572368873121, '50': 0.007406015037593986}, 1: {'27': 0.2116402116402116, '14': 0.0, '106': 0.0, '26': 0.07535714285714286, '12': 0.06728835978835979, '36': 0.01673280423280423, '43': 0.08962962962962964, '17': 0.11256613756613755, '96': 0.0399537037037037, '113': 0.00863095238095238, '20': 0.08115079365079364, '87': 0.026805555555555555, '62': 0.10381613756613758, '61': 0.01517195767195767, '70': 0.11109788359788363, '56': 0.14015873015873015, '63': 0.0}, 2: {'103': 0.0, '3': 0.020838420838420843, '72': 0.02071050642479214, '74': 0.019251119251119258, '5': 0.06690505261933834, '102': 0.15213093784522355, '81': 0.017111459968602825, '40': 0.020384906099191816, '52': 0.1112680969823827, '84': 0.019123204837490554, '97': 0.01375661375661376, '98': 0.07846967846967846, '10': 0.021873364730507588, '107': 0.12467003895575321, '75': 0.011640211640211642, '112': 0.025675911390197103}, 3: {'1': 0.0, '35': 0.2189952904238619, '101': 0.14285714285714288, '55': 0.047880690737833596, '82': 0.0, '34': 0.04434850863422292, '92': 0.0, '42': 0.003663003663003663, '19': 0.027864992150706442, '31': 0.007326007326007326, '44': 0.0, '79': 0.047880690737833596, '94': 0.07430664573521718, '29': 0.130429094714809, '30': 0.06763474620617478}, 4: {'69': 0.027777777777777776, '73': 0.0, '24': 0.009259259259259259, '110': 0.16666666666666666, '114': 0.0, '67': 0.0, '53': 0.0, '49': 0.0, '83': 0.0787037037037037, '88': 0.0787037037037037}, 5: {'2': 0.16666666666666666, '100': 0.0, '13': 0.16666666666666666, '60': 0.0}}",{},0.013265371322631836,4,3,0,80,6,2,84,0.0,0.975609756097561,0.0,0.9523809523809523,0
centrality-cm:betweenness:louvain,0-5,"0,82","102,2,30,4,49,61,7,70","OrderedDict([('61', 1.0), ('4', 1.0), ('102', 1.0), ('70', 1.0), ('30', 1.0), ('7', 1.0), ('2', 1.0), ('64', 1.0), ('43', 0.9600679694137637), ('27', 0.9275929549902152), ('42', 0.8980458793542904), ('92', 0.7434154630416312), ('90', 0.7142857142857144), ('63', 0.6584536958368734), ('60', 0.5263157894736841), ('6', 0.5263157894736841), ('72', 0.5), ('5', 0.5), ('10', 0.5), ('40', 0.5), ('84', 0.5), ('98', 0.5), ('52', 0.5), ('107', 0.5), ('81', 0.5), ('19', 0.38461538461538464), ('35', 0.38461538461538464), ('29', 0.3846153846153846), ('94', 0.3846153846153846), ('26', 0.3755310110450298), ('112', 0.3483432455395072), ('0', 0.3035714285714286), ('23', 0.3035714285714286), ('34', 0.27187765505522515), ('100', 0.26315789473684215), ('13', 0.26315789473684215), ('69', 0.23214285714285715), ('28', 0.23214285714285715), ('62', 0.1761252446183953), ('96', 0.17221135029354204), ('12', 0.13763806287170774), ('17', 0.12720156555772993), ('20', 0.111545988258317), ('56', 0.08806262230919767), ('113', 0.05870841487279842), ('87', 0.04500978473581211), ('31', 0.010195412064570943), ('103', 0.005870841487279843), ('14', 0.0), ('36', 0.0), ('75', 0.0), ('97', 0.0), ('93', 0.0), ('41', 0.0), ('16', 0.0), ('24', 0.0), ('50', 0.0), ('9', 0.0), ('3', 0.0), ('74', 0.0), ('1', 0.0), ('55', 0.0), ('44', 0.0), ('101', 0.0), ('79', 0.0), ('82', 0.0), ('78', 0.0), ('77', 0.0), ('21', 0.0), ('22', 0.0), ('68', 0.0), ('8', 0.0), ('108', 0.0), ('111', 0.0), ('106', 0.0), ('47', 0.0), ('49', 0.0), ('114', 0.0), ('88', 0.0), ('53', 0.0), ('110', 0.0), ('83', 0.0), ('67', 0.0), ('73', 0.0)])","{0: {'14': 0.0, '26': 0.09444444444444446, '97': 0.0, '12': 0.03461538461538462, '34': 0.06837606837606837, '36': 0.0, '43': 0.24145299145299143, '92': 0.18696581196581194, '42': 0.2258547008547008, '61': 0.2514957264957265, '31': 0.002564102564102564, '75': 0.0, '63': 0.1655982905982906, '112': 0.0876068376068376}, 1: {'0': 0.07727272727272727, '4': 0.2545454545454545, '9': 0.0, '16': 0.0, '41': 0.0, '23': 0.07727272727272727, '90': 0.18181818181818182, '93': 0.0, '28': 0.05909090909090909, '69': 0.05909090909090909, '50': 0.0, '24': 0.0}, 2: {'3': 0.027272727272727268, '72': 0.02727272727272727, '74': 0.027272727272727268, '5': 0.02727272727272727, '102': 0.027272727272727275, '81': 0.02727272727272727, '40': 0.02727272727272727, '52': 0.02727272727272727, '84': 0.02727272727272727, '98': 0.02727272727272727, '10': 0.02727272727272727, '107': 0.02727272727272727}, 3: {'1': 0.02, '103': 0.021111111111111112, '27': 0.19555555555555557, '17': 0.04407407407407408, '96': 0.052592592592592594, '113': 0.03111111111111111, '20': 0.04111111111111111, '87': 0.028518518518518516, '62': 0.053333333333333344, '70': 0.20925925925925928, '56': 0.036666666666666674}, 4: {'35': 0.046296296296296294, '101': 0.0, '55': 0.0, '82': 0.0, '19': 0.046296296296296294, '44': 0.0, '79': 0.0, '94': 0.04629629629629629, '29': 0.04629629629629629, '30': 0.12037037037037035}, 5: {'108': 0.015306122448979588, '7': 0.020408163265306117, '68': 0.015306122448979588, '8': 0.015306122448979588, '77': 0.015306122448979588, '78': 0.015306122448979588, '111': 0.015306122448979588, '21': 0.015306122448979588, '22': 0.015306122448979588}, 6: {'2': 0.054761904761904755, '64': 0.054761904761904755, '100': 0.02142857142857143, '6': 0.033333333333333326, '13': 0.02142857142857143, '47': 0.009523809523809525, '60': 0.033333333333333326, '106': 0.009523809523809525}, 7: {'73': 0.0, '110': 0.0, '114': 0.0, '67': 0.0, '53': 0.0, '49': 0.0, '83': 0.0, '88': 0.0}}",{},0.010881900787353516,6,2,0,80,8,2,84,0.0,0.975609756097561,0.0,0.9523809523809523,0
centrality-cm:betweenness:greedy_modularity,0-5,"0,82","102,106,23,42,49,70","OrderedDict([('42', 1.0), ('23', 1.0), ('70', 1.0), ('102', 1.0), ('106', 1.0), ('43', 0.943116406505291), ('35', 0.933464042430184), ('34', 0.8095669004348591), ('44', 0.7740240806374583), ('9', 0.751457840819543), ('8', 0.7127659574468086), ('108', 0.7127659574468086), ('19', 0.6128999824045447), ('92', 0.6059372093607822), ('29', 0.5893220722419124), ('79', 0.5703441168338236), ('112', 0.5690370258653195), ('69', 0.5335018963337547), ('74', 0.5), ('72', 0.5), ('5', 0.5), ('10', 0.5), ('40', 0.5), ('84', 0.5), ('98', 0.5), ('52', 0.5), ('107', 0.5), ('81', 0.5), ('61', 0.4806575673026168), ('22', 0.4634357762017336), ('63', 0.45554633888847), ('113', 0.4431099873577749), ('27', 0.42161820480404544), ('87', 0.4064475347661187), ('30', 0.38767815398537064), ('94', 0.36887615313073424), ('24', 0.2920353982300885), ('26', 0.2725284669331121), ('111', 0.25579196217494093), ('4', 0.2484633569739953), ('41', 0.2484633569739953), ('2', 0.22916666666666666), ('64', 0.22916666666666666), ('28', 0.22882427307206066), ('78', 0.19314420803782506), ('31', 0.16796118945278135), ('6', 0.16666666666666666), ('36', 0.15094387049744865), ('12', 0.13603800618354578), ('60', 0.13194444444444445), ('55', 0.13020636955483497), ('17', 0.12262958280657396), ('103', 0.11314791403286978), ('62', 0.10809102402022758), ('20', 0.10366624525916562), ('96', 0.09734513274336283), ('13', 0.09722222222222222), ('100', 0.0625), ('1', 0.03603034134007586), ('7', 0.03546099290780142), ('47', 0.02777777777777778), ('77', 0.02600472813238771), ('21', 0.02600472813238771), ('68', 0.02600472813238771), ('75', 0.018475228112510372), ('82', 0.0), ('97', 0.0), ('14', 0.0), ('101', 0.0), ('0', 0.0), ('93', 0.0), ('16', 0.0), ('50', 0.0), ('90', 0.0), ('3', 0.0), ('56', 0.0), ('49', 0.0), ('114', 0.0), ('88', 0.0), ('53', 0.0), ('110', 0.0), ('83', 0.0), ('67', 0.0), ('73', 0.0)])","{0: {'55': 0.016249451032059724, '44': 0.09659639877031181, '14': 0.0, '43': 0.11769872639437853, '75': 0.00230566534914361, '63': 0.05685111989459816, '112': 0.07101449275362319, '35': 0.11649413388543825, '79': 0.07117761465587552, '82': 0.0, '92': 0.07561954953259299, '31': 0.02096116443942531, '61': 0.05998494259363825, '34': 0.1010320597277119, '101': 0.0, '30': 0.04838132881611142, '36': 0.018837442750486225, '19': 0.07648848735805257, '29': 0.0735460191981931, '97': 0.0, '12': 0.01697722567287785, '94': 0.04603488299140473, '42': 0.12479766610201391, '26': 0.034010916619612266}, 1: {'78': 0.027789115646258505, '0': 0.0, '93': 0.0, '41': 0.035748299319727894, '23': 0.14387755102040817, '16': 0.0, '8': 0.10255102040816327, '7': 0.005102040816326531, '108': 0.10255102040816327, '77': 0.003741496598639456, '21': 0.003741496598639456, '4': 0.035748299319727894, '22': 0.06667800453514738, '9': 0.10811791383219956, '68': 0.003741496598639456, '111': 0.03680272108843538}, 2: {'90': 0.0, '27': 0.12216117216117214, '69': 0.15457875457875458, '20': 0.03003663003663004, '28': 0.0663003663003663, '113': 0.12838827838827838, '87': 0.11776556776556775, '62': 0.031318681318681325, '24': 0.08461538461538462, '1': 0.01043956043956044, '17': 0.03553113553113554, '50': 0.0, '96': 0.028205128205128206, '103': 0.032783882783882785, '70': 0.28974358974358977}, 3: {'3': 0.027272727272727268, '74': 0.02727272727272727, '72': 0.02727272727272727, '5': 0.02727272727272727, '10': 0.02727272727272727, '40': 0.02727272727272727, '84': 0.02727272727272727, '102': 0.027272727272727275, '98': 0.02727272727272727, '52': 0.02727272727272727, '107': 0.02727272727272727, '81': 0.02727272727272727}, 4: {'60': 0.033928571428571426, '100': 0.01607142857142857, '2': 0.05892857142857142, '64': 0.05892857142857142, '13': 0.024999999999999998, '56': 0.0, '6': 0.04285714285714285, '106': 0.2571428571428571, '47': 0.007142857142857143}, 5: {'49': 0.0, '73': 0.0, '114': 0.0, '88': 0.0, '53': 0.0, '110': 0.0, '67': 0.0, '83': 0.0}}",{},0.021485567092895508,4,3,0,80,6,2,84,0.0,0.975609756097561,0.0,0.9523809523809523,0
centrality-cm:betweenness:label_propagation,0-5,"0,82","102,2,23,27,30,69","OrderedDict([('27', 1.0), ('23', 1.0), ('69', 1.0), ('102', 1.0), ('30', 1.0), ('2', 1.0), ('64', 1.0), ('9', 0.7514578408195429), ('43', 0.7416385032124042), ('70', 0.7355127060128811), ('8', 0.7127659574468086), ('108', 0.7127659574468086), ('110', 0.6470588235294119), ('61', 0.5675352420221031), ('20', 0.5393416243395195), ('60', 0.5263157894736841), ('6', 0.5263157894736841), ('72', 0.5), ('5', 0.5), ('10', 0.5), ('40', 0.5), ('84', 0.5), ('98', 0.5), ('52', 0.5), ('107', 0.5), ('81', 0.5), ('24', 0.4901960784313726), ('22', 0.4634357762017336), ('88', 0.4607843137254902), ('83', 0.4607843137254902), ('26', 0.4403138044859563), ('63', 0.4358404381302351), ('96', 0.4254852048424092), ('62', 0.3860825979360352), ('112', 0.38550031278155267), ('19', 0.38461538461538464), ('29', 0.38461538461538464), ('35', 0.38461538461538464), ('94', 0.38461538461538464), ('17', 0.37276872656597326), ('12', 0.3108615853106766), ('100', 0.26315789473684215), ('13', 0.26315789473684215), ('42', 0.25652808542280586), ('111', 0.25579196217494093), ('4', 0.2484633569739953), ('41', 0.2484633569739953), ('92', 0.19894087051630593), ('78', 0.1931442080378251), ('75', 0.1140177282223385), ('34', 0.11054762345035431), ('36', 0.08831455988291347), ('56', 0.06220221819168986), ('1', 0.051721085411002815), ('87', 0.04720050674545876), ('113', 0.041440604947063184), ('103', 0.03555086929665461), ('7', 0.03546099290780142), ('77', 0.02600472813238771), ('21', 0.02600472813238771), ('68', 0.02600472813238771), ('31', 0.0092772188802027), ('97', 0.0), ('14', 0.0), ('0', 0.0), ('93', 0.0), ('16', 0.0), ('49', 0.0), ('73', 0.0), ('114', 0.0), ('28', 0.0), ('50', 0.0), ('67', 0.0), ('53', 0.0), ('90', 0.0), ('3', 0.0), ('74', 0.0), ('55', 0.0), ('44', 0.0), ('101', 0.0), ('82', 0.0), ('79', 0.0), ('106', 0.0), ('47', 0.0)])","{0: {'43': 0.13551227858293075, '17': 0.06811234759604325, '92': 0.03635050034506556, '27': 0.18272012307338395, '36': 0.016136847250977686, '87': 0.008624482401656313, '62': 0.07054505981136416, '1': 0.009450483091787438, '97': 0.0, '12': 0.05680066712675407, '96': 0.07774470899470899, '70': 0.1343929721647113, '42': 0.046872843340234636, '14': 0.0, '113': 0.007572032436162869, '75': 0.020833333333333332, '63': 0.07963681849551414, '56': 0.011365596963423054, '112': 0.0704386645962733, '103': 0.006495859213250517, '31': 0.0016951345755693583, '34': 0.020199275362318844, '61': 0.10370010927076144, '20': 0.09854856797791581, '26': 0.08045419254658386}, 1: {'78': 0.027789115646258508, '77': 0.003741496598639456, '0': 0.0, '21': 0.003741496598639456, '4': 0.035748299319727894, '93': 0.0, '41': 0.035748299319727894, '23': 0.14387755102040817, '16': 0.0, '22': 0.06667800453514738, '9': 0.10811791383219954, '68': 0.003741496598639456, '8': 0.10255102040816327, '7': 0.005102040816326531, '108': 0.10255102040816327, '111': 0.03680272108843538}, 2: {'69': 0.25757575757575757, '49': 0.0, '114': 0.0, '88': 0.11868686868686869, '28': 0.0, '53': 0.0, '24': 0.12626262626262627, '50': 0.0, '110': 0.16666666666666669, '83': 0.11868686868686869, '67': 0.0, '73': 0.0, '90': 0.0}, 3: {'3': 0.027272727272727268, '74': 0.027272727272727268, '72': 0.02727272727272727, '5': 0.02727272727272727, '10': 0.02727272727272727, '102': 0.027272727272727275, '40': 0.02727272727272727, '84': 0.02727272727272727, '98': 0.02727272727272727, '52': 0.02727272727272727, '107': 0.02727272727272727, '81': 0.02727272727272727}, 4: {'55': 0.0, '44': 0.0, '101': 0.0, '30': 0.12037037037037035, '79': 0.0, '19': 0.046296296296296294, '29': 0.046296296296296294, '35': 0.046296296296296294, '82': 0.0, '94': 0.046296296296296294}, 5: {'60': 0.033333333333333326, '100': 0.02142857142857143, '2': 0.054761904761904755, '64': 0.054761904761904755, '13': 0.02142857142857143, '6': 0.033333333333333326, '106': 0.009523809523809525, '47': 0.009523809523809525}}",{},0.00998997688293457,4,2,0,80,6,2,84,0.0,0.975609756097561,0.0,0.9523809523809523,0
centrality-cm:betweenness:infomap,0-5,"0,82","0,102,106,30,43,49,69,7","OrderedDict([('106', 1.0), ('102', 1.0), ('30', 1.0), ('0', 1.0), ('43', 1.0), ('7', 1.0), ('56', 0.770480006310585), ('1', 0.5833333333333334), ('72', 0.5), ('5', 0.5), ('10', 0.5), ('40', 0.5), ('84', 0.5), ('98', 0.5), ('52', 0.5), ('107', 0.5), ('81', 0.5), ('63', 0.4874926885026799), ('64', 0.4778069080068523), ('19', 0.38461538461538464), ('35', 0.38461538461538464), ('29', 0.3846153846153846), ('94', 0.3846153846153846), ('12', 0.32400000000000007), ('26', 0.32400000000000007), ('96', 0.30904799963882823), ('27', 0.299118130479282), ('34', 0.27999999999999997), ('112', 0.2525793027696622), ('92', 0.18124228230838418), ('20', 0.1636688907509745), ('75', 0.094991171630547), ('87', 0.09461908525292695), ('70', 0.09401568517721977), ('2', 0.07364172348425654), ('62', 0.0717568579240259), ('6', 0.06693747113229855), ('61', 0.064), ('17', 0.039409280628042116), ('60', 0.03868315406211661), ('13', 0.03495856942213994), ('42', 0.024000000000000004), ('31', 0.024000000000000004), ('113', 0.013656810346581096), ('100', 0.006704252351957992), ('47', 0.0029796677119813303), ('97', 0.0), ('3', 0.0), ('74', 0.0), ('55', 0.0), ('44', 0.0), ('101', 0.0), ('79', 0.0), ('82', 0.0), ('4', 0.0), ('93', 0.0), ('41', 0.0), ('23', 0.0), ('16', 0.0), ('9', 0.0), ('103', 0.0), ('14', 0.0), ('36', 0.0), ('78', 0.0), ('77', 0.0), ('21', 0.0), ('22', 0.0), ('68', 0.0), ('8', 0.0), ('108', 0.0), ('111', 0.0), ('49', 0.0), ('114', 0.0), ('88', 0.0), ('53', 0.0), ('110', 0.0), ('83', 0.0), ('67', 0.0), ('73', 0.0), ('69', 0.0), ('28', 0.0), ('24', 0.0), ('50', 0.0), ('90', 0.0)])","{0: {'27': 0.0956061002489574, '2': 0.023537851037851044, '64': 0.15271978021978022, '100': 0.002142857142857143, '6': 0.0213949938949939, '13': 0.011173687423687427, '47': 0.0009523809523809525, '60': 0.012364163614163618, '106': 0.3196265639122782, '97': 0.0, '17': 0.012596252953395812, '92': 0.057929847929847934, '96': 0.09877995020852168, '113': 0.004365079365079365, '20': 0.05231292517006803, '87': 0.030242773099915958, '62': 0.022935397935397936, '70': 0.030049910407053265, '75': 0.030361701790273223, '56': 0.24626587698016272, '63': 0.15581561295847016, '112': 0.0807310546596261}, 1: {'3': 0.027272727272727268, '72': 0.02727272727272727, '74': 0.027272727272727268, '5': 0.02727272727272727, '102': 0.027272727272727275, '81': 0.02727272727272727, '40': 0.02727272727272727, '52': 0.02727272727272727, '84': 0.02727272727272727, '98': 0.02727272727272727, '10': 0.02727272727272727, '107': 0.02727272727272727}, 2: {'35': 0.046296296296296294, '101': 0.0, '55': 0.0, '82': 0.0, '19': 0.046296296296296294, '44': 0.0, '79': 0.0, '94': 0.04629629629629629, '29': 0.04629629629629629, '30': 0.12037037037037035}, 3: {'0': 0.42857142857142855, '1': 0.25, '4': 0.0, '9': 0.0, '16': 0.0, '41': 0.0, '23': 0.0, '93': 0.0, '103': 0.0}, 4: {'14': 0.0, '26': 0.09642857142857143, '12': 0.09642857142857143, '34': 0.08333333333333331, '36': 0.0, '43': 0.29761904761904756, '42': 0.007142857142857143, '61': 0.019047619047619046, '31': 0.007142857142857143}, 5: {'108': 0.015306122448979588, '7': 0.020408163265306117, '68': 0.015306122448979588, '8': 0.015306122448979588, '77': 0.015306122448979588, '78': 0.015306122448979588, '111': 0.015306122448979588, '21': 0.015306122448979588, '22': 0.015306122448979588}, 6: {'73': 0.0, '110': 0.0, '114': 0.0, '67': 0.0, '53': 0.0, '49': 0.0, '83': 0.0, '88': 0.0}, 7: {'90': 0.0, '28': 0.0, '69': 0.0, '50': 0.0, '24': 0.0}}",{},0.05018281936645508,6,1,1,81,7,1,84,0.5,0.9878048780487805,0.125,0.9761904761904762,0.2
