type,experiment,sources,detected,normalized,per_community,infection_probability,time,nr_of_empty_communities,error_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
ensemble-centralities:leiden,3-30,"0,32,33","0,32",{},"{0: {0: 1.0, 1: 0.3333333333333333, 2: 0.3333333333333333, 7: 0.3333333333333333, 10: 0.0}, 1: {33: 0.0, 32: 0.0}}",{},0.0006139278411865234,0,0,2,3,0,1,7,0.6666666666666666,0.75,1.0,0.7142857142857143,0.8
ensemble-centralities:eigenvector,3-30,"0,32,33","0,32",{},"{0: {0: 1.0, 1: 0.24999999999999997, 7: 0.24999999999999997, 10: 0.0}, 1: {2: 0.0, 33: 0.0, 32: 1.0}}",{},0.0005846023559570312,0,0,2,3,0,1,7,0.6666666666666666,0.75,1.0,0.7142857142857143,0.8
ensemble-centralities:louvain,3-30,"0,32,33","0,32",{},"{0: {0: 1.0, 1: 0.3333333333333333, 2: 0.3333333333333333, 7: 0.3333333333333333, 10: 0.0}, 1: {33: 0.0, 32: 0.0}}",{},0.0006005764007568359,0,0,2,3,0,1,7,0.6666666666666666,0.75,1.0,0.7142857142857143,0.8
ensemble-centralities:greedy_modularity,3-30,"0,32,33","0,32",{},"{0: {0: 1.0, 1: 0.3333333333333333, 2: 0.3333333333333333, 7: 0.3333333333333333, 10: 0.0}, 1: {32: 0.0, 33: 0.0}}",{},0.0006184577941894531,0,0,2,3,0,1,7,0.6666666666666666,0.75,1.0,0.7142857142857143,0.8
ensemble-centralities:label_propagation,3-30,"0,32,33","0,32",{},"{0: {0: 1.0, 1: 0.3333333333333333, 2: 0.3333333333333333, 7: 0.3333333333333333, 10: 0.0}, 1: {32: 0.0, 33: 0.0}}",{},0.0006055831909179688,0,0,2,3,0,1,7,0.6666666666666666,0.75,1.0,0.7142857142857143,0.8
ensemble-centralities:infomap,3-30,"0,32,33","0,32",{},"{0: {0: 1.0, 1: 0.3333333333333333, 2: 0.3333333333333333, 7: 0.3333333333333333, 10: 0.0}, 1: {33: 0.0, 32: 0.0}}",{},0.0006110668182373047,0,0,2,3,0,1,7,0.6666666666666666,0.75,1.0,0.7142857142857143,0.8
ensemble-centralities:surprise_communities,3-30,"0,32,33","0,10,32",{},"{0: {0: 0.0, 1: 0.0, 2: 0.0, 7: 0.0}, 1: {33: 0.0, 32: 0.0}, 2: {10: 0.0}}",{},0.0006313323974609375,1,4,2,3,1,1,7,0.6666666666666666,0.75,0.6666666666666666,0.7142857142857143,0.6666666666666666
ensemble-centralities:walktrap,3-30,"0,32,33","0,32",{},"{0: {0: 1.0, 1: 0.3333333333333333, 2: 0.3333333333333333, 7: 0.3333333333333333, 10: 0.0}, 1: {33: 0.0, 32: 0.0}}",{},0.0005996227264404297,0,0,2,3,0,1,7,0.6666666666666666,0.75,1.0,0.7142857142857143,0.8
ensemble-centralities:df_node_similarity,3-30,"0,32,33","0,32",{},"{0: {0: 1.0, 1: 0.3333333333333333, 2: 0.3333333333333333, 7: 0.3333333333333333, 10: 0.0}, 1: {32: 0.0, 33: 0.0}}",{},0.0006222724914550781,0,0,2,3,0,1,7,0.6666666666666666,0.75,1.0,0.7142857142857143,0.8
centrality-cm:betweenness:leiden,6-5,"0,2,32,33","0,24,33","OrderedDict([(33, 1.0), (0, 1.0), (24, 1.0), (32, 0.5294117647058824), (29, 0.11764705882352941), (2, 0.11111111111111112), (15, 0.0), (18, 0.0), (22, 0.0), (23, 0.0), (26, 0.0), (3, 0.0), (5, 0.0), (6, 0.0), (8, 0.0), (13, 0.0), (27, 0.0), (31, 0.0)])","{0: {15: 0.0, 18: 0.0, 22: 0.0, 23: 0.0, 26: 0.0, 29: 0.047619047619047616, 32: 0.21428571428571427, 33: 0.40476190476190477}, 1: {0: 0.6, 2: 0.06666666666666667, 3: 0.0, 5: 0.0, 6: 0.0, 8: 0.0, 13: 0.0}, 2: {24: 1.0, 27: 0.0, 31: 0.0}}",{},0.0015797615051269531,1,0,2,12,1,2,18,0.5,0.8571428571428571,0.6666666666666666,0.7777777777777778,0.5714285714285715
