type,experiment,sources,detected,normalized,per_community,infection_probability,time,nr_of_empty_communities,error_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,0-5,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.56), (29, 0.04), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (19, 0.0), (21, 0.0), (27, 0.0), (3, 0.0), (7, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0, 32: 0.25, 33: 0.4464285714285714}, 1: {0: 0.8333333333333333, 4: 0.0, 10: 0.0, 19: 0.0, 21: 0.0}, 2: {2: 0.6666666666666666, 3: 0.0, 7: 0.0, 27: 0.0}}",{},0.003916501998901367,1,0,2,16,1,0,18,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:eigenvector,0-5,"0,33","0,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.3414634146341463), (29, 0.024390243902439025), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (27, 0.0), (30, 0.0), (31, 0.0), (2, 0.0), (3, 0.0), (4, 0.0), (7, 0.0), (10, 0.0), (19, 0.0), (21, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 27: 0.0, 29: 0.013888888888888888, 30: 0.0, 31: 0.0, 32: 0.19444444444444442, 33: 0.5694444444444444}, 1: {0: 0.8095238095238095, 2: 0.0, 3: 0.0, 4: 0.0, 7: 0.0, 10: 0.0, 19: 0.0, 21: 0.0}}",{},0.002599954605102539,0,0,2,16,0,0,18,1.0,1.0,1.0,1.0,1.0
centrality-cm:betweenness:louvain,0-5,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.5), (29, 0.05555555555555555), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (4, 0.0), (10, 0.0), (19, 0.0), (21, 0.0), (31, 0.0), (27, 0.0), (3, 0.0), (7, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.023809523809523808, 30: 0.0, 32: 0.21428571428571427, 33: 0.42857142857142855}, 1: {0: 0.9, 4: 0.0, 10: 0.0, 19: 0.0, 21: 0.0, 31: 0.0}, 2: {2: 0.6666666666666666, 3: 0.0, 7: 0.0, 27: 0.0}}",{},0.0020101070404052734,1,0,2,16,1,0,18,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:greedy_modularity,0-5,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.56), (29, 0.04), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (19, 0.0), (21, 0.0), (3, 0.0), (27, 0.0), (7, 0.0)])","{0: {32: 0.25, 33: 0.4464285714285714, 8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0}, 1: {0: 0.8333333333333333, 19: 0.0, 4: 0.0, 21: 0.0, 10: 0.0}, 2: {27: 0.0, 2: 0.6666666666666666, 3: 0.0, 7: 0.0}}",{},0.0019919872283935547,1,0,2,16,1,0,18,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:label_propagation,0-5,"0,33","0,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.418732782369146), (8, 0.046831955922865015), (2, 0.03305785123966942), (27, 0.030303030303030307), (29, 0.024793388429752067), (14, 0.0), (15, 0.0), (19, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (3, 0.0), (4, 0.0), (7, 0.0), (10, 0.0), (21, 0.0)])","{0: {32: 0.2303030303030303, 33: 0.5499999999999999, 2: 0.01818181818181818, 8: 0.025757575757575757, 14: 0.0, 15: 0.0, 19: 0.0, 26: 0.0, 27: 0.016666666666666666, 29: 0.013636363636363636, 30: 0.0, 31: 0.0}, 1: {0: 0.8, 3: 0.0, 4: 0.0, 7: 0.0, 10: 0.0, 21: 0.0}}",{},0.0014538764953613281,0,0,2,16,0,0,18,1.0,1.0,1.0,1.0,1.0
centrality-cm:betweenness:infomap,0-5,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.56), (29, 0.04), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (19, 0.0), (21, 0.0), (27, 0.0), (3, 0.0), (7, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0, 32: 0.25, 33: 0.4464285714285714}, 1: {0: 0.8333333333333333, 4: 0.0, 10: 0.0, 19: 0.0, 21: 0.0}, 2: {2: 0.6666666666666666, 3: 0.0, 7: 0.0, 27: 0.0}}",{},0.04883408546447754,1,0,2,16,1,0,18,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:surprise_communities,0-5,"0,33","0,10,19,21,26,27,31,32","OrderedDict([(32, 1.0), (33, 1.0), (8, 0.0), (14, 0.0), (15, 0.0), (30, 0.0), (0, 0.0), (2, 0.0), (3, 0.0), (7, 0.0), (10, 0.0), (4, 0.0), (26, 0.0), (29, 0.0), (19, 0.0), (31, 0.0), (21, 0.0), (27, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 30: 0.0, 32: 0.25, 33: 0.25}, 1: {0: 0.0, 2: 0.0, 3: 0.0, 7: 0.0}, 2: {4: 0.0, 10: 0.0}, 3: {26: 0.0, 29: 0.0}, 4: {19: 0.0}, 5: {31: 0.0}, 6: {21: 0.0}, 7: {27: 0.0}}",{},0.0018265247344970703,6,1,1,15,7,1,18,0.5,0.9375,0.125,0.8888888888888888,0.2
centrality-cm:betweenness:walktrap,0-5,"0,33","0,2,10,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.303030303030303), (29, 0.0303030303030303), (14, 0.0), (15, 0.0), (19, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (3, 0.0), (21, 0.0), (7, 0.0), (8, 0.0), (27, 0.0), (10, 0.0), (4, 0.0)])","{0: {14: 0.0, 15: 0.0, 19: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0, 32: 0.17857142857142855, 33: 0.5892857142857143}, 1: {0: 0.6666666666666666, 3: 0.0, 7: 0.0, 21: 0.0}, 2: {2: 1.0, 8: 0.0, 27: 0.0}, 3: {4: 0.0, 10: 0.0}}",{},0.0023458003997802734,2,0,2,16,2,0,18,1.0,1.0,0.5,1.0,0.6666666666666666
centrality-cm:betweenness:df_node_similarity,0-5,"0,33","0,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.56), (2, 0.3333333333333333), (29, 0.04), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (3, 0.0), (4, 0.0), (7, 0.0), (10, 0.0), (19, 0.0), (21, 0.0), (27, 0.0)])","{0: {32: 0.25, 33: 0.4464285714285714, 8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0}, 1: {0: 0.75, 2: 0.25, 3: 0.0, 4: 0.0, 7: 0.0, 10: 0.0, 19: 0.0, 21: 0.0, 27: 0.0}}",{},0.004168987274169922,0,0,2,16,0,0,18,1.0,1.0,1.0,1.0,1.0
rumor:leiden,0-5,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.45454545454545453), (7, 0.25), (3, 0.25), (10, 0.11111111111111106), (4, 0.11111111111111106), (29, 0.09090909090909091), (8, 0.01818181818181819), (30, 0.01818181818181819), (31, 0.0), (26, 0.0), (15, 0.0), (14, 0.0), (21, 0.0), (19, 0.0), (27, 0.0)])","{0: {8: 0.011111111111111112, 14: 0.009259259259259259, 15: 0.009259259259259259, 26: 0.009259259259259259, 29: 0.018518518518518517, 30: 0.011111111111111112, 31: 0.009259259259259259, 32: 0.05555555555555555, 33: 0.1111111111111111}, 1: {0: 0.2, 4: 0.06666666666666667, 10: 0.06666666666666667, 19: 0.05, 21: 0.05}, 2: {2: 0.25, 3: 0.125, 7: 0.125, 27: 0.08333333333333333}}",{},0.001981496810913086,1,0,2,16,1,0,18,1.0,1.0,0.6666666666666666,1.0,0.8
rumor:eigenvector,0-5,"0,33","0,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.20588235294117646), (2, 0.06666666666666668), (3, 0.06666666666666668), (7, 0.06666666666666668), (27, 0.0588235294117647), (29, 0.029411764705882346), (4, 0.027777777777777773), (10, 0.027777777777777773), (26, 0.016806722689075623), (8, 0.011764705882352943), (30, 0.011764705882352943), (14, 0.0), (15, 0.0), (31, 0.0), (21, 0.0), (19, 0.0)])","{0: {8: 0.006666666666666667, 14: 0.005555555555555556, 15: 0.005555555555555556, 26: 0.007142857142857143, 27: 0.011111111111111112, 29: 0.008333333333333333, 30: 0.006666666666666667, 31: 0.005555555555555556, 32: 0.025, 33: 0.1}, 1: {0: 0.125, 2: 0.025, 3: 0.025, 4: 0.020833333333333332, 7: 0.025, 10: 0.020833333333333332, 19: 0.017857142857142856, 21: 0.017857142857142856}}",{},0.0021753311157226562,0,0,2,16,0,0,18,1.0,1.0,1.0,1.0,1.0
rumor:louvain,0-5,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.4444444444444445), (3, 0.25), (7, 0.25), (29, 0.11111111111111112), (4, 0.062499999999999986), (10, 0.062499999999999986), (30, 0.02777777777777777), (8, 0.02777777777777777), (26, 0.0), (15, 0.0), (14, 0.0), (31, 0.0), (19, 0.0), (21, 0.0), (27, 0.0)])","{0: {8: 0.015625, 14: 0.0125, 15: 0.0125, 26: 0.0125, 29: 0.025, 30: 0.015625, 32: 0.0625, 33: 0.125}, 1: {0: 0.16666666666666666, 4: 0.041666666666666664, 10: 0.041666666666666664, 19: 0.03333333333333333, 21: 0.03333333333333333, 31: 0.03333333333333333}, 2: {2: 0.25, 3: 0.125, 7: 0.125, 27: 0.08333333333333333}}",{},0.0018041133880615234,1,0,2,16,1,0,18,1.0,1.0,0.6666666666666666,1.0,0.8
rumor:greedy_modularity,0-5,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.45454545454545453), (7, 0.25), (3, 0.25), (10, 0.11111111111111106), (4, 0.11111111111111106), (29, 0.09090909090909091), (30, 0.01818181818181819), (8, 0.01818181818181819), (31, 0.0), (14, 0.0), (26, 0.0), (15, 0.0), (19, 0.0), (21, 0.0), (27, 0.0)])","{0: {32: 0.05555555555555555, 33: 0.1111111111111111, 8: 0.011111111111111112, 14: 0.009259259259259259, 15: 0.009259259259259259, 26: 0.009259259259259259, 29: 0.018518518518518517, 30: 0.011111111111111112, 31: 0.009259259259259259}, 1: {0: 0.2, 19: 0.05, 4: 0.06666666666666667, 21: 0.05, 10: 0.06666666666666667}, 2: {27: 0.08333333333333333, 2: 0.25, 3: 0.125, 7: 0.125}}",{},0.001875162124633789,1,0,2,16,1,0,18,1.0,1.0,0.6666666666666666,1.0,0.8
rumor:label_propagation,0-5,"0,33","0,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.22945205479452055), (29, 0.07045009784735812), (19, 0.0660024906600249), (3, 0.062499999999999986), (4, 0.062499999999999986), (7, 0.062499999999999986), (10, 0.062499999999999986), (27, 0.05821917808219178), (14, 0.04598825831702544), (31, 0.04598825831702544), (15, 0.04598825831702544), (8, 0.04109589041095891), (30, 0.02397260273972603), (26, 0.015410958904109588), (2, 0.0), (21, 0.0)])","{0: {32: 0.010416666666666666, 33: 0.041666666666666664, 2: 0.0011111111111111111, 8: 0.002777777777777778, 14: 0.002976190476190476, 15: 0.002976190476190476, 19: 0.003787878787878788, 26: 0.001736111111111111, 27: 0.003472222222222222, 29: 0.003968253968253968, 30: 0.0020833333333333333, 31: 0.002976190476190476}, 1: {0: 0.16666666666666666, 3: 0.041666666666666664, 4: 0.041666666666666664, 7: 0.041666666666666664, 10: 0.041666666666666664, 21: 0.03333333333333333}}",{},0.0023865699768066406,0,0,2,16,0,0,18,1.0,1.0,1.0,1.0,1.0
rumor:infomap,0-5,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.45454545454545453), (3, 0.25), (7, 0.25), (4, 0.11111111111111106), (10, 0.11111111111111106), (29, 0.09090909090909091), (30, 0.01818181818181819), (8, 0.01818181818181819), (31, 0.0), (14, 0.0), (26, 0.0), (15, 0.0), (21, 0.0), (19, 0.0), (27, 0.0)])","{0: {8: 0.011111111111111112, 14: 0.009259259259259259, 15: 0.009259259259259259, 26: 0.009259259259259259, 29: 0.018518518518518517, 30: 0.011111111111111112, 31: 0.009259259259259259, 32: 0.05555555555555555, 33: 0.1111111111111111}, 1: {0: 0.2, 4: 0.06666666666666667, 10: 0.06666666666666667, 19: 0.05, 21: 0.05}, 2: {2: 0.25, 3: 0.125, 7: 0.125, 27: 0.08333333333333333}}",{},0.0018765926361083984,1,0,2,16,1,0,18,1.0,1.0,0.6666666666666666,1.0,0.8
rumor:surprise_communities,0-5,"0,33","0,10,19,21,26,27,31,32","OrderedDict([(32, 1.0), (33, 1.0), (8, 0.1111111111111111), (30, 0.1111111111111111), (14, 0.0), (15, 0.0), (0, 0.0), (7, 0.0), (3, 0.0), (2, 0.0), (10, 0.0), (4, 0.0), (26, 0.0), (29, 0.0), (19, 0.0), (31, 0.0), (21, 0.0), (27, 0.0)])","{0: {8: 0.05555555555555555, 14: 0.041666666666666664, 15: 0.041666666666666664, 30: 0.05555555555555555, 32: 0.16666666666666666, 33: 0.16666666666666666}, 1: {0: 0.25, 2: 0.25, 3: 0.25, 7: 0.25}, 2: {4: 0.5, 10: 0.5}, 3: {26: 0.5, 29: 0.5}, 4: {19: 1.0}, 5: {31: 1.0}, 6: {21: 1.0}, 7: {27: 1.0}}",{},0.001355886459350586,6,1,1,15,7,1,18,0.5,0.9375,0.125,0.8888888888888888,0.2
rumor:walktrap,0-5,"0,33","0,2,4,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (7, 0.25), (3, 0.25), (32, 0.19642857142857142), (19, 0.06249999999999999), (29, 0.03571428571428572), (26, 0.01785714285714285), (30, 0.0), (31, 0.0), (14, 0.0), (15, 0.0), (21, 0.0), (27, 0.0), (8, 0.0), (4, 0.0), (10, 0.0)])","{0: {14: 0.007407407407407408, 15: 0.007407407407407408, 19: 0.013888888888888888, 26: 0.009259259259259259, 29: 0.011111111111111112, 30: 0.007407407407407408, 31: 0.007407407407407408, 32: 0.027777777777777776, 33: 0.1111111111111111}, 1: {0: 0.25, 3: 0.125, 7: 0.125, 21: 0.08333333333333333}, 2: {2: 0.3333333333333333, 8: 0.16666666666666666, 27: 0.16666666666666666}, 3: {4: 0.5, 10: 0.5}}",{},0.001786947250366211,2,0,2,16,2,0,18,1.0,1.0,0.5,1.0,0.6666666666666666
rumor:df_node_similarity,0-5,"0,33","0,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.45454545454545453), (2, 0.3684210526315789), (3, 0.15789473684210525), (7, 0.15789473684210525), (10, 0.09774436090225562), (4, 0.09774436090225562), (29, 0.09090909090909091), (21, 0.07894736842105261), (19, 0.07894736842105261), (30, 0.01818181818181819), (8, 0.01818181818181819), (14, 0.0), (15, 0.0), (31, 0.0), (26, 0.0), (27, 0.0)])","{0: {32: 0.05555555555555555, 33: 0.1111111111111111, 8: 0.011111111111111112, 14: 0.009259259259259259, 15: 0.009259259259259259, 26: 0.009259259259259259, 29: 0.018518518518518517, 30: 0.011111111111111112, 31: 0.009259259259259259}, 1: {0: 0.05555555555555555, 2: 0.022222222222222223, 3: 0.011111111111111112, 4: 0.007936507936507936, 7: 0.011111111111111112, 10: 0.007936507936507936, 19: 0.006944444444444444, 21: 0.006944444444444444, 27: 0.002777777777777778}}",{},0.0023005008697509766,0,0,2,16,0,0,18,1.0,1.0,1.0,1.0,1.0
jordan:leiden,0-5,"0,33","14,19,27","OrderedDict([(14, 1.0), (15, 1.0), (30, 1.0), (19, 1.0), (21, 1.0), (27, 1.0), (4, 0.9230769230769231), (10, 0.9230769230769231), (8, 0.9090909090909091), (26, 0.9090909090909091), (31, 0.9090909090909091), (29, 0.8181818181818182), (7, 0.6), (32, 0.45454545454545453), (3, 0.2), (33, 0.0), (0, 0.0), (2, 0.0)])","{0: {8: 16, 14: 17, 15: 17, 26: 16, 29: 15, 30: 17, 31: 16, 32: 11, 33: 6}, 1: {0: 2, 4: 14, 10: 14, 19: 15, 21: 15}, 2: {2: 5, 3: 6, 7: 8, 27: 10}}",{},0.0007302761077880859,1,2,0,14,3,2,18,0.0,0.875,0.0,0.7777777777777778,0
jordan:eigenvector,0-5,"0,33","7,14","OrderedDict([(14, 1.0), (15, 1.0), (30, 1.0), (7, 1.0), (8, 0.9090909090909091), (26, 0.9090909090909091), (27, 0.9090909090909091), (31, 0.9090909090909091), (29, 0.8181818181818182), (3, 0.8181818181818182), (19, 0.8181818181818182), (21, 0.8181818181818182), (4, 0.7272727272727273), (10, 0.7272727272727273), (32, 0.45454545454545453), (2, 0.45454545454545453), (33, 0.0), (0, 0.0)])","{0: {8: 16, 14: 17, 15: 17, 26: 16, 27: 16, 29: 15, 30: 17, 31: 16, 32: 11, 33: 6}, 1: {0: 6, 2: 11, 3: 15, 4: 14, 7: 17, 10: 14, 19: 15, 21: 15}}",{},0.0005924701690673828,0,2,0,14,2,2,18,0.0,0.875,0.0,0.7777777777777778,0
jordan:louvain,0-5,"0,33","14,27,31","OrderedDict([(14, 1.0), (15, 1.0), (30, 1.0), (31, 1.0), (27, 1.0), (8, 0.9230769230769231), (26, 0.9230769230769231), (19, 0.9), (21, 0.9), (29, 0.8461538461538461), (4, 0.8), (10, 0.8), (7, 0.6), (32, 0.38461538461538464), (3, 0.2), (33, 0.0), (0, 0.0), (2, 0.0)])","{0: {8: 16, 14: 17, 15: 17, 26: 16, 29: 15, 30: 17, 32: 9, 33: 4}, 1: {0: 6, 4: 14, 10: 14, 19: 15, 21: 15, 31: 16}, 2: {2: 5, 3: 6, 7: 8, 27: 10}}",{},0.0007135868072509766,1,2,0,14,3,2,18,0.0,0.875,0.0,0.7777777777777778,0
jordan:greedy_modularity,0-5,"0,33","14,19,27","OrderedDict([(14, 1.0), (15, 1.0), (30, 1.0), (19, 1.0), (21, 1.0), (27, 1.0), (4, 0.9230769230769231), (10, 0.9230769230769231), (8, 0.9090909090909091), (26, 0.9090909090909091), (31, 0.9090909090909091), (29, 0.8181818181818182), (7, 0.6), (32, 0.45454545454545453), (3, 0.2), (33, 0.0), (0, 0.0), (2, 0.0)])","{0: {32: 11, 33: 6, 8: 16, 14: 17, 15: 17, 26: 16, 29: 15, 30: 17, 31: 16}, 1: {0: 2, 19: 15, 4: 14, 21: 15, 10: 14}, 2: {27: 10, 2: 5, 3: 6, 7: 8}}",{},0.0007116794586181641,1,2,0,14,3,2,18,0.0,0.875,0.0,0.7777777777777778,0
jordan:label_propagation,0-5,"0,33","21,27","OrderedDict([(27, 1.0), (21, 1.0), (4, 0.9285714285714286), (10, 0.9285714285714286), (8, 0.8571428571428571), (7, 0.8571428571428571), (14, 0.7857142857142857), (15, 0.7857142857142857), (19, 0.7857142857142857), (30, 0.7857142857142857), (26, 0.7142857142857143), (31, 0.7142857142857143), (3, 0.7142857142857143), (29, 0.6428571428571429), (32, 0.5), (2, 0.42857142857142855), (33, 0.0), (0, 0.0)])","{0: {32: 13, 33: 6, 2: 12, 8: 18, 14: 17, 15: 17, 19: 17, 26: 16, 27: 20, 29: 15, 30: 17, 31: 16}, 1: {0: 1, 3: 11, 4: 14, 7: 13, 10: 14, 21: 15}}",{},0.0005924701690673828,0,2,0,14,2,2,18,0.0,0.875,0.0,0.7777777777777778,0
jordan:infomap,0-5,"0,33","14,19,27","OrderedDict([(14, 1.0), (15, 1.0), (30, 1.0), (19, 1.0), (21, 1.0), (27, 1.0), (4, 0.9230769230769231), (10, 0.9230769230769231), (8, 0.9090909090909091), (26, 0.9090909090909091), (31, 0.9090909090909091), (29, 0.8181818181818182), (7, 0.6), (32, 0.45454545454545453), (3, 0.2), (33, 0.0), (0, 0.0), (2, 0.0)])","{0: {8: 16, 14: 17, 15: 17, 26: 16, 29: 15, 30: 17, 31: 16, 32: 11, 33: 6}, 1: {0: 2, 4: 14, 10: 14, 19: 15, 21: 15}, 2: {2: 5, 3: 6, 7: 8, 27: 10}}",{},0.0007140636444091797,1,2,0,14,3,2,18,0.0,0.875,0.0,0.7777777777777778,0
jordan:surprise_communities,0-5,"0,33","4,7,14,19,21,26,27,31","OrderedDict([(14, 1.0), (15, 1.0), (30, 1.0), (7, 1.0), (26, 1.0), (8, 0.9230769230769231), (3, 0.8333333333333334), (2, 0.5), (32, 0.38461538461538464), (33, 0.0), (0, 0.0), (4, 0.0), (10, 0.0), (29, 0.0), (19, 0.0), (31, 0.0), (21, 0.0), (27, 0.0)])","{0: {8: 16, 14: 17, 15: 17, 30: 17, 32: 9, 33: 4}, 1: {0: 5, 2: 11, 3: 15, 7: 17}, 2: {4: 2, 10: 2}, 3: {26: 3, 29: 1}, 4: {19: 0}, 5: {31: 0}, 6: {21: 0}, 7: {27: 0}}",{},0.0013070106506347656,6,2,0,14,8,2,18,0.0,0.875,0.0,0.7777777777777778,0
jordan:walktrap,0-5,"0,33","4,14,21,27","OrderedDict([(14, 1.0), (15, 1.0), (19, 1.0), (21, 1.0), (27, 1.0), (26, 0.9090909090909091), (30, 0.9090909090909091), (31, 0.9090909090909091), (7, 0.8571428571428571), (29, 0.8181818181818182), (3, 0.7142857142857143), (8, 0.6), (32, 0.45454545454545453), (33, 0.0), (0, 0.0), (2, 0.0), (4, 0.0), (10, 0.0)])","{0: {14: 17, 15: 17, 19: 17, 26: 16, 29: 15, 30: 16, 31: 16, 32: 11, 33: 6}, 1: {0: 1, 3: 11, 7: 13, 21: 15}, 2: {2: 5, 8: 8, 27: 10}, 3: {4: 2, 10: 2}}",{},0.0008389949798583984,2,2,0,14,4,2,18,0.0,0.875,0.0,0.7777777777777778,0
jordan:df_node_similarity,0-5,"0,33","7,14","OrderedDict([(14, 1.0), (15, 1.0), (30, 1.0), (7, 1.0), (8, 0.9090909090909091), (26, 0.9090909090909091), (31, 0.9090909090909091), (29, 0.8181818181818182), (3, 0.8181818181818182), (19, 0.8181818181818182), (21, 0.8181818181818182), (2, 0.7272727272727273), (4, 0.7272727272727273), (10, 0.7272727272727273), (32, 0.45454545454545453), (27, 0.36363636363636365), (33, 0.0), (0, 0.0)])","{0: {32: 11, 33: 6, 8: 16, 14: 17, 15: 17, 26: 16, 29: 15, 30: 17, 31: 16}, 1: {0: 6, 2: 14, 3: 15, 4: 14, 7: 17, 10: 14, 19: 15, 21: 15, 27: 10}}",{},0.00060272216796875,0,2,0,14,2,2,18,0.0,0.875,0.0,0.7777777777777778,0
netsleuth-cm:leiden,0-5,"0,33","2,19,33","OrderedDict([(33, 1.0), (19, 1.0), (2, 1.0), (15, 0.6285053616861244), (30, 0.5292233029327343), (14, 0.4790910090519015), (8, 0.4504428407823044), (21, 0.40916518118259854), (0, 0.400544501093187), (27, 0.3751555511130406), (31, 0.3562191012348927), (26, 0.3530572143638936), (29, 0.28752571741326494), (4, 0.21530256455946906), (3, 0.18568686013153465), (32, 0.0), (10, 0.0), (7, 0.0)])","{0: {8: 0.11785113019775814, 14: 0.1525196858443778, 15: 0.33333333333333304, 26: -3.994936285610491e-16, 29: -0.0793028834255418, 30: 0.213187237212568, 31: 0.0038263546172991963, 32: -0.42725187758705196, 33: 0.7828972433049689}, 1: {0: -0.22360679774997896, 4: -0.4472135954999579, 10: -0.7071067811865475, 19: 0.49999999999999994, 21: -0.21320071635561047}, 2: {2: 0.40824829046386285, 3: -0.4999999999999999, 7: -0.7071067811865475, 27: -0.28867513459481287}}",{},0.0030629634857177734,1,1,1,15,2,1,18,0.5,0.9375,0.3333333333333333,0.8888888888888888,0.4
netsleuth-cm:eigenvector,0-5,"0,33","3,33","OrderedDict([(33, 1.0), (3, 1.0), (32, 0.5861236547623868), (30, 0.5202960449456632), (10, 0.4559020180839625), (29, 0.42660206363091846), (19, 0.3483314773547884), (21, 0.3307453892466316), (26, 0.31078087125775905), (0, 0.24167717974615507), (7, 0.23780253275748747), (27, 0.23284394777163397), (8, 0.2071872475051724), (14, 0.16088827502017378), (2, 0.06615072962607413), (31, 0.054325770128137094), (15, 0.0), (4, 0.0)])","{0: {8: -0.10540925533894625, 14: -0.15251968584437794, 15: -0.31622776601683805, 26: 8.847951123838842e-17, 27: -0.0793028834255423, 29: 0.11785113019775757, 30: 0.21318723721256586, 31: -0.2609498563590178, 32: 0.28016857332351836, 33: 0.7012987140944861}, 1: {0: -0.13363062095621225, 2: -0.35355339059327384, 3: 0.8164965809277261, 4: -0.4364357804719847, 7: -0.13848529155731384, 10: 0.13477861161284818, 19: 2.523545609928764e-16, 21: -0.022034178901136015}}",{},0.0015094280242919922,0,1,1,15,1,1,18,0.5,0.9375,0.5,0.8888888888888888,0.5
netsleuth-cm:louvain,0-5,"0,33","2,10,26","OrderedDict([(26, 1.0), (10, 1.0), (2, 1.0), (19, 0.8571000143967269), (8, 0.6912452628420213), (30, 0.5841873321884287), (33, 0.538579262004848), (32, 0.4991888472030606), (31, 0.43036736731838204), (27, 0.3751555511130406), (21, 0.31146155816085114), (14, 0.29202473641470234), (0, 0.20233386691367597), (3, 0.18568686013153465), (15, 0.1607626816098578), (29, 0.0), (4, 0.0), (7, 0.0)])","{0: {8: 0.35355339059327373, 14: -0.10359188922340773, 15: -0.25389936291488824, 26: 0.7071067811865472, 29: -0.43798784585515177, 30: 0.23096192941964216, 32: 0.1336306209562127, 33: 0.17873637330268316}, 1: {0: -0.18257418583505536, 4: -0.408248290463863, 10: 0.7071067811865474, 19: 0.5477225575051661, 21: -0.0608580619450184, 31: 0.07176413534752944}, 2: {2: 0.40824829046386285, 3: -0.4999999999999999, 7: -0.7071067811865475, 27: -0.28867513459481287}}",{},0.001970529556274414,1,2,0,14,3,2,18,0.0,0.875,0.0,0.7777777777777778,0
netsleuth-cm:greedy_modularity,0-5,"0,33","19,27,33","OrderedDict([(33, 1.0), (19, 1.0), (27, 1.0), (15, 0.6285053616861244), (2, 0.6202041028867286), (30, 0.5292233029327343), (14, 0.4790910090519015), (8, 0.4504428407823044), (21, 0.40916518118259854), (3, 0.4009288394512661), (0, 0.400544501093187), (31, 0.3562191012348927), (26, 0.3530572143638936), (29, 0.28752571741326494), (4, 0.21530256455946906), (32, 0.0), (10, 0.0), (7, 0.0)])","{0: {32: -0.42725187758705196, 33: 0.7828972433049689, 8: 0.11785113019775814, 14: 0.1525196858443778, 15: 0.33333333333333304, 26: -3.994936285610491e-16, 29: -0.0793028834255418, 30: 0.213187237212568, 31: 0.0038263546172991963}, 1: {0: -0.22360679774997896, 19: 0.49999999999999994, 4: -0.4472135954999579, 21: -0.21320071635561047, 10: -0.7071067811865475}, 2: {27: 0.49999999999999994, 2: -2.323522476192529e-16, 3: -0.28867513459481303, 7: -0.8164965809277259}}",{},0.0019621849060058594,1,1,1,15,2,1,18,0.5,0.9375,0.3333333333333333,0.8888888888888888,0.4
