neighbors_probability,node_on_path,degree,infected
0.8596491228070176,0.9309113491693837,0.11411411411411411,1
0.84375,0.875438596491228,0.0960960960960961,1
0.8269230769230769,0.9027149321266968,0.05205205205205205,1
0.7297297297297297,0.8018018018018018,0.037037037037037035,1
0.8461538461538461,0.9230769230769231,0.026026026026026026,1
0.625,0.5,0.008008008008008008,1
0.5714285714285714,0.5714285714285714,0.007007007007007007,1
0.8333333333333334,0.4666666666666667,0.006006006006006006,1
0.8461538461538461,0.8589743589743589,0.013013013013013013,1
0.8888888888888888,0.7222222222222222,0.009009009009009009,1
1.0,0.7,0.005005005005005005,1
0.8,0.5,0.005005005005005005,1
0.6363636363636364,0.7818181818181819,0.011011011011011011,1
1.0,0.4,0.005005005005005005,0
1.0,0.2,0.005005005005005005,1
0.8333333333333334,0.6666666666666666,0.006006006006006006,1
0.8,0.2,0.005005005005005005,0
0.8846153846153846,0.7907692307692308,0.026026026026026026,1
0.6666666666666666,0.8666666666666667,0.006006006006006006,0
0.75,0.9285714285714286,0.008008008008008008,0
0.6666666666666666,0.6666666666666666,0.006006006006006006,0
1.0,0.7,0.005005005005005005,0
1.0,0.9,0.005005005005005005,1
0.7540983606557377,0.805464480874317,0.06106106106106106,1
0.8048780487804879,0.8390243902439024,0.04104104104104104,1
0.8571428571428571,0.7252747252747253,0.014014014014014014,1
0.75,0.7121212121212122,0.012012012012012012,1
0.9,0.7777777777777778,0.01001001001001001,1
0.8,0.8,0.01001001001001001,1
0.6666666666666666,0.819047619047619,0.015015015015015015,1
0.5,0.4,0.006006006006006006,1
0.9090909090909091,0.6545454545454545,0.011011011011011011,1
0.8,0.7333333333333333,0.01001001001001001,0
0.8571428571428571,0.6190476190476191,0.007007007007007007,1
0.8333333333333334,0.5333333333333333,0.006006006006006006,0
0.8,0.7,0.005005005005005005,0
0.8571428571428571,0.7235772357723578,0.04204204204204204,1
0.7272727272727273,0.34545454545454546,0.011011011011011011,1
0.7692307692307693,0.7564102564102564,0.013013013013013013,1
0.9166666666666666,0.7575757575757576,0.012012012012012012,1
1.0,0.6666666666666666,0.006006006006006006,0
0.6666666666666666,0.5333333333333333,0.006006006006006006,1
1.0,0.6666666666666666,0.006006006006006006,1
0.8125,0.7416666666666667,0.016016016016016016,1
0.8888888888888888,0.6666666666666666,0.009009009009009009,1
0.5,0.4,0.006006006006006006,1
0.8,0.5,0.005005005005005005,0
0.9473684210526315,0.6374269005847953,0.01901901901901902,1
0.8181818181818182,0.8333333333333334,0.03303303303303303,1
0.625,0.7416666666666667,0.016016016016016016,1
1.0,0.7142857142857143,0.008008008008008008,0
0.8333333333333334,0.26666666666666666,0.006006006006006006,1
0.7777777777777778,0.8611111111111112,0.009009009009009009,1
1.0,0.3,0.005005005005005005,0
1.0,0.6,0.005005005005005005,0
0.5833333333333334,0.7424242424242424,0.012012012012012012,1
0.5384615384615384,0.5897435897435898,0.013013013013013013,1
0.75,0.696969696969697,0.012012012012012012,0
0.85,0.8368421052631579,0.02002002002002002,1
0.75,0.7575757575757576,0.012012012012012012,1
0.8333333333333334,0.26666666666666666,0.006006006006006006,1
0.5,0.5333333333333333,0.006006006006006006,1
0.5714285714285714,0.5714285714285714,0.007007007007007007,0
0.8,0.4,0.005005005005005005,1
0.8333333333333334,0.8666666666666667,0.006006006006006006,1
1.0,0.1,0.005005005005005005,1
1.0,0.5,0.005005005005005005,0
0.8181818181818182,0.7090909090909091,0.011011011011011011,1
0.6666666666666666,0.6,0.006006006006006006,1
0.8333333333333334,0.5333333333333333,0.006006006006006006,0
0.6,0.8,0.005005005005005005,0
0.6,0.4,0.005005005005005005,1
0.6666666666666666,0.6,0.006006006006006006,1
0.5,0.5357142857142857,0.008008008008008008,1
0.7142857142857143,0.6190476190476191,0.007007007007007007,1
1.0,0.7,0.005005005005005005,0
0.4,0.4,0.005005005005005005,0
0.6,0.5777777777777777,0.01001001001001001,1
0.8571428571428571,0.7142857142857143,0.007007007007007007,1
0.9,0.6222222222222222,0.01001001001001001,1
0.6666666666666666,0.7333333333333333,0.006006006006006006,0
0.75,0.75,0.008008008008008008,0
1.0,0.7,0.005005005005005005,1
1.0,0.5,0.005005005005005005,1
1.0,0.8,0.005005005005005005,1
0.8571428571428571,0.788235294117647,0.035035035035035036,1
0.6153846153846154,0.6923076923076923,0.013013013013013013,1
0.6666666666666666,0.7516339869281046,0.018018018018018018,1
