method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,1.0,0.9727519362665936,0.004130926684357506,0.042668783760643834,0.007532594357952924,12,42736,303,967,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6, 1, 0, 0, 2607, 2983, 2796, 2912, 3542, 2721, 3093, 3464, 3042, 3278, 3224, 3362, 2540, 3172, 21, 25, 23, 19, 28, 27, 22, 18, 16, 22, 13, 22, 24, 23, 31, 31, 30, 5, 39, 5, 5, 5, 365, 3, 375, 34, 5, 34]"
eigenvector,1.0,0.9786655891120503,0.01250466186477597,0.027898806846175263,0.01726906907611919,9,39669,312,600,"[0, 2, 1, 0, 1, 0, 0, 0, 0, 4, 1, 0, 0, 2602, 2980, 2799, 2904, 3552, 2727, 3090, 3454, 3276, 3214, 3364, 2540, 3167, 26, 28, 20, 27, 18, 21, 25, 28, 24, 23, 20, 24, 28, 31, 29, 29, 5, 38, 5, 5, 5, 3, 377, 34, 5, 34]"
louvain,1.0,0.9792209434481222,0.003207291396267774,0.025968915994491446,0.005709438497199113,6,39695,286,603,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 2608, 2982, 2798, 2911, 3544, 2722, 3093, 3459, 3278, 3225, 3362, 2540, 3173, 20, 26, 21, 20, 26, 26, 22, 23, 22, 12, 22, 24, 22, 31, 31, 30, 5, 39, 5, 5, 5, 3, 376, 34, 5, 34]"
greedy_modularity,1.0,0.9804412595923107,0.009455074080618716,0.027797202797202793,0.014110526051523539,7,39743,238,602,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 3, 2, 0, 0, 2609, 2992, 2797, 2918, 3547, 2729, 3094, 3466, 3283, 3218, 3371, 2540, 3179, 19, 16, 22, 13, 23, 19, 21, 16, 17, 19, 13, 24, 16, 30, 31, 30, 5, 38, 5, 5, 5, 3, 378, 33, 5, 34]"
label_propagation,1.0,0.9715260138314293,0.01250466186477597,0.013384249784159865,0.012929513618352467,9,39379,602,600,"[0, 2, 1, 0, 1, 0, 0, 0, 0, 4, 1, 0, 0, 2581, 2948, 2779, 2899, 3515, 2703, 3074, 3441, 3247, 3192, 3329, 2520, 3151, 47, 60, 40, 32, 55, 45, 41, 41, 53, 45, 55, 44, 44, 31, 29, 29, 5, 38, 5, 5, 5, 3, 377, 34, 5, 34]"
infomap,1.0,0.9829479603728252,0.008115526939952824,0.073541842772612,0.01461792875121403,7,39842,139,602,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 2614, 3007, 2806, 2925, 3553, 2739, 3110, 3472, 3289, 3228, 3368, 2548, 3183, 14, 1, 13, 6, 17, 9, 5, 10, 11, 9, 16, 16, 12, 31, 30, 29, 5, 39, 5, 5, 5, 3, 377, 35, 5, 33]"
surprise_communities,1.0,0.9343383944289726,0.007862965401895863,0.003898047575282055,0.005212172332240968,9,37875,2106,600,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 6, 1, 0, 0, 2484, 2842, 2669, 2786, 3378, 2590, 2961, 3316, 3128, 3059, 3218, 2416, 3028, 144, 166, 150, 145, 192, 158, 154, 166, 172, 178, 166, 148, 167, 30, 31, 30, 5, 38, 5, 5, 5, 3, 375, 34, 5, 34]"
walktrap,1.0,0.9585285739485309,0.00825278353853411,0.006457847219536511,0.007245809660271719,8,38853,1128,601,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 2548, 2893, 2735, 2857, 3472, 2663, 3042, 3401, 3194, 3138, 3300, 2496, 3114, 80, 115, 84, 74, 98, 85, 73, 81, 106, 99, 84, 68, 81, 30, 31, 29, 5, 39, 5, 5, 5, 3, 376, 34, 5, 34]"
df_node_similarity,1.0,0.9827163896161225,0.03794378966610849,0.07086611540797061,0.049424341941361895,9,39834,147,600,"[1, 1, 1, 0, 1, 0, 0, 0, 1, 3, 1, 0, 0, 2612, 2993, 2808, 2926, 3560, 2735, 3105, 3470, 3290, 3232, 3377, 2546, 3180, 16, 15, 11, 5, 10, 13, 10, 12, 10, 5, 7, 18, 15, 30, 30, 29, 5, 38, 5, 5, 5, 2, 378, 34, 5, 34]"
