method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
surprise_communities,1.0,0.8169819897892939,0.3939010894783391,0.07853041172745805,0.13095322669075515,91,6209,937,444,"[2, 1, 1, 1, 2, 1, 1, 1, 3, 20, 15, 12, 10, 14, 7, 133, 114, 113, 97, 500, 470, 425, 403, 347, 714, 672, 624, 570, 527, 500, 31, 33, 26, 24, 70, 70, 84, 77, 73, 63, 61, 72, 92, 85, 76, 0, 0, 0, 0, 8, 8, 9, 7, 4, 75, 78, 72, 62, 62, 59]"
leiden,1.0,0.912746893227694,0.2818206404854477,0.13323965771252466,0.18093605115994668,37,6762,220,496,"[1, 1, 1, 1, 0, 2, 0, 2, 5, 5, 6, 4, 5, 4, 135, 128, 111, 552, 522, 493, 461, 406, 759, 717, 679, 644, 595, 560, 12, 11, 10, 18, 18, 16, 19, 14, 18, 16, 17, 18, 17, 16, 0, 0, 0, 9, 9, 8, 8, 5, 90, 88, 78, 68, 71, 62]"
greedy_modularity,1.0,0.9165817773547184,0.26555060234723105,0.18401271347699918,0.21738734093006215,32,6822,160,501,"[1, 1, 1, 3, 1, 0, 0, 0, 6, 3, 6, 3, 4, 3, 134, 128, 109, 560, 526, 493, 466, 401, 772, 724, 690, 652, 604, 563, 13, 11, 12, 10, 14, 16, 14, 19, 5, 9, 6, 10, 8, 13, 0, 0, 0, 7, 8, 10, 8, 7, 89, 90, 78, 69, 72, 63]"
infomap,1.0,0.8777724331991326,0.23860709183289824,0.12022559490427712,0.15988888763080294,50,6281,562,482,"[1, 1, 2, 2, 0, 0, 1, 9, 7, 5, 8, 8, 6, 146, 118, 524, 494, 453, 436, 374, 725, 682, 645, 608, 556, 520, 1, 3, 46, 46, 56, 44, 46, 52, 51, 51, 54, 56, 56, 0, 0, 8, 7, 10, 8, 6, 86, 86, 79, 64, 68, 60]"
eigenvector,1.0,0.9203825667418714,0.2053323068178756,0.24569216867010987,0.2237064394589118,49,6571,143,482,"[1, 1, 3, 4, 0, 1, 6, 9, 5, 6, 6, 7, 127, 554, 526, 496, 468, 410, 759, 726, 683, 653, 601, 568, 12, 16, 14, 13, 12, 10, 18, 7, 13, 9, 11, 8, 0, 9, 6, 6, 8, 6, 89, 84, 79, 66, 70, 59]"
louvain,1.0,0.9116127079202969,0.21743923874653925,0.12553585494088926,0.15917436126495893,32,6622,213,500,"[1, 1, 1, 2, 2, 0, 0, 7, 3, 5, 2, 5, 3, 130, 111, 552, 523, 493, 462, 398, 761, 714, 679, 642, 598, 559, 9, 10, 18, 17, 16, 18, 22, 16, 19, 17, 20, 14, 17, 0, 0, 9, 7, 8, 8, 7, 88, 90, 79, 70, 71, 63]"
df_node_similarity,1.0,0.9023004836980401,0.32525259780777604,0.2095789587936819,0.2549068017850316,56,6583,252,476,"[1, 1, 0, 1, 1, 2, 2, 8, 10, 10, 7, 8, 5, 125, 102, 550, 523, 482, 460, 397, 763, 717, 683, 630, 593, 558, 14, 19, 20, 17, 27, 20, 23, 14, 16, 13, 32, 19, 18, 0, 0, 10, 8, 9, 6, 5, 87, 83, 74, 65, 68, 61]"
walktrap,1.0,0.8761177831813217,0.15929931030737482,0.06853866151586933,0.09584145629016454,30,6292,413,501,"[1, 0, 1, 1, 1, 2, 7, 5, 4, 2, 2, 4, 108, 533, 512, 475, 447, 386, 743, 706, 672, 613, 568, 529, 22, 37, 28, 34, 33, 34, 34, 27, 24, 49, 44, 47, 0, 10, 8, 9, 7, 5, 88, 88, 80, 70, 74, 62]"
label_propagation,1.0,0.8667332778727627,0.27334386083324963,0.11924586776222901,0.16605185265111497,83,6155,541,448,"[1, 3, 2, 2, 2, 3, 10, 13, 12, 15, 10, 10, 103, 534, 501, 466, 433, 367, 726, 680, 646, 606, 563, 530, 18, 36, 39, 43, 47, 53, 51, 53, 50, 56, 49, 46, 0, 7, 7, 8, 6, 4, 85, 80, 72, 57, 66, 56]"
