network,sources,infected_nodes,iteration
dolphin,36|1,17|6|5|15|27|59|24|19|36|45|3|28|42|9|7|13|30|1,0
dolphin,36|1,40|17|1|6|27|0|36|37|28|42|25|26|14|39,1
dolphin,36|1,49|27|0|3|42|34|47|20|8|36|16|7|39|40|52|33|23|19|43|18|21|1|44|17|37|28|25|26|30|14,2
dolphin,36|1|40|37,49|27|0|42|46|38|34|12|20|24|8|36|16|40|33|15|23|61|43|18|21|1|44|17|10|59|45|37|26|14,0
dolphin,36|1|40|37,50|49|27|0|3|38|34|47|20|8|36|7|16|40|52|15|19|43|21|58|1|44|29|59|45|37|28|26|30|14,1
dolphin,36|1|40|37,49|13|9|32|38|34|8|36|7|16|40|52|61|19|1|44|57|59|37|41|54|14,2
dolphin,36|1|40|37|7|17|20,0|40|10|14|47|15|1|36|41|17|54|27|3|8|59|51|5|9|13|57|6|7|30|37|45|20|32|29|11|12|33|38|43|16|50|52|24|18|22|25|21|23,0
dolphin,36|1|40|37|7|17|20,0|40|14|15|42|1|36|41|17|19|54|26|27|61|3|8|59|51|5|9|13|57|6|7|30|37|45|20|29|43|50|24|18|55|21|23|39|46,1
dolphin,36|1|40|37|7|17|20,50|53|27|0|42|34|47|20|24|8|36|16|7|40|33|15|19|43|18|1|44|17|45|37|54|30|14,2
