network,sources,infected_nodes,iteration
karate_graph,0|33,0|2|3|4|7|8|10|11|14|15|19|21|26|27|29|30|31|32|33,0
karate_graph,0|33,0|1|2|3|8|9|11|12|13|15|17|18|19|23|26|29|31|32|33,1
karate_graph,0|33,0|1|2|4|5|6|7|8|9|10|13|15|16|18|19|21|22|28|29|30|31|32|33,2
karate_graph,0|33|32,0|1|2|33|4|32|7|10|15|27|28,0
karate_graph,0|33|32,0|1|4|5|6|10|11|15|16|17|18|19|20|21|23|25|26|27|29|30|31|32|33,1
karate_graph,0|33|32,0|2|4|6|9|10|14|15|19|20|22|27|28|29|31|32|33,2
karate_graph,0|33|32|2,0|2|3|5|6|8|12|13|15|18|22|23|24|26|27|29|31|32|33,0
karate_graph,0|33|32|2,0|1|2|3|4|5|6|7|8|9|12|13|14|15|16|18|19|20|23|25|26|27|28|30|31|32|33,1
karate_graph,0|33|32|2,0|1|2|3|6|7|8|11|13|14|17|18|19|20|23|26|27|28|31|32|33,2
