graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
karate_graph,df_node_similarity,19,2,2,0,2,0.6080771373798401,10|9,9.5,0.00836944580078125
karate_graph,df_node_similarity,19,2,2,0,2,0.3768892770255369,10|9,9.5,0.00832819938659668
karate_graph,df_node_similarity,23,2,2,0,2,0.6530142266597073,12|11,11.5,0.008866548538208008
karate_graph,df_node_similarity,11,3,3,0,2,0.5831483683198329,4|2|5,3.6666666666666665,0.008521080017089844
karate_graph,df_node_similarity,23,3,2,1,2,0.6504686618407521,12|11,11.5,0.007544755935668945
karate_graph,df_node_similarity,17,3,3,0,3,0.2919071744923205,9|5|3,5.666666666666667,0.009364604949951172
karate_graph,df_node_similarity,19,4,3,1,2,0.4400129180200995,8|8|3,6.333333333333333,0.010113239288330078
karate_graph,df_node_similarity,27,4,2,2,2,0.4361279586989063,15|12,13.5,0.010692596435546875
karate_graph,df_node_similarity,21,4,2,2,2,0.32458240592514664,10|11,10.5,0.007937431335449219
