graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
barabasi_1,df_node_similarity,390,2,2,0,2,0.027495454647974471,351|39,195.0,1.449777603149414
barabasi_1,df_node_similarity,370,2,2,0,2,0.027495454647974471,351|39,195.0,0.992588996887207
barabasi_1,df_node_similarity,370,2,2,0,2,0.027495454647974471,351|39,195.0,0.992588996887207
barabasi_1,df_node_similarity,409,5,2,3,5,0.027495454647974471,400|9,204.5,2.182462453842163
barabasi_1,df_node_similarity,406,5,2,4,5,0.033806932337021605,400|9,204.5,1.1579420566558838
barabasi_1,df_node_similarity,436,5,2,3,5,0.033806932337021605,426|10,218.0,2.1202139854431152
barabasi_1,df_node_similarity,456,50,2,49,50,0.01983405780920445,438|11,224.5,1.4318885803222656
barabasi_1,df_node_similarity,449,50,2,48,50,0.01983405780920445,438|11,224.5,1.7693421840667725
barabasi_1,df_node_similarity,452,50,2,48,50,0.019996495532373204,441|11,226.0,1.8237521648406982
