graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
soc_anybeat,leiden,7078,13,18,-5,7,0.28704859214648015,2043|1471|1367|639|473|324|256|216|110|61|37|33|25|6|6|5|3|3,393.22222222222223,3.7699661254882812
soc_anybeat,louvain,7078,13,19,-6,7,0.29983164151915803,1648|1305|1278|1210|507|308|223|200|144|86|65|59|25|6|5|3|2|2|2,372.5263157894737,4.884001016616821
