type,sources,avg_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality:betweenness,2,0.0,2,91,0,0,93,1.0,1.0,1.0,1.0,1.0
centrality:betweenness,5,3.0,4,184,1,1,190,0.8,0.9945945945945946,0.8,0.9894736842105263,0.8000000000000002
centrality:betweenness,50,22.0,38,364,12,12,426,0.76,0.9680851063829787,0.76,0.9436619718309859,0.76
